Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__massey__strength_mean,massey_consensus,0.0,713,713,0.6349673930356675,0.6304986726994161,1.0,1.0,0.07732537565090758,0.6992391743375302,True,True,True,6.0,selected
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,713,518,0.6111740306990037,0.6215961225050173,1.0,1.0,0.10223593003571829,0.6887349883547603,True,True,True,2.0,selected
matchup__seed_diff,matchup_context,0.0,713,28,-0.6092085589570962,0.60824023495803,1.0,1.0,0.0875616518752802,0.6824787296754043,True,True,True,1.0,selected
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,713,713,0.5682324358323378,0.5643086017714117,1.0,1.0,0.09342725156918974,0.6521421746706244,True,True,True,5.0,selected
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,713,617,0.5438710880337535,0.548967163503997,1.0,1.0,0.09415168312559125,0.6393898105243208,True,True,True,4.0,selected
diff__compact__margin_trim02,compact_performance,0.0,713,706,0.547220988508503,0.545832587152576,1.0,1.0,0.11284023713696961,0.6378746498196284,True,True,True,3.0,selected
diff__rating__elo_mov_log_z,dynamic_ratings,0.0,713,713,0.6268362344150981,0.6438129818983872,1.0,1.0,0.10182053280316428,0.7028613815704209,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log,dynamic_ratings,0.0,713,713,0.6267649493774465,0.6438129798037474,1.0,1.0,0.10182053495172161,0.7028456977707681,False,True,False,,correlation_pruned_or_cap
diff__schedule__quality_win_points_sum,schedule_and_accomplishment,0.0,713,713,0.6290193869390839,0.6441915495412414,1.0,1.0,0.11926457103195753,0.702825626065116,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,0.0,713,713,0.6281852715847029,0.644191549940979,1.0,1.0,0.11926457210247488,0.7026421208362056,False,True,True,19.0,selected
diff__rating__margin_ridge_a5p0,global_strength_ratings,0.0,713,713,0.6414387713576438,0.6321254319314091,1.0,1.0,0.07329134092069589,0.7016050833889302,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a5p0_z,global_strength_ratings,0.0,713,713,0.6408137933161034,0.6321254352186604,1.0,1.0,0.07329133935038346,0.7014675898604843,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0,713,713,0.6254903620016646,0.6413950875830403,1.0,1.0,0.10285136656411942,0.7013634670176608,False,True,True,20.0,selected
diff__rating__elo_mov_538_z,dynamic_ratings,0.0,713,713,0.6254903620016646,0.6413950875830403,1.0,1.0,0.10285136656411942,0.7013634670176608,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_538,dynamic_ratings,0.0,713,713,0.6253824234263798,0.6413950859160352,1.0,1.0,0.1028513712740674,0.7013397195425377,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__colley__z,within_season_normalization,0.0,713,713,0.6296805729849763,0.6381332766823331,1.0,1.0,0.09589072766189499,0.7009980697577388,False,True,True,21.0,selected
diff__rating__colley_z,global_strength_ratings,0.0,713,713,0.6296805729849763,0.6381332766823331,1.0,1.0,0.09589072766189499,0.7009980697577388,False,True,False,,correlation_pruned_or_cap
diff__rating__colley,global_strength_ratings,0.0,713,713,0.6294667084262717,0.6381332743255907,1.0,1.0,0.09589072367572671,0.7009510185830342,False,True,False,,correlation_pruned_or_cap
diff__norm__massey__strength_mean__z,within_season_normalization,0.0,713,713,0.6345059644372191,0.6304986810804216,1.0,1.0,0.07732537401645867,0.6991376641341321,False,True,False,,correlation_pruned_or_cap
diff__massey__strength_trim05,massey_consensus,0.0,713,713,0.6335607705574474,0.6229977780745909,1.0,1.0,0.07681948052736565,0.6953495237773475,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__bt_c1p0__z,within_season_normalization,0.0,713,713,0.6122299433963939,0.6365542588935995,1.0,1.0,0.1239761504736252,0.6952775857971893,False,True,True,22.0,selected
diff__rating__bt_c1p0_z,global_strength_ratings,0.0,713,713,0.6122299433963939,0.6365542588935995,1.0,1.0,0.1239761504736252,0.6952775857971893,False,True,False,,correlation_pruned_or_cap
diff__rating__bt_c1p0,global_strength_ratings,0.0,713,713,0.6115227037112813,0.6365542579892326,1.0,1.0,0.12397615204518198,0.6951219925695062,False,True,False,,correlation_pruned_or_cap
diff__schedule__quality_win_points_mean,schedule_and_accomplishment,0.0,713,713,0.6202966015873779,0.6312930023162207,1.0,1.0,0.11456647231967554,0.694903234568222,False,True,False,,correlation_pruned_or_cap
diff__norm__massey__strength_mean__pct,within_season_normalization,0.0,713,541,0.627242242229001,0.6227805288905309,1.0,1.0,0.0825494833046726,0.6936259678256481,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0,opponent_adjusted_efficiency,0.0,713,713,0.6243382079446979,0.6222913692409745,1.0,1.0,0.06995430194142205,0.6932560909058444,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0_z,opponent_adjusted_efficiency,0.0,713,713,0.623851228888646,0.6222913665906765,1.0,1.0,0.06995430226248778,0.6931489542285273,False,True,False,,correlation_pruned_or_cap
