Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,504,504,0.7537482311961325,0.7649026014880979,1.0,1.0,0.036589966505447546,0.7915142609172182,True,True,True,5.0,selected
matchup__seed_diff,matchup_context,0.0,504,25,-0.7438914305221043,0.7489036134097868,1.0,1.0,0.03613849608304165,0.781684309308239,True,True,True,1.0,selected
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,504,324,0.7358985278014493,0.7411884875302519,1.0,1.0,0.04240254046341396,0.7759720485123033,True,True,True,2.0,selected
diff__compact__margin_trim02,compact_performance,0.0,504,500,0.7101866506250601,0.717489508187686,1.0,1.0,0.05621044039184542,0.7583876094519286,True,True,True,3.0,selected
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,504,407,0.6389517476693385,0.6530684799410902,1.0,1.0,0.02520313763962667,0.7130341293533927,True,True,True,4.0,selected
diff__rating__margin_ridge_a5p0,global_strength_ratings,0.0,504,504,0.8452661057615051,0.8542003494139898,1.0,1.0,0.012337700523558537,0.8554812029653038,False,True,True,55.0,selected
diff__rating__margin_ridge_a5p0_z,global_strength_ratings,0.0,504,504,0.8440667850438212,0.8542003498383426,1.0,1.0,0.01233769962452691,0.855217352647064,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0,opponent_adjusted_efficiency,0.0,504,504,0.8200370435399582,0.8320060312318156,1.0,1.0,0.01764063483156686,0.8390654191767997,False,True,True,6.0,selected
diff__adj__net_rtg_a10p0_z,opponent_adjusted_efficiency,0.0,504,504,0.8187209343311355,0.8320060328939134,1.0,1.0,0.017640638025148703,0.8387758758209223,False,True,False,,correlation_pruned_or_cap
diff__norm__adj__net_rtg_a10p0__z,within_season_normalization,0.0,504,504,0.8187209343311355,0.8320060328939134,1.0,1.0,0.017640638025148703,0.8387758758209223,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0,global_strength_ratings,0.0,504,504,0.8212033174104401,0.8310783673096358,1.0,1.0,0.02146785278790142,0.838723632027406,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,0.0,504,504,0.8200916681917904,0.8310783674649062,1.0,1.0,0.02146785166796572,0.8384790693186301,False,True,False,,correlation_pruned_or_cap
