Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,965,672,0.6388380697063318,0.6856650009607617,1.0,1.0,0.0975832536260095,0.7257602456515182,True,True,True,2.0,selected
matchup__seed_diff,matchup_context,0.0,965,29,-0.6417025656955015,0.6516552331748756,1.0,1.0,0.13856582774665993,0.7084264432670843,True,True,True,1.0,selected
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,965,965,0.6531648149274332,0.6020920670257182,1.0,1.0,0.18987815476805003,0.6851053252656579,True,True,True,5.0,selected
diff__compact__margin_trim02,compact_performance,0.0,965,949,0.6196712474702369,0.5881693334690672,1.0,1.0,0.162037070038352,0.6721674717070703,True,True,True,3.0,selected
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,965,829,0.5684362979002686,0.5752419611826878,1.0,1.0,0.12415845328370922,0.6562057887744008,True,True,True,4.0,selected
context__women,matchup_context,0.0,965,2,0.0929637347091461,0.0,0.0,1.0,0.0,0.12045202163601215,True,True,True,6.0,selected
diff__rating__margin_ridge_a5p0,global_strength_ratings,0.0,965,965,0.7336854542596054,0.6686455924617809,1.0,1.0,0.16646457775867973,0.7357021012084208,False,True,True,62.0,selected
diff__rating__margin_ridge_a5p0_z,global_strength_ratings,0.0,965,965,0.7209656011739134,0.6686455973008096,1.0,1.0,0.16646457689419425,0.7329037358868818,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log,dynamic_ratings,0.0,965,965,0.6966270927571033,0.6780146536047874,1.0,1.0,0.16840187219471692,0.7319689192490719,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_538,dynamic_ratings,0.0,965,965,0.6954398408382886,0.6756910101210477,1.0,1.0,0.17074641644653732,0.7304985931846648,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log_z,dynamic_ratings,0.0,965,965,0.6888045312428888,0.6780146508279964,1.0,1.0,0.1684018764477384,0.7302479542129643,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0,965,965,0.6874313046012556,0.6756910144599718,1.0,1.0,0.17074641469442386,0.7287367173652858,False,True,True,7.0,selected
diff__rating__elo_mov_538_z,dynamic_ratings,0.0,965,965,0.6874313046012556,0.6756910144599718,1.0,1.0,0.17074641469442386,0.7287367173652858,False,True,False,,correlation_pruned_or_cap
diff__schedule__quality_win_points_sum,schedule_and_accomplishment,0.0,965,965,0.6826232072796917,0.6762249918808759,1.0,1.0,0.1585464133056803,0.7284232451721254,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log_percentile,dynamic_ratings,0.0,965,680,0.6401388652547045,0.6907698957395173,1.0,1.0,0.09945304762097851,0.7284219784061642,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,0.0,965,965,0.6789717918861253,0.6762249921462424,1.0,1.0,0.15854641432080285,0.7276199338723117,False,True,True,8.0,selected
diff__rating__elo_mov_538_percentile,dynamic_ratings,0.0,965,672,0.6388380697063318,0.6856650009607617,1.0,1.0,0.0975832536260095,0.7257602456515182,False,True,False,,correlation_pruned_or_cap
diff__rating__colley,global_strength_ratings,0.0,965,965,0.6828840901782621,0.6679075210200909,1.0,1.0,0.1483660733109301,0.724895466996424,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0,global_strength_ratings,0.0,965,965,0.713021319017464,0.655411704454024,1.0,1.0,0.17284988996765083,0.7245483127230675,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__colley__z,within_season_normalization,0.0,965,965,0.6794308526687699,0.6679075197843894,1.0,1.0,0.1483660727100754,0.7241357541752332,False,True,True,9.0,selected
diff__rating__colley_z,global_strength_ratings,0.0,965,965,0.6794308526687699,0.6679075197843894,1.0,1.0,0.1483660727100754,0.7241357541752332,False,True,False,,correlation_pruned_or_cap
diff__schedule__quality_win_points_mean,schedule_and_accomplishment,0.0,965,965,0.6754202662519673,0.6702340772588384,1.0,1.0,0.15820877680691436,0.7239764645873986,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0,opponent_adjusted_efficiency,0.0,965,965,0.7140018248699425,0.6532578901395456,1.0,1.0,0.1783861559183113,0.7235087425016368,False,True,True,24.0,selected
diff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,0.0,965,965,0.7020640692706334,0.655411704445874,1.0,1.0,0.17284989659778538,0.7221377175096475,False,True,True,10.0,selected
diff__rating__margin_ridge_a25p0_z,global_strength_ratings,0.0,965,965,0.7020640692706334,0.655411704445874,1.0,1.0,0.17284989659778538,0.7221377175096475,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0_z,opponent_adjusted_efficiency,0.0,965,965,0.7049674538739948,0.6532578882289805,1.0,1.0,0.17838615466375496,0.7215211800156394,False,True,False,,correlation_pruned_or_cap
diff__norm__adj__net_rtg_a10p0__z,within_season_normalization,0.0,965,965,0.7049674538739948,0.6532578882289805,1.0,1.0,0.17838615466375496,0.7215211800156394,False,True,False,,correlation_pruned_or_cap
diff__schedule__rpi,schedule_and_accomplishment,0.0,965,965,0.6621652503093487,0.6620121048695495,1.0,1.0,0.14193257147897742,0.7177648625462814,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__rpi__z,within_season_normalization,0.0,965,965,0.6587172211610683,0.6620121005547319,1.0,1.0,0.1419325780759566,0.7170062937986681,False,True,True,11.0,selected
diff__rating__margin_ridge_a5p0_percentile,global_strength_ratings,0.0,965,700,0.6499792205051137,0.6640559326177982,1.0,1.0,0.13126395335986651,0.7164917180332734,False,True,True,63.0,selected
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,965,552,0.6462624495171564,0.6615572893629297,1.0,1.0,0.12115301960064984,0.7148791170039547,False,True,True,97.0,selected
diff__rating__bt_c1p0,global_strength_ratings,0.0,965,965,0.6776671522430536,0.6490996234840507,1.0,1.0,0.16001046005782604,0.714254174363503,False,True,False,,correlation_pruned_or_cap
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,965,552,0.6474003598858408,0.6592845073086162,1.0,1.0,0.12194819420342806,0.7140067149148837,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__bt_c1p0__z,within_season_normalization,0.0,965,965,0.6715800737573369,0.6490996224340416,1.0,1.0,0.16001045865103658,0.7129150166489127,False,True,True,12.0,selected
diff__rating__bt_c1p0_z,global_strength_ratings,0.0,965,965,0.6715800737573369,0.6490996224340416,1.0,1.0,0.16001045865103658,0.7129150166489127,False,True,False,,correlation_pruned_or_cap
interaction__strength_gap_squared_signed,matchup_interactions,0.0,965,965,0.6453561449706877,0.6597136823906103,1.0,1.0,0.17304329591076295,0.7117191876046137,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__quality_win_points_sum__pct,within_season_normalization,0.0,965,685,0.6338458122908179,0.6557398739587901,1.0,1.0,0.11451709180093828,0.7096205345321616,False,True,True,13.0,selected
diff__norm__rating__colley__pct,within_season_normalization,0.0,965,673,0.6371129859636104,0.6520939157913065,1.0,1.0,0.11174514753971265,0.7087001305902328,False,True,True,14.0,selected
