Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__massey__strength_mean,massey_consensus,0.0,981,981,0.6350747569738343,0.6251726458923267,1.0,1.0,0.056384074530152706,0.6975439535813542,True,True,True,6.0,selected
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,981,651,0.615174292661794,0.6215961225050173,1.0,1.0,0.07008875890476218,0.6909009328318125,True,True,True,2.0,selected
matchup__seed_diff,matchup_context,0.0,981,29,-0.6014769517046997,0.60824023495803,1.0,1.0,0.09371497988776145,0.680531642959378,True,True,True,1.0,selected
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,981,981,0.5683825260834049,0.5643086017714117,1.0,1.0,0.10296948269326667,0.6517935052808961,True,True,True,5.0,selected
diff__compact__margin_trim02,compact_performance,0.0,981,966,0.5441913178341176,0.545832587152576,1.0,1.0,0.11841866260470202,0.6369849852525542,True,True,True,3.0,selected
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,981,809,0.5329426039777699,0.5088911512636319,1.0,1.0,0.08015504171012916,0.6183089238132475,True,True,True,4.0,selected
diff__rating__margin_ridge_a5p0,global_strength_ratings,0.0,981,981,0.6429048850630452,0.640794944564229,1.0,1.0,0.07329134092069589,0.7060889944678721,False,True,True,70.0,selected
diff__rating__margin_ridge_a5p0_z,global_strength_ratings,0.0,981,981,0.6423434676069989,0.6407949449923167,1.0,1.0,0.07329133935038346,0.7059654828958364,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log_z,dynamic_ratings,0.0,981,981,0.6326990969569125,0.6443650875515725,1.0,1.0,0.08712840901234276,0.7050039069947818,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log,dynamic_ratings,0.0,981,981,0.6325817967729712,0.6443650903435317,1.0,1.0,0.08712840342221351,0.7049781025180604,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0,981,981,0.6316538084246293,0.6429731019276703,1.0,1.0,0.08886379633372388,0.7040363749253512,False,True,True,19.0,selected
diff__rating__elo_mov_538_z,dynamic_ratings,0.0,981,981,0.6316538084246293,0.6429731019276703,1.0,1.0,0.08886379633372388,0.7040363749253512,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_538,dynamic_ratings,0.0,981,981,0.6315025891955395,0.6429731072125119,1.0,1.0,0.08886379308936765,0.7040031093614497,False,True,False,,correlation_pruned_or_cap
diff__massey__system_mor,massey_consensus,0.0,981,701,0.6281262729174508,0.640885493198421,1.0,1.0,0.07883723927028119,0.70265932720627,False,True,True,7.0,selected
diff__schedule__quality_win_points_sum,schedule_and_accomplishment,0.0,981,981,0.6245736170946297,0.6441915495412414,1.0,1.0,0.11064959802522867,0.7021921556196052,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,0.0,981,981,0.6245331062817241,0.644191549940979,1.0,1.0,0.11064959507061323,0.7021832435508247,False,True,True,20.0,selected
diff__norm__rating__colley__z,within_season_normalization,0.0,981,981,0.6276091436125835,0.6381332766823331,1.0,1.0,0.08139184068942484,0.7011223107747113,False,True,True,21.0,selected
diff__rating__colley_z,global_strength_ratings,0.0,981,981,0.6276091436125835,0.6381332766823331,1.0,1.0,0.08139184068942484,0.7011223107747113,False,True,False,,correlation_pruned_or_cap
diff__rating__colley,global_strength_ratings,0.0,981,981,0.6273918314884485,0.6381332743255907,1.0,1.0,0.08139184034817082,0.7010745009898153,False,True,False,,correlation_pruned_or_cap
diff__norm__massey__strength_mean__z,within_season_normalization,0.0,981,981,0.634770275321161,0.6251726546525036,1.0,1.0,0.05638407340106155,0.6974769718678148,False,True,False,,correlation_pruned_or_cap
diff__massey__strength_trim05,massey_consensus,0.0,981,981,0.6332271672639018,0.6213762195864292,1.0,1.0,0.055057422090203145,0.6953682653159362,False,True,False,,correlation_pruned_or_cap
diff__norm__massey__strength_mean__pct,within_season_normalization,0.0,981,677,0.6282553288254035,0.6222880574313782,1.0,1.0,0.053449915925469105,0.6947764432716316,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log_percentile,dynamic_ratings,0.0,981,656,0.6177378401950135,0.6286301313434967,1.0,1.0,0.07244316393495387,0.6947470613303832,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__bt_c1p0__z,within_season_normalization,0.0,981,981,0.6096810922260827,0.6352716444307186,1.0,1.0,0.10975791495059806,0.6946699130184593,False,True,True,22.0,selected
diff__rating__bt_c1p0_z,global_strength_ratings,0.0,981,981,0.6096810922260827,0.6352716444307186,1.0,1.0,0.10975791495059806,0.6946699130184593,False,True,False,,correlation_pruned_or_cap
diff__rating__bt_c1p0,global_strength_ratings,0.0,981,981,0.6093282432586417,0.6352716430227541,1.0,1.0,0.10975791067128715,0.6945922857409715,False,True,False,,correlation_pruned_or_cap
diff__schedule__quality_win_points_mean,schedule_and_accomplishment,0.0,981,981,0.6181847977447423,0.6312930023162207,1.0,1.0,0.11474785201453552,0.6944313825350478,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0,opponent_adjusted_efficiency,0.0,981,981,0.6266384197727126,0.6222913692409745,1.0,1.0,0.06968404949184726,0.6937729476059906,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0_z,opponent_adjusted_efficiency,0.0,981,981,0.6266191157008293,0.6222913665906765,1.0,1.0,0.06968404532608818,0.6937686996046637,False,True,False,,correlation_pruned_or_cap
diff__norm__adj__net_rtg_a10p0__z,within_season_normalization,0.0,981,981,0.6266191157008293,0.6222913665906765,1.0,1.0,0.06968404532608818,0.6937686996046637,False,True,True,23.0,selected
diff__rating__margin_ridge_a25p0,global_strength_ratings,0.0,981,981,0.6235602961616936,0.6233698452003995,1.0,1.0,0.08283125797712132,0.6930875405326795,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,0.0,981,981,0.6229931731057373,0.6233698392787147,1.0,1.0,0.08283126718891198,0.6929627702494887,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0_z,global_strength_ratings,0.0,981,981,0.6229931731057373,0.6233698392787147,1.0,1.0,0.08283126718891198,0.6929627702494887,False,True,False,,correlation_pruned_or_cap
diff__massey__system_sag,massey_consensus,0.0,981,666,0.6301075917065855,0.6171242456403908,1.0,1.0,0.06358387535890508,0.6922999530684801,False,True,False,,correlation_pruned_or_cap
diff__massey__ordinal_mean,massey_consensus,0.0,981,977,-0.6313618791040402,0.6141426994800488,1.0,1.0,0.05607009703634436,0.6914453052718584,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_538_percentile,dynamic_ratings,0.0,981,651,0.615174292661794,0.6215961225050173,1.0,1.0,0.07008875890476218,0.6909009328318125,False,True,False,,correlation_pruned_or_cap
diff__massey__strength_median,massey_consensus,0.0,981,821,0.6290623457641573,0.6140151283805954,1.0,1.0,0.05983392030631962,0.6907276208785476,False,True,False,,correlation_pruned_or_cap
diff__massey__system_wlk,massey_consensus,0.0,981,696,0.6271462665144908,0.6148673352220008,1.0,1.0,0.061407836103718694,0.6906521860955995,False,True,False,,correlation_pruned_or_cap
diff__massey__ordinal_max,massey_consensus,0.0,981,342,-0.6245367663426495,0.615185719909351,1.0,1.0,0.058974093643217484,0.6903282704061426,False,True,True,8.0,selected
diff__massey__ordinal_median,massey_consensus,0.0,981,377,-0.6290086308989425,0.6123782156287723,1.0,1.0,0.06108669559636448,0.6898799744757234,False,True,False,,correlation_pruned_or_cap
diff__massey__system_pom,massey_consensus,0.0,981,705,0.6306445204953194,0.6108395369652886,1.0,1.0,0.06755729076699912,0.6892424806216289,False,True,True,9.0,selected
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,981,567,0.6062309276195343,0.6208789268962468,1.0,1.0,0.09960241967943195,0.6874085921993187,False,True,False,,correlation_pruned_or_cap
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,981,567,0.6055946224790327,0.6210580190597161,1.0,1.0,0.10195032795772407,0.687260652975742,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a5p0_percentile,global_strength_ratings,0.0,981,685,0.6262552179644748,0.6057557640668846,1.0,1.0,0.0722429202292243,0.6856491978951201,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__rpi__z,within_season_normalization,0.0,981,981,0.6082980070055044,0.614221114562017,1.0,1.0,0.09024841284067786,0.6850417600173521,False,True,True,24.0,selected
diff__schedule__rpi,schedule_and_accomplishment,0.0,981,981,0.6078871239717575,0.6142211143481124,1.0,1.0,0.09024841694017782,0.6849513654832735,False,True,False,,correlation_pruned_or_cap
diff__massey__system_dol,massey_consensus,0.0,981,678,0.6156196607221782,0.6094820591181488,1.0,1.0,0.07592255523689229,0.6849508115261149,False,True,False,,correlation_pruned_or_cap
diff__massey__system_rth,massey_consensus,0.0,981,687,0.6202109279376808,0.6055295128290145,1.0,1.0,0.06676505835650959,0.6844299679699563,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0_percentile,opponent_adjusted_efficiency,0.0,981,654,0.6128230133215224,0.6050042902579857,1.0,1.0,0.059084762671488544,0.6828597317477086,False,True,False,,correlation_pruned_or_cap
diff__norm__adj__net_rtg_a10p0__pct,within_season_normalization,0.0,981,654,0.6128230133215224,0.6050042902579857,1.0,1.0,0.059084762671488544,0.6828597317477086,False,True,True,25.0,selected
diff__rating__elo_standard_z,dynamic_ratings,0.0,981,981,0.6026305559372624,0.6124029436879647,1.0,1.0,0.105559657225616,0.6823097489873962,False,True,True,75.0,selected
diff__rating__elo_standard,dynamic_ratings,0.0,981,981,0.6018784599625,0.6124029434378246,1.0,1.0,0.10555965442727577,0.6821442878648147,False,True,False,,correlation_pruned_or_cap
diff__massey__system_rpi,massey_consensus,0.0,981,726,0.6073130575769679,0.6077377704120597,1.0,1.0,0.08671087311234049,0.6818545675402279,False,True,True,10.0,selected
diff__seed__number,selection_committee_prior,0.0,981,29,-0.6014769517046997,0.60824023495803,1.0,1.0,0.09371497988776145,0.680531642959378,False,True,False,,correlation_pruned_or_cap
diff__seed__strength,selection_committee_prior,0.0,981,29,0.6014769517046997,0.60824023495803,1.0,1.0,0.09371497988776145,0.680531642959378,False,True,False,,correlation_pruned_or_cap
