Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__compact__margin_trim02,compact_performance,0.0,914,903,0.43653420179408864,0.4233170073860592,1.0,1.0,0.11556483316220273,0.5546070946135199,True,True,True,1.0,selected
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,914,530,0.4953461999863544,0.48988457097584254,1.0,1.0,0.11886832990933777,0.5993660248690288,False,True,True,25.0,selected
diff__seed__number,selection_committee_prior,0.0,914,29,-0.49316466936090414,0.48866559097884016,1.0,1.0,0.11266738106399632,0.5985490156866823,False,True,True,32.0,selected
diff__seed__strength,selection_committee_prior,0.0,914,29,0.49316466936090414,0.48866559097884016,1.0,1.0,0.11266738106399632,0.5985490156866823,False,True,False,,correlation_pruned_or_cap
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,914,530,0.4935229163842023,0.48725023373847576,1.0,1.0,0.11806245390899683,0.597732655642633,False,True,False,,correlation_pruned_or_cap
diff__compact__half_marginmean_first,compact_performance,0.0,914,839,0.45848336086358155,0.45437273137566137,1.0,1.0,0.09409634026676561,0.5752013968396347,False,True,True,2.0,selected
diff__seed__top4,selection_committee_prior,0.0,914,3,0.4412679309990714,0.45327114188917306,1.0,1.0,0.0768061054023284,0.5715768487105056,False,True,True,33.0,selected
diff__compact__margin_mean,compact_performance,0.0,914,903,0.43653420179408864,0.4233170073860592,1.0,1.0,0.11556483316220273,0.5546070946135199,False,True,False,,correlation_pruned_or_cap
diff__compact__margin_winsor02,compact_performance,0.0,914,914,0.437099717877305,0.42029688912190977,1.0,1.0,0.10352476288624823,0.5537634541960739,False,True,False,,correlation_pruned_or_cap
diff__compact__pythag_exp8p0,compact_performance,0.0,914,914,0.42915191207564346,0.4192801118069235,1.0,1.0,0.09408632278249413,0.551904421412665,False,True,True,3.0,selected
diff__compact__pythag_exp10p0,compact_performance,0.0,914,914,0.4252857298188771,0.41956940137596543,1.0,1.0,0.08995174575352588,0.5513581033904753,False,True,False,,correlation_pruned_or_cap
diff__compact__pythag_exp11p5,compact_performance,0.0,914,914,0.421062303488404,0.41810923302107617,1.0,1.0,0.0892492877429571,0.5497561671078471,False,True,False,,correlation_pruned_or_cap
diff__compact__pythag_exp13p91,compact_performance,0.0,914,914,0.41204229376362334,0.4126717033883604,1.0,1.0,0.08850009373211587,0.5451917185051255,False,True,False,,correlation_pruned_or_cap
diff__compact__upside_tail_mean,compact_performance,0.0,914,902,0.4266727553478137,0.3977020414135387,1.0,1.0,0.16370576156679278,0.5382167555923458,False,True,True,4.0,selected
diff__compact__wins,compact_performance,0.0,914,32,0.3963594855261432,0.3997909151791513,1.0,1.0,0.09308142517278872,0.5353754690948326,False,True,True,5.0,selected
diff__seed__top8,selection_committee_prior,0.0,914,3,0.39871489396627546,0.3907183079492731,1.0,1.0,0.07392525685200385,0.5323050542141515,False,True,True,34.0,selected
diff__compact__blowout_win10_rate,compact_performance,0.0,914,710,0.3890369731019836,0.3968855115701604,1.0,1.0,0.1674391896081358,0.529395612051788,False,True,True,6.0,selected
diff__compact__home_margin_mean,compact_performance,0.0,914,887,0.4003088601875927,0.38524703280969064,1.0,1.0,0.14206891800880433,0.5273037682695698,False,True,True,7.0,selected
diff__compact__half_winpct_first,compact_performance,0.0,914,353,0.3842392214400419,0.3778653666352633,1.0,1.0,0.08051317215276116,0.5226874778156252,False,True,True,8.0,selected
diff__compact__blowout_win20_rate,compact_performance,0.0,914,714,0.39815187988779205,0.37123917065572315,1.0,1.0,0.14477705417516906,0.5199971333230546,False,True,True,9.0,selected
diff__compact__margin_median,compact_performance,0.0,914,68,0.3647714181613595,0.3908803635474528,1.0,1.0,0.2018196112835056,0.5197995020469363,False,True,True,10.0,selected
diff__compact__margin_q75,compact_performance,0.0,914,137,0.39800694091807537,0.3647479850915186,1.0,1.0,0.1911973126745688,0.5149926673389228,False,True,True,11.0,selected
diff__compact__margin_q90,compact_performance,0.0,914,336,0.3877055924380038,0.35553787656339836,1.0,1.0,0.14776522310955215,0.5100428021624099,False,True,True,12.0,selected
diff__compact__margin_q25,compact_performance,0.0,914,136,0.36581963799608014,0.3594512138683682,1.0,1.0,0.16216039937782017,0.5065304870408416,False,True,True,13.0,selected
diff__compact__downside_tail_mean,compact_performance,0.0,914,874,-0.3578760155748297,0.35331020598493196,1.0,1.0,0.11176401753526999,0.503851061597819,False,True,True,14.0,selected
diff__compact__win_pct,compact_performance,0.0,914,700,0.3553208024504307,0.3542508847142954,1.0,1.0,0.15145140857086198,0.502152944859122,False,True,True,15.0,selected
diff__compact__ewm_h10_margin,compact_performance,0.0,914,914,0.355602335578311,0.3471189887279279,1.0,1.0,0.1896020013804809,0.4972655483614146,False,True,True,16.0,selected
diff__compact__half_delta_marginmean,compact_performance,0.0,914,897,-0.32517279252331915,0.3516872342478524,1.0,1.0,0.09048073332481871,0.4967286574611066,False,True,True,17.0,selected
diff__compact__margin_slope,compact_performance,0.0,914,914,-0.331493806422583,0.3498704666407745,1.0,1.0,0.11688881589362432,0.49619090876479505,False,True,True,18.0,selected
diff__compact__ewm_h20_margin,compact_performance,0.0,914,914,0.3499437494101769,0.33656097053134826,1.0,1.0,0.1253796788571524,0.49352170357099995,False,True,True,19.0,selected
diff__compact__margin_q10,compact_performance,0.0,914,298,0.33993135192770435,0.34272202233660076,1.0,1.0,0.14662931686257863,0.4934262954711601,False,True,True,20.0,selected
diff__compact__away_games,compact_performance,0.0,914,20,-0.3389828029185259,0.3308554619649443,1.0,1.0,0.120838274541759,0.4885533074035786,False,True,True,21.0,selected
diff__compact__losses,compact_performance,0.0,914,29,-0.3342572765294246,0.33094651355012794,1.0,1.0,0.15985180611925148,0.48599685509576473,False,True,False,,correlation_pruned_or_cap
diff__compact__ewm_h20_win,compact_performance,0.0,914,914,0.31796947197908376,0.33255863427624544,1.0,1.0,0.147260590300061,0.4836910046759938,False,True,True,22.0,selected
diff__compact__blowout_loss10_rate,compact_performance,0.0,914,548,-0.315855282335957,0.3210517987231378,1.0,1.0,0.12441658442965264,0.4786163621238306,False,True,True,23.0,selected
diff__compact__away_margin_mean,compact_performance,0.0,914,852,0.30869582863475303,0.30954594861306084,1.0,1.0,0.14368670534984684,0.47074766941992097,False,True,True,24.0,selected
diff__compact__half_pointsformean_first,compact_performance,0.0,914,824,0.29729737160761394,0.30590560585751286,1.0,1.0,0.09553004591927139,0.46841891072851033,False,True,True,38.0,selected
diff__compact__home_games,compact_performance,0.0,914,19,0.29566764033916626,0.2951129095345979,1.0,1.0,0.11434066909059665,0.4621274506875997,False,True,True,39.0,selected
diff__compact__away_win_pct,compact_performance,0.0,914,475,0.27739749281418574,0.28868255937336446,1.0,1.0,0.14555696610911179,0.4537727982739713,False,True,True,40.0,selected
diff__compact__ewm_h10_win,compact_performance,0.0,914,914,0.26866512969141076,0.2662551564819411,1.0,1.0,0.14651155146307784,0.441048341584919,False,True,True,41.0,selected
diff__compact__blowout_loss20_rate,compact_performance,0.0,914,158,-0.24743840525954205,0.26447567344517,1.0,1.0,0.06753373708976013,0.43868342292719037,False,True,True,42.0,selected
diff__compact__half_delta_pointsformean,compact_performance,0.0,914,890,-0.2531499482782887,0.2605074818167651,1.0,1.0,0.0607309746274885,0.4383073409081712,False,True,True,43.0,selected
diff__compact__win_slope,compact_performance,0.0,914,882,-0.23878049174568866,0.2557068598956349,1.0,1.0,0.07995578785487811,0.4320727694197611,False,True,True,44.0,selected
diff__compact__home_win_pct,compact_performance,0.0,914,431,0.23496038578757114,0.24274936733343783,1.0,1.0,0.07710248690130653,0.42512688171726354,False,True,True,45.0,selected
