Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,1745,1026,0.6545735322758404,0.6856650009607617,1.0,1.0,0.1190723981010322,0.7283624816378091,True,True,True,2.0,selected
matchup__seed_diff,matchup_context,0.0,1745,29,-0.6496694949867767,0.6569376702548582,1.0,1.0,0.1672197997125815,0.7115685786309195,True,True,True,1.0,selected
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,1745,1745,0.6750394129162429,0.6294439984526001,1.0,1.0,0.20759441883312224,0.7023380133454965,True,True,True,5.0,selected
diff__compact__margin_trim02,compact_performance,0.0,1745,1705,0.6399322886269482,0.605423263739102,1.0,1.0,0.17803319391049444,0.6842669423362777,True,True,True,3.0,selected
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,1745,1353,0.5705515352590287,0.5752419611826878,1.0,1.0,0.15268124858922338,0.6555302291811075,True,True,True,4.0,selected
context__women,matchup_context,0.0,1745,2,0.08749802894669932,0.0,0.0,1.0,0.0,0.11924956636827386,True,True,True,6.0,selected
diff__rating__margin_ridge_a5p0,global_strength_ratings,0.0,1745,1745,0.7569668719094966,0.6906431121672398,1.0,1.0,0.21279970309965335,0.7495294175363783,False,True,True,59.0,selected
diff__rating__margin_ridge_a5p0_z,global_strength_ratings,0.0,1745,1745,0.7398369639250355,0.6906431099348103,1.0,1.0,0.21279970060597186,0.7457608368079778,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log,dynamic_ratings,0.0,1745,1745,0.7197483171208114,0.6780146536047874,1.0,1.0,0.16778889935304164,0.7370801075227548,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_538,dynamic_ratings,0.0,1745,1745,0.7185720625937303,0.6780359685096958,1.0,1.0,0.16730663622874486,0.7368508532061249,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0,global_strength_ratings,0.0,1745,1745,0.7357392377572597,0.6715992939779327,1.0,1.0,0.20653347457418592,0.7359689544330373,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log_z,dynamic_ratings,0.0,1745,1745,0.7082115546297773,0.6780146508279964,1.0,1.0,0.16778889934239716,0.7345420184422934,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0,1745,1745,0.7069192724945891,0.6780359710535436,1.0,1.0,0.16730664030404108,0.7342872404423488,False,True,True,7.0,selected
diff__rating__elo_mov_538_z,dynamic_ratings,0.0,1745,1745,0.7069192724945891,0.6780359710535436,1.0,1.0,0.16730664030404108,0.7342872404423488,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0,opponent_adjusted_efficiency,0.0,1745,1745,0.736346688678951,0.6650468085523789,1.0,1.0,0.21360249168856071,0.7326746399469686,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,0.0,1745,1745,0.7205611700653161,0.6715993060907902,1.0,1.0,0.20653347747562012,0.732629785238924,False,True,True,8.0,selected
diff__rating__margin_ridge_a25p0_z,global_strength_ratings,0.0,1745,1745,0.7205611700653161,0.6715993060907902,1.0,1.0,0.20653347747562012,0.732629785238924,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log_percentile,dynamic_ratings,0.0,1745,1047,0.6558700476365091,0.6903493985030211,1.0,1.0,0.11811475443994546,0.7309345315838843,False,True,False,,correlation_pruned_or_cap
diff__rating__bt_c1p0,global_strength_ratings,0.0,1745,1745,0.7040743271018203,0.6758229972780979,1.0,1.0,0.21238475409321556,0.7307960004921589,False,True,False,,correlation_pruned_or_cap
diff__schedule__quality_win_points_sum,schedule_and_accomplishment,0.0,1745,1745,0.6929046145320996,0.6784699763964659,1.0,1.0,0.18510805009486497,0.7307002818635709,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,0.0,1745,1745,0.6886038771225127,0.6784699701014661,1.0,1.0,0.18510804828864136,0.7297541166841109,False,True,True,9.0,selected
diff__adj__net_rtg_a10p0_z,opponent_adjusted_efficiency,0.0,1745,1745,0.7222261455658101,0.6650468079342478,1.0,1.0,0.21360249008499832,0.7295681202295172,False,True,False,,correlation_pruned_or_cap
diff__norm__adj__net_rtg_a10p0__z,within_season_normalization,0.0,1745,1745,0.7222261455658101,0.6650468079342478,1.0,1.0,0.21360249008499832,0.7295681202295172,False,True,False,,correlation_pruned_or_cap
diff__schedule__quality_win_points_mean,schedule_and_accomplishment,0.0,1745,1745,0.6902690001501772,0.6761071786842722,1.0,1.0,0.18847340299962667,0.7288516896815046,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_538_percentile,dynamic_ratings,0.0,1745,1026,0.6545735322758404,0.6856650009607617,1.0,1.0,0.1190723981010322,0.7283624816378091,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__bt_c1p0__z,within_season_normalization,0.0,1745,1745,0.6919962385837819,0.675823003441662,1.0,1.0,0.21238475746735497,0.7281388238417357,False,True,True,10.0,selected
