Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__norm__massey__strength_mean__pct,within_season_normalization,0.0,1048,704,0.4619975145172202,0.4766858733700583,1.0,1.0,0.0600721604925083,0.5880457859917161,True,True,True,5.0,selected
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,1048,669,0.4542287463974994,0.4591025061604823,1.0,1.0,0.05967801064531442,0.5779124067386687,True,True,True,1.0,selected
diff__compact__margin_trim02,compact_performance,0.0,1048,1032,0.42651338651312776,0.42066478581039196,1.0,1.0,0.11014887940527884,0.5513460870456651,True,True,True,2.0,selected
diff__norm__adj__net_rtg_a50p0__pct,within_season_normalization,0.0,1048,677,0.40855613793464285,0.4112420229648742,1.0,1.0,0.08348640842238442,0.5439390650318656,True,True,True,4.0,selected
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,1048,844,0.41546662782625904,0.3991665842819586,1.0,1.0,0.09547029352786363,0.5391838068360025,True,True,True,3.0,selected
diff__rating__margin_ridge_a5p0_z,global_strength_ratings,0.0,1048,1048,0.5033881808366942,0.5061535542869825,1.0,1.0,0.09670685661738443,0.6098308315771289,False,True,True,39.0,selected
diff__rating__margin_ridge_a5p0,global_strength_ratings,0.0,1048,1048,0.503352314366436,0.5061535546317985,1.0,1.0,0.09670685790790451,0.609822941067563,False,True,False,,correlation_pruned_or_cap
diff__norm__adj__net_rtg_a10p0__z,within_season_normalization,0.0,1048,1048,0.4921145104570567,0.4916150245195436,1.0,1.0,0.08275761709775054,0.6009300993860234,False,True,True,6.0,selected
diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,0.0,1048,1048,0.4872314204662862,0.49029835430652835,1.0,1.0,0.08283208500871553,0.5992208391693679,False,True,True,7.0,selected
diff__schedule__quality_win_points_sum,schedule_and_accomplishment,0.0,1048,1048,0.4863470966756322,0.4902983527979573,1.0,1.0,0.08283208122655572,0.5990262873625963,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,0.0,1048,1048,0.4902333571809703,0.48766490574430865,1.0,1.0,0.09227240922230623,0.5982395969681893,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0_z,global_strength_ratings,0.0,1048,1048,0.4902333571809703,0.48766490574430865,1.0,1.0,0.09227240922230623,0.5982395969681893,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0,global_strength_ratings,0.0,1048,1048,0.4899958454407865,0.48766490850769906,1.0,1.0,0.0922724117295371,0.598187345611487,False,True,False,,correlation_pruned_or_cap
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,1048,605,0.4918192683793307,0.48988457097584254,1.0,1.0,0.13080765323109161,0.5981125269826135,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log_z,dynamic_ratings,0.0,1048,1048,0.4883525133794503,0.4866638880001798,1.0,1.0,0.08513268822349329,0.5976309116546256,False,True,False,,correlation_pruned_or_cap
