Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,630,345,0.6415354494190565,0.6404001046997327,1.0,1.0,0.05901686323154298,0.7061691745988025,False,True,True,1.0,selected
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,630,345,0.6413401341188462,0.6391593944422118,1.0,1.0,0.057905310822549017,0.7055751264055059,False,True,False,,correlation_pruned_or_cap
diff__seed__number,selection_committee_prior,0.0,630,25,-0.624501254233309,0.6234150977203579,1.0,1.0,0.03143322469071008,0.6953721938494714,False,True,True,7.0,selected
diff__seed__strength,selection_committee_prior,0.0,630,25,0.624501254233309,0.6234150977203579,1.0,1.0,0.03143322469071008,0.6953721938494714,False,True,False,,correlation_pruned_or_cap
diff__seed__top4,selection_committee_prior,0.0,630,3,0.5500737577171488,0.5876281223065678,1.0,1.0,0.07233298480493944,0.6601844060127277,False,True,True,8.0,selected
diff__seed__top8,selection_committee_prior,0.0,630,3,0.5065908116314846,0.5127845320829056,1.0,1.0,0.057884301126296445,0.6152711819136695,False,True,True,9.0,selected
seedprior__favorite_seed_games,prequential_seed_priors,0.0,630,64,0.04595461686541189,0.10014068159687418,0.8,1.0,0.09404137987757152,0.2824158876817874,False,True,True,2.0,selected
absdiff__seed__number,selection_committee_prior,0.0,630,14,-0.04660245279884555,0.09587266117701203,0.6,1.0,0.114544950107569,0.247689618976409,False,True,True,10.0,selected
seedprior__generic_gender_games,prequential_seed_priors,0.0,630,11,-0.06137383103161119,0.10869624218311899,0.5,1.0,0.1178256536105293,0.2409634129304304,False,True,True,3.0,selected
seedprior__effective_games_pc2p0,prequential_seed_priors,0.0,630,164,0.03719004088309422,0.11646797174721163,0.4,1.0,0.17839894197889644,0.22095047775378643,False,True,True,4.0,selected
seedprior__effective_games_pc8p0,prequential_seed_priors,0.0,630,164,0.03719004088309422,0.11646797174721163,0.4,1.0,0.17839894197889644,0.22095047775378643,False,True,False,,correlation_pruned_or_cap
seedprior__favorite_prob_pc8p0,prequential_seed_priors,0.0,630,224,-0.044847281405102433,0.0972992248589811,0.4,1.0,0.14150540875291587,0.21490981349131685,False,True,True,5.0,selected
seedprior__favorite_prob_pc2p0,prequential_seed_priors,0.0,630,224,-0.04236924967903039,0.09550954315668428,0.4,1.0,0.14042571296545261,0.21354878712597702,False,True,False,,correlation_pruned_or_cap
seedprior__gap_games,prequential_seed_priors,0.0,630,77,0.015830163910382864,0.1223950725603807,0.0,1.0,0.19140599508692918,0.15457603108578982,False,True,True,6.0,selected
seedprior__exact_pair_games,prequential_seed_priors,0.0,630,63,-0.035452432110432065,0.027515971476941195,0.2,1.0,0.040857655549744305,0.15137289515123706,False,True,True,11.0,selected
seedprior__pooled_pair_games,prequential_seed_priors,0.022222222222222223,616,99,-0.026922438304555957,0.03004632901679751,0.2,1.0,0.050938820303788865,0.14852984376513578,False,True,True,12.0,selected
seedprior__pooled_gap_games,prequential_seed_priors,0.022222222222222223,616,89,0.021098123524121947,0.08509292332089659,0.0,1.0,0.14980013683422133,0.13771640711819055,False,True,True,13.0,selected
seedprior__history_games,prequential_seed_priors,0.0,630,10,-0.05466746578329079,0.0,0.0,1.0,0.0,0.11202684247232397,False,True,True,14.0,selected
