bytes,column_names,columns,feature_source,file,first_season,last_season,missing_cells,rows,sha256
9788,"CityID, City, State",3,False,Cities.csv,,,0,510,a852359df15128c635dbd42ed00f5e8b1ad9bd81edf86c9c3381c322d7f17043
1643,"ConfAbbrev, Description",2,False,Conferences.csv,,,0,51,2e0822230c5f5f178f08c22387ac8ccde652d9e93978bc2f58a76183c693aa98
186863,"Season, ConfAbbrev, DayNum, WTeamID, LTeamID",5,False,MConferenceTourneyGames.csv,2001.0,2026.0,0,7093,7d09a081abe4a6d404b18afd63af0d6d9ff6c897d6a8f9c5946a2a02ab73da2a
2980361,"Season, DayNum, WTeamID, LTeamID, CRType, CityID",6,False,MGameCities.csv,2010.0,2026.0,0,92438,28d453732bb7fa55fbb8d23d8d4e9cdbf9728377624b6035366c9a090f3cc537
129133178,"Season, RankingDayNum, SystemName, TeamID, OrdinalRank",5,True,MMasseyOrdinals.csv,2003.0,2026.0,0,5865001,a14234e3fe3b63efe286fbbaf9bbc550ef2e52688c50ceadb2acb593e57634f8
77711,"Season, DayNum, WTeamID, WScore, LTeamID, LScore, WLoc, NumOT",8,True,MNCAATourneyCompactResults.csv,1985.0,2025.0,0,2585,5260a076b4e0937aa0420fd5eb72789b9931c662ed071c5060407458d8de8a05
144875,"Season, DayNum, WTeamID, WScore, LTeamID, LScore, WLoc, NumOT, WFGM, WFGA, WFGM3, WFGA3, WFTM, WFTA, WOR, WDR, WAst, WTO, WStl, WBlk, WPF, LFGM, LFGA, LFGM3, LFGA3, LFTM, LFTA, LOR, LDR, LAst, LTO, LStl, LBlk, LPF",34,False,MNCAATourneyDetailedResults.csv,2003.0,2025.0,0,1449,a4a2c782fa68a6ad140dc56d2fac2755eafa9d17076ad1491d6f802c9c51d7ba
15904,"Seed, GameRound, GameSlot, EarlyDayNum, LateDayNum",5,False,MNCAATourneySeedRoundSlots.csv,,,0,776,33a429e77b5d3d81695cf557f813f8c35832cc319a348bd4884dccc8e3dd3f88
40570,"Season, Seed, TeamID",3,True,MNCAATourneySeeds.csv,1985.0,2026.0,0,2694,413916a4136af69346826ce433d749c6c6cbc96afd88a43d8645877d20d01691
53052,"Season, Slot, StrongSeed, WeakSeed",4,False,MNCAATourneySlots.csv,1985.0,2026.0,0,2653,935f7cbcb7100d9ed0ddeec6e7f2a1745bd62c78779d804f782b91cd6e7eed14
5820350,"Season, DayNum, WTeamID, WScore, LTeamID, LScore, WLoc, NumOT",8,True,MRegularSeasonCompactResults.csv,1985.0,2026.0,0,198577,f50b602151584b598d015a78355e7ffee533b031a66b8d9711ca01ad08b99e69
12388268,"Season, DayNum, WTeamID, WScore, LTeamID, LScore, WLoc, NumOT, WFGM, WFGA, WFGM3, WFGA3, WFTM, WFTA, WOR, WDR, WAst, WTO, WStl, WBlk, WPF, LFGM, LFGA, LFGM3, LFGA3, LFTM, LFTA, LOR, LDR, LAst, LTO, LStl, LBlk, LPF",34,True,MRegularSeasonDetailedResults.csv,2003.0,2026.0,0,124529,5a7afaa262c2c725476ae3ee2a6abbf88ddc4a5973aab83d7140134a18b3d84d
1864,"Season, DayZero, RegionW, RegionX, RegionY, RegionZ",6,False,MSeasons.csv,1985.0,2026.0,0,42,984af245340df5c304348c2cc1899e770d5511ce0622de022591834b6e23a579
63543,"Season, DayNum, WTeamID, WScore, LTeamID, LScore, WLoc, NumOT, SecondaryTourney",9,False,MSecondaryTourneyCompactResults.csv,1985.0,2025.0,0,1865,141e274ebe5a17266e302857d7c3a24ad20bd78692feb926465de946b1e53810
28457,"Season, SecondaryTourney, TeamID",3,False,MSecondaryTourneyTeams.csv,1985.0,2025.0,0,1895,6a0c95b7b540b6de0de72423d8d87c41f6f51d4d8b02275d1fdb9a4951e3baaa
415335,"Season, TeamID, FirstDayNum, LastDayNum, CoachName",5,False,MTeamCoaches.csv,1985.0,2026.0,0,13900,e0fe04e53ea35f4a120f0368164c2a7035d5a0b1ab427a078a27304bd16003bc
237063,"Season, TeamID, ConfAbbrev",3,False,MTeamConferences.csv,1985.0,2026.0,0,13753,a798dcd8ac5ddfbcbe13fe6217054f05ccc8b952b0c662eb3f1973ae6be3f6bc
22792,"TeamNameSpelling, TeamID",2,False,MTeamSpellings.csv,,,0,1178,181d08d5c862bde7c50eb8e664135d831f830647869522b6d8ad4e44ebabbefc
10056,"TeamID, TeamName, FirstD1Season, LastD1Season",4,False,MTeams.csv,,,0,381,2f5d3b1bc6bf6afbf80a6900f1aa1bfaebfa68b33a8d66dc29034800b1dd7b24
10382887,"ID, Pred",2,False,SampleSubmissionStage1.csv,,,0,519144,dfe58d5ca7e698f67567238b62dea8d8241f3abe9cfd51fba91ef67fa5fbd92d
