Gender,Season,regular_games,detailed_games,teams,latest_regular_day,post_cutoff_rows_excluded,mean_tempo,mean_efficiency,clean_possession_fraction,three_attempt_share,neutral_game_fraction,overtime_fraction,used_for_tournament_validation
M,2013,5320,5320,347,132,0,65.92946233517944,100.54914400617936,0.9977443609022556,0.32987066050012187,0.10281954887218045,0.059398496240601506,False
M,2014,5362,5362,351,132,0,66.60313987035593,104.4392927318927,0.9990675121223425,0.32908697703281486,0.10779559865721745,0.06639313688922044,False
M,2015,5354,5354,351,132,0,64.91815063220929,101.996170834763,0.9973851326111318,0.3420611320493759,0.1038475905864774,0.0651849084796414,False
M,2016,5369,5369,351,132,0,69.08647046999069,103.65163491089456,0.9983237101881169,0.35361821393168164,0.1070962935369715,0.06165021419258707,True
M,2017,5395,5395,351,132,0,69.45370880257629,103.58590868814933,0.9985171455050973,0.36361008975449977,0.1108433734939759,0.06209453197405004,True
M,2018,5405,5405,351,132,0,69.38641742120558,104.19542354207648,0.9990749306197965,0.37462199973510063,0.11433857539315449,0.06530989824236817,True
M,2019,5463,5463,353,132,0,69.66366038196352,103.11082332295379,0.9990847519677832,0.3869702699696503,0.11147721032399781,0.0023796448837635,True
M,2020,5328,5328,353,128,0,69.10336330174871,100.77613437878237,0.9984984984984985,0.37522241011690316,0.08370870870870871,0.05574324324324324,False
M,2021,3855,3855,347,132,0,70.16936225418911,100.14123400017229,0.9916990920881972,0.37386515248846625,0.1053177691309987,0.05525291828793774,True
M,2022,5345,5345,358,132,0,68.9785018094887,100.71674499413677,0.9900841908325538,0.37739920961472784,0.10907390084190832,0.058559401309635176,False
M,2023,5602,5602,363,132,0,68.82377706014086,101.91792035135008,0.9907176008568368,0.37332859352392356,0.11995715815780078,0.0626561942163513,False
M,2024,5607,5607,362,132,0,69.4537784344245,103.69152335054837,0.9905475298733726,0.3728272263326626,0.1136079900124844,0.05974674514000357,False
M,2025,5641,5641,364,132,0,68.96802074100337,104.69961540448926,0.9891863144832477,0.3902663513036246,0.10689594043609289,0.055841162914376886,False
M,2026,5647,5647,365,132,0,69.40083767996953,106.81588514174211,0.9883123782539401,0.3950518391064917,0.11138657694350983,0.05595891623871082,False
W,2013,5184,5184,345,132,0,69.60343129403604,88.26785436065354,0.998070987654321,0.279169695689278,0.11458333333333333,0.04205246913580247,False
W,2014,5252,5252,349,132,0,71.53668139410094,93.59911603723049,0.9973343488194973,0.2887511851984727,0.12395277989337396,0.044173648134044174,False
W,2015,5214,5214,349,132,0,70.14729413428492,91.05876610798913,0.9978902953586498,0.28633169756957444,0.07249712313003452,0.04602991944764097,False
W,2016,5209,5209,349,132,0,70.13058333717433,90.94690646081965,0.9978882703014014,0.2992804536546666,0.09195622960261086,0.04319447110769822,True
W,2017,5210,5210,349,132,0,70.07070924213342,91.92204497490692,0.9984644913627639,0.31115809860417804,0.06948176583493282,0.04145873320537428,True
W,2018,5209,5209,349,132,0,70.12335417914991,92.58708103822812,0.9984641965828374,0.317873175977904,0.09521981186408139,0.045690151660587444,True
W,2019,5240,5240,351,132,0,70.26319848774,91.8725089552575,0.998854961832061,0.3246265868232343,0.08854961832061069,0.040648854961832064,True
W,2020,5171,5171,351,129,0,70.78363600714162,91.035883276135,0.9988396828466447,0.32003000235312573,0.05878940243666602,0.04815316186424289,False
W,2021,3556,3556,343,132,0,72.02438229312246,90.48329427520972,0.984251968503937,0.3291459018068696,0.07564679415073115,0.045556805399325086,True
W,2022,5060,5060,356,132,0,71.2705641144648,89.42510788288502,0.9851778656126482,0.322761710546751,0.0883399209486166,0.04426877470355731,False
W,2023,5374,5374,361,132,0,71.46405698687659,90.22426162421962,0.9847413472273912,0.32556184399588917,0.07610718273167101,0.0481950130256792,False
W,2024,5414,5414,360,132,0,71.58667808021106,90.38229143336835,0.9839305504248246,0.32680387944651546,0.09383080901366826,0.041374214998152935,False
W,2025,5444,5444,362,132,0,71.54483422116091,90.58146926031591,0.9823659074210139,0.33608794960759364,0.09698750918442321,0.04132990448199853,False
W,2026,5479,5479,363,132,0,71.93314083986424,90.4408277978336,0.9812009490782989,0.3394227125057122,0.09490782989596641,0.04508121920058405,False
