Gender,validation_season,training_seasons,training_max_season,training_games,validation_games,snapshot_cutoff,first_validation_day,no_season_overlap
M,2016,"2013, 2014, 2015",2015,201,67,132,134,True
M,2017,"2013, 2014, 2015, 2016",2016,268,67,132,134,True
M,2018,"2013, 2014, 2015, 2016, 2017",2017,335,67,132,134,True
M,2019,"2013, 2014, 2015, 2016, 2017, 2018",2018,402,67,132,134,True
M,2021,"2013, 2014, 2015, 2016, 2017, 2018, 2019",2019,469,66,132,136,True
W,2016,"2013, 2014, 2015",2015,189,63,132,137,True
W,2017,"2013, 2014, 2015, 2016",2016,252,63,132,137,True
W,2018,"2013, 2014, 2015, 2016, 2017",2017,315,63,132,137,True
W,2019,"2013, 2014, 2015, 2016, 2017, 2018",2018,378,63,132,137,True
W,2021,"2013, 2014, 2015, 2016, 2017, 2018, 2019",2019,441,63,132,139,True
