Gender,Season,DayNum,ID,y,p,route,model,capacity,block
M,2016,134,2016_1192_1195,0,0.20499158132365164,M_rankings,logistic,32,cap_32
M,2016,134,2016_1435_1455,0,0.4773880999847884,M_rankings,logistic,32,cap_32
M,2016,135,2016_1221_1380,1,0.5236227880507822,M_rankings,logistic,32,cap_32
M,2016,135,2016_1276_1409,1,0.6866773015370495,M_rankings,logistic,32,cap_32
M,2016,136,2016_1114_1345,1,0.14299141695617146,M_rankings,logistic,32,cap_32
M,2016,136,2016_1139_1403,1,0.7543480104454949,M_rankings,logistic,32,cap_32
M,2016,136,2016_1160_1163,0,0.20247401892878925,M_rankings,logistic,32,cap_32
M,2016,136,2016_1181_1423,1,0.8894753926322766,M_rankings,logistic,32,cap_32
M,2016,136,2016_1211_1371,1,0.6942961451478882,M_rankings,logistic,32,cap_32
M,2016,136,2016_1151_1231,0,0.0865836762452834,M_rankings,logistic,32,cap_32
M,2016,136,2016_1233_1235,0,0.19142531242089333,M_rankings,logistic,32,cap_32
M,2016,136,2016_1122_1242,0,0.01554305828224034,M_rankings,logistic,32,cap_32
M,2016,136,2016_1246_1392,1,0.9097115864180657,M_rankings,logistic,32,cap_32
M,2016,136,2016_1138_1274,0,0.12699459435345944,M_rankings,logistic,32,cap_32
M,2016,136,2016_1195_1314,0,0.06167821067858492,M_rankings,logistic,32,cap_32
M,2016,136,2016_1344_1425,1,0.39038067471751065,M_rankings,logistic,32,cap_32
M,2016,136,2016_1201_1428,0,0.19119745928492388,M_rankings,logistic,32,cap_32
M,2016,136,2016_1214_1438,0,0.011323955259485707,M_rankings,logistic,32,cap_32
M,2016,136,2016_1112_1455,0,0.6845186816323898,M_rankings,logistic,32,cap_32
M,2016,136,2016_1124_1463,0,0.7264609296111058,M_rankings,logistic,32,cap_32
M,2016,137,2016_1143_1218,0,0.6950174521563468,M_rankings,logistic,32,cap_32
M,2016,137,2016_1234_1396,1,0.8449843304025619,M_rankings,logistic,32,cap_32
M,2016,137,2016_1268_1355,1,0.8087884977346271,M_rankings,logistic,32,cap_32
M,2016,137,2016_1277_1292,0,0.9455342838213677,M_rankings,logistic,32,cap_32
M,2016,137,2016_1320_1400,1,0.3385801224973581,M_rankings,logistic,32,cap_32
M,2016,137,2016_1276_1323,0,0.5273386376827709,M_rankings,logistic,32,cap_32
M,2016,137,2016_1167_1328,0,0.10365838040486297,M_rankings,logistic,32,cap_32
M,2016,137,2016_1221_1332,0,0.07512248263850552,M_rankings,logistic,32,cap_32
M,2016,137,2016_1372_1452,1,0.10699348008543502,M_rankings,logistic,32,cap_32
M,2016,137,2016_1153_1386,0,0.7505910466973036,M_rankings,logistic,32,cap_32
M,2016,137,2016_1173_1393,0,0.34504650467910114,M_rankings,logistic,32,cap_32
M,2016,137,2016_1401_1453,1,0.8433694715248923,M_rankings,logistic,32,cap_32
M,2016,137,2016_1333_1433,0,0.22899692402363797,M_rankings,logistic,32,cap_32
M,2016,137,2016_1421_1437,0,0.07127091712570671,M_rankings,logistic,32,cap_32
M,2016,137,2016_1338_1458,0,0.479000204704509,M_rankings,logistic,32,cap_32
M,2016,137,2016_1451_1462,0,0.15373753857351208,M_rankings,logistic,32,cap_32
M,2016,138,2016_1181_1463,1,0.8238425656518288,M_rankings,logistic,32,cap_32
M,2016,138,2016_1211_1428,1,0.6216143462983807,M_rankings,logistic,32,cap_32
M,2016,138,2016_1231_1246,1,0.39916146856613355,M_rankings,logistic,32,cap_32
M,2016,138,2016_1114_1235,0,0.2671952952498428,M_rankings,logistic,32,cap_32
M,2016,138,2016_1163_1242,0,0.26306829669854825,M_rankings,logistic,32,cap_32
M,2016,138,2016_1274_1455,1,0.5455519059484439,M_rankings,logistic,32,cap_32
M,2016,138,2016_1314_1344,1,0.8838635158849983,M_rankings,logistic,32,cap_32
M,2016,138,2016_1139_1438,0,0.3852907627607833,M_rankings,logistic,32,cap_32
M,2016,139,2016_1218_1268,0,0.2262707382966802,M_rankings,logistic,32,cap_32
M,2016,139,2016_1323_1372,1,0.7632868289311716,M_rankings,logistic,32,cap_32
M,2016,139,2016_1328_1433,1,0.6098332108457372,M_rankings,logistic,32,cap_32
M,2016,139,2016_1332_1386,1,0.6693946885129074,M_rankings,logistic,32,cap_32
M,2016,139,2016_1292_1393,0,0.17277698468695485,M_rankings,logistic,32,cap_32
M,2016,139,2016_1320_1401,0,0.22329041439105457,M_rankings,logistic,32,cap_32
