route,model,Season,capacity,history_last_season,history_seasons
M_common,hist,2016,32,2015,2
M_common,hist,2017,32,2016,3
M_common,hist,2018,64,2017,4
M_common,hist,2019,64,2018,5
M_common,hist,2021,64,2019,6
M_common,logistic,2016,32,2015,2
M_common,logistic,2017,32,2016,3
M_common,logistic,2018,32,2017,4
M_common,logistic,2019,32,2018,5
M_common,logistic,2021,32,2019,6
M_rankings,hist,2016,32,2015,2
M_rankings,hist,2017,32,2016,3
M_rankings,hist,2018,32,2017,4
M_rankings,hist,2019,32,2018,5
M_rankings,hist,2021,32,2019,6
M_rankings,logistic,2016,32,2015,2
M_rankings,logistic,2017,32,2016,3
M_rankings,logistic,2018,32,2017,4
M_rankings,logistic,2019,32,2018,5
M_rankings,logistic,2021,32,2019,6
W_common,hist,2016,64,2015,2
W_common,hist,2017,64,2016,3
W_common,hist,2018,64,2017,4
W_common,hist,2019,128,2018,5
W_common,hist,2021,64,2019,6
W_common,logistic,2016,128,2015,2
W_common,logistic,2017,32,2016,3
W_common,logistic,2018,32,2017,4
W_common,logistic,2019,32,2018,5
W_common,logistic,2021,32,2019,6
