Population,DatasetRole,Gender,FeatureRoute,Block,Features,MeanMissingRate,MedianMissingRate,MaxMissingRate
historical_tournament_matchups,development,M,seed_aware,availability_and_context,9,0.0,0.0,0.0
historical_tournament_matchups,development,M,seed_aware,compact_performance,195,0.004149928621227715,0.0,0.1368148467846353
historical_tournament_matchups,development,M,seed_aware,conference_context,15,0.21087613293051358,0.0,0.4518774277082434
historical_tournament_matchups,development,M,seed_aware,detailed_efficiency,478,0.482580092927841,0.49028916702632713,0.5118687958567113
historical_tournament_matchups,development,M,seed_aware,dynamic_ratings,40,0.0,0.0,0.0
historical_tournament_matchups,development,M,seed_aware,geography_and_schedule_dispersion,10,0.13672852826931375,0.0,0.6836426413465688
historical_tournament_matchups,development,M,seed_aware,global_strength_ratings,42,0.0,0.0,0.0
historical_tournament_matchups,development,M,seed_aware,massey_consensus,79,0.5281272706413247,0.49028916702632713,0.8234786361674579
historical_tournament_matchups,development,M,seed_aware,matchup_context,9,0.0,0.0,0.0
historical_tournament_matchups,development,M,seed_aware,matchup_interactions,10,0.3922313336210617,0.49028916702632713,0.49028916702632713
historical_tournament_matchups,development,M,seed_aware,opponent_adjusted_efficiency,20,0.4902891670263271,0.49028916702632713,0.49028916702632713
historical_tournament_matchups,development,M,seed_aware,prequential_seed_priors,13,0.005112712061352545,0.0,0.03323262839879154
historical_tournament_matchups,development,M,seed_aware,prior_coach_history,21,0.031650122284563376,0.0,0.3323262839879154
historical_tournament_matchups,development,M,seed_aware,prior_program_history,17,0.018228439412018585,0.0,0.15494173500215797
historical_tournament_matchups,development,M,seed_aware,schedule_and_accomplishment,35,0.0,0.0,0.0
historical_tournament_matchups,development,M,seed_aware,selection_committee_prior,7,0.0,0.0,0.0
historical_tournament_matchups,development,M,seed_aware,within_season_normalization,70,0.168099142980455,0.0,0.49028916702632713
historical_tournament_matchups,development,W,seed_aware,availability_and_context,9,0.1111111111111111,0.0,1.0
historical_tournament_matchups,development,W,seed_aware,compact_performance,195,0.017847852630461326,0.0,0.4078674948240166
historical_tournament_matchups,development,W,seed_aware,conference_context,15,0.08856682769726247,0.0,0.18978605935127674
historical_tournament_matchups,development,W,seed_aware,detailed_efficiency,478,0.5140076405311989,0.5217391304347826,0.5555555555555556
historical_tournament_matchups,development,W,seed_aware,dynamic_ratings,40,0.0,0.0,0.0
historical_tournament_matchups,development,W,seed_aware,geography_and_schedule_dispersion,10,0.10434782608695652,0.0,0.5217391304347826
historical_tournament_matchups,development,W,seed_aware,global_strength_ratings,42,0.0,0.0,0.0
historical_tournament_matchups,development,W,seed_aware,massey_consensus,79,1.0,1.0,1.0
historical_tournament_matchups,development,W,seed_aware,matchup_context,9,0.0,0.0,0.0
historical_tournament_matchups,development,W,seed_aware,matchup_interactions,10,0.41739130434782606,0.5217391304347826,0.5217391304347826
historical_tournament_matchups,development,W,seed_aware,opponent_adjusted_efficiency,20,0.5217391304347826,0.5217391304347826,0.5217391304347826
historical_tournament_matchups,development,W,seed_aware,prequential_seed_priors,13,0.002760524499654934,0.0,0.017943409247757072
historical_tournament_matchups,development,W,seed_aware,prior_coach_history,21,1.0,1.0,1.0
historical_tournament_matchups,development,W,seed_aware,prior_program_history,17,0.023870417732310318,0.0,0.2028985507246377
historical_tournament_matchups,development,W,seed_aware,schedule_and_accomplishment,35,0.0,0.0,0.0
historical_tournament_matchups,development,W,seed_aware,selection_committee_prior,7,0.0,0.0,0.0
historical_tournament_matchups,development,W,seed_aware,within_season_normalization,70,0.2062111801242236,0.0,1.0
historical_tournament_matchups,locked_benchmark,M,seed_aware,availability_and_context,9,0.0,0.0,0.0
historical_tournament_matchups,locked_benchmark,M,seed_aware,compact_performance,195,0.0011672407194795254,0.0,0.026119402985074626
historical_tournament_matchups,locked_benchmark,M,seed_aware,conference_context,15,0.0,0.0,0.0
historical_tournament_matchups,locked_benchmark,M,seed_aware,detailed_efficiency,478,0.00042933866233685125,0.0,0.018656716417910446
historical_tournament_matchups,locked_benchmark,M,seed_aware,dynamic_ratings,40,0.0,0.0,0.0
historical_tournament_matchups,locked_benchmark,M,seed_aware,geography_and_schedule_dispersion,10,0.0,0.0,0.0
historical_tournament_matchups,locked_benchmark,M,seed_aware,global_strength_ratings,42,0.0,0.0,0.0
historical_tournament_matchups,locked_benchmark,M,seed_aware,massey_consensus,79,0.10334403929718496,0.0,1.0
