SystemName,DevelopmentSeasons,DevelopmentTeamSeasonRows,MedianTeamsPerSeason,LastDevelopmentSeason,SelectedStableSystem
MOR,19,6543,347.0,2021,True
SAG,19,6543,347.0,2021,True
POM,19,6540,347.0,2021,True
WLK,19,6530,347.0,2021,True
DOL,19,6529,347.0,2021,True
COL,19,6528,346.0,2021,True
AP,19,851,44.0,2021,True
USA,19,831,44.0,2021,True
SEL,18,6187,347.0,2021,True
BIH,18,6186,347.0,2021,True
WOB,18,6180,347.0,2021,True
RTH,18,6186,347.0,2020,True
WOL,18,6186,347.0,2020,True
DUN,17,5877,347.0,2021,True
CNG,17,5856,347.0,2020,True
DOK,16,5560,351.0,2021,True
WIL,16,5556,351.0,2021,True
DES,16,677,42.0,2021,True
RPI,16,5473,345.0,2018,True
MAS,15,5185,351.0,2021,True
PIG,15,5196,347.0,2020,False
PGH,14,4883,351.0,2021,False
REW,14,4880,351.0,2021,False
KRA,14,4873,351.0,2021,False
BOB,14,4778,345.0,2016,False
DCI,13,4542,351.0,2021,False
KPK,13,4536,351.0,2021,False
LMC,13,4534,351.0,2021,False
STH,13,4533,351.0,2020,False
DC,13,4472,345.0,2017,False
RT,12,4190,351.0,2021,False
SPW,12,4180,351.0,2019,False
RTP,11,3854,351.0,2021,False
SE,11,3771,345.0,2015,False
BBT,10,3510,351.0,2021,False
SFX,10,3510,351.0,2021,False
7OT,10,3509,351.0,2021,False
EBP,10,3499,351.0,2021,False
NOL,10,3487,351.0,2021,False
CPR,10,3461,347.0,2016,False
RTR,10,3456,347.0,2016,False
LYN,10,2665,345.0,2013,False
DII,9,3165,351.0,2021,False
TPR,9,3155,351.0,2021,False
ARG,9,3089,351.0,2021,False
CPA,9,3125,347.0,2016,False
LOG,8,2808,351.0,2021,False
SPR,8,2808,351.0,2021,False
TRP,8,2808,351.0,2021,False
MB,8,2742,345.0,2013,False
GRN,8,2684,336.0,2010,False
BWE,7,2467,351.0,2021,False
TRK,7,2457,351.0,2021,False
CRO,7,2449,351.0,2020,False
BUR,7,2453,351.0,2019,False
TW,7,2429,347.0,2016,False
REI,7,2398,345.0,2013,False
DAV,6,2116,353.0,2021,False
FAS,6,2116,353.0,2021,False
HAS,6,2116,353.0,2021,False
KLK,6,2050,343.0,2020,False
SP,6,2108,351.0,2019,False
HKB,6,2089,351.0,2017,False
RTB,6,2082,347.0,2014,False
SIM,6,2011,336.0,2009,False
TSR,6,1992,332.0,2008,False
JNG,5,1533,353.0,2021,False
SMS,5,1756,351.0,2021,False
FSH,5,1759,351.0,2020,False
KPI,5,1759,351.0,2020,False
BLS,5,1751,351.0,2018,False
DC2,5,1738,347.0,2018,False
ADE,5,1744,351.0,2017,False
