RatingA,RatingB,SpearmanCorrelation,Gender
rating__elo_standard,rating__elo_standard,1.0,M
rating__elo_mov_log,rating__elo_standard,0.9817239666725667,M
rating__elo_mov_538,rating__elo_standard,0.9830852297542868,M
rating__margin_ridge_a5p0,rating__elo_standard,0.9176054869233374,M
rating__margin_ridge_a25p0,rating__elo_standard,0.9370715661281752,M
rating__bt_c0p25,rating__elo_standard,0.957257411681902,M
rating__bt_c1p0,rating__elo_standard,0.9524124206721353,M
rating__colley,rating__elo_standard,0.9425571103696586,M
rating__pagerank_binary,rating__elo_standard,0.8743170659795721,M
rating__pagerank_margin,rating__elo_standard,0.8750501928455228,M
adj__net_rtg_a10p0,rating__elo_standard,0.9414034851724868,M
adj__net_rtg_a50p0,rating__elo_standard,0.9237757267080192,M
massey__strength_mean,rating__elo_standard,0.9425870026365973,M
rating__elo_standard,rating__elo_mov_log,0.9817239666725667,M
rating__elo_mov_log,rating__elo_mov_log,1.0,M
rating__elo_mov_538,rating__elo_mov_log,0.9998616487587504,M
rating__margin_ridge_a5p0,rating__elo_mov_log,0.9575047911900347,M
rating__margin_ridge_a25p0,rating__elo_mov_log,0.9662366589494804,M
rating__bt_c0p25,rating__elo_mov_log,0.964620423610703,M
rating__bt_c1p0,rating__elo_mov_log,0.9717859369484886,M
rating__colley,rating__elo_mov_log,0.967188242570709,M
rating__pagerank_binary,rating__elo_mov_log,0.9042894911415948,M
rating__pagerank_margin,rating__elo_mov_log,0.9112037198267263,M
adj__net_rtg_a10p0,rating__elo_mov_log,0.9683844555250245,M
adj__net_rtg_a50p0,rating__elo_mov_log,0.9397647221177161,M
massey__strength_mean,rating__elo_mov_log,0.97291066902399,M
rating__elo_standard,rating__elo_mov_538,0.9830852297542868,M
rating__elo_mov_log,rating__elo_mov_538,0.9998616487587504,M
rating__elo_mov_538,rating__elo_mov_538,1.0,M
rating__margin_ridge_a5p0,rating__elo_mov_538,0.9559363459834371,M
rating__margin_ridge_a25p0,rating__elo_mov_538,0.9660128665886213,M
rating__bt_c0p25,rating__elo_mov_538,0.9650411372205235,M
rating__bt_c1p0,rating__elo_mov_538,0.9708778486792979,M
rating__colley,rating__elo_mov_538,0.9658431593102916,M
rating__pagerank_binary,rating__elo_mov_538,0.9015454911091471,M
rating__pagerank_margin,rating__elo_mov_538,0.9084637725287135,M
adj__net_rtg_a10p0,rating__elo_mov_538,0.9680853995356082,M
adj__net_rtg_a50p0,rating__elo_mov_538,0.9410460007957876,M
massey__strength_mean,rating__elo_mov_538,0.9711771495622681,M
rating__elo_standard,rating__margin_ridge_a5p0,0.9176054869233374,M
rating__elo_mov_log,rating__margin_ridge_a5p0,0.9575047911900347,M
rating__elo_mov_538,rating__margin_ridge_a5p0,0.9559363459834371,M
rating__margin_ridge_a5p0,rating__margin_ridge_a5p0,1.0,M
rating__margin_ridge_a25p0,rating__margin_ridge_a5p0,0.9806446157260704,M
rating__bt_c0p25,rating__margin_ridge_a5p0,0.923573413232401,M
rating__bt_c1p0,rating__margin_ridge_a5p0,0.9605560398019837,M
rating__colley,rating__margin_ridge_a5p0,0.9672937941272558,M
rating__pagerank_binary,rating__margin_ridge_a5p0,0.9275961359920886,M
rating__pagerank_margin,rating__margin_ridge_a5p0,0.938692196050187,M
adj__net_rtg_a10p0,rating__margin_ridge_a5p0,0.984648142057229,M
adj__net_rtg_a50p0,rating__margin_ridge_a5p0,0.9291966811299381,M
massey__strength_mean,rating__margin_ridge_a5p0,0.987965605631426,M
rating__elo_standard,rating__margin_ridge_a25p0,0.9370715661281752,M
rating__elo_mov_log,rating__margin_ridge_a25p0,0.9662366589494804,M
rating__elo_mov_538,rating__margin_ridge_a25p0,0.9660128665886213,M
rating__margin_ridge_a5p0,rating__margin_ridge_a25p0,0.9806446157260704,M
rating__margin_ridge_a25p0,rating__margin_ridge_a25p0,1.0,M
rating__bt_c0p25,rating__margin_ridge_a25p0,0.954936550124813,M
rating__bt_c1p0,rating__margin_ridge_a25p0,0.9594518249194008,M
rating__colley,rating__margin_ridge_a25p0,0.9505975098080435,M
rating__pagerank_binary,rating__margin_ridge_a25p0,0.8877876098528981,M
rating__pagerank_margin,rating__margin_ridge_a25p0,0.8999450066394225,M
adj__net_rtg_a10p0,rating__margin_ridge_a25p0,0.9989516247249111,M
adj__net_rtg_a50p0,rating__margin_ridge_a25p0,0.9800786721018568,M
massey__strength_mean,rating__margin_ridge_a25p0,0.9666719869407681,M
rating__elo_standard,rating__bt_c0p25,0.957257411681902,M
rating__elo_mov_log,rating__bt_c0p25,0.964620423610703,M
rating__elo_mov_538,rating__bt_c0p25,0.9650411372205235,M
rating__margin_ridge_a5p0,rating__bt_c0p25,0.923573413232401,M
rating__margin_ridge_a25p0,rating__bt_c0p25,0.954936550124813,M
rating__bt_c0p25,rating__bt_c0p25,1.0,M
rating__bt_c1p0,rating__bt_c0p25,0.984227461050379,M
rating__colley,rating__bt_c0p25,0.9653442289858798,M
rating__pagerank_binary,rating__bt_c0p25,0.8814330164680568,M
rating__pagerank_margin,rating__bt_c0p25,0.8787346767410615,M
adj__net_rtg_a10p0,rating__bt_c0p25,0.9547599910473494,M
adj__net_rtg_a50p0,rating__bt_c0p25,0.9512988362557169,M
massey__strength_mean,rating__bt_c0p25,0.9488517109606216,M
rating__elo_standard,rating__bt_c1p0,0.9524124206721353,M
rating__elo_mov_log,rating__bt_c1p0,0.9717859369484886,M
rating__elo_mov_538,rating__bt_c1p0,0.9708778486792979,M
rating__margin_ridge_a5p0,rating__bt_c1p0,0.9605560398019837,M
rating__margin_ridge_a25p0,rating__bt_c1p0,0.9594518249194008,M
rating__bt_c0p25,rating__bt_c1p0,0.984227461050379,M
rating__bt_c1p0,rating__bt_c1p0,1.0,M
rating__colley,rating__bt_c1p0,0.9933979703222051,M
rating__pagerank_binary,rating__bt_c1p0,0.9330540915477695,M
rating__pagerank_margin,rating__bt_c1p0,0.9303215307950222,M
adj__net_rtg_a10p0,rating__bt_c1p0,0.9620713407870239,M
adj__net_rtg_a50p0,rating__bt_c1p0,0.9248642210157917,M
massey__strength_mean,rating__bt_c1p0,0.9837511433697697,M
rating__elo_standard,rating__colley,0.9425571103696586,M
rating__elo_mov_log,rating__colley,0.967188242570709,M
rating__elo_mov_538,rating__colley,0.9658431593102916,M
rating__margin_ridge_a5p0,rating__colley,0.9672937941272558,M
rating__margin_ridge_a25p0,rating__colley,0.9505975098080435,M
rating__bt_c0p25,rating__colley,0.9653442289858798,M
rating__bt_c1p0,rating__colley,0.9933979703222051,M
rating__colley,rating__colley,1.0,M
rating__pagerank_binary,rating__colley,0.946829503068115,M
rating__pagerank_margin,rating__colley,0.944964021333646,M
adj__net_rtg_a10p0,rating__colley,0.9547600743289799,M
adj__net_rtg_a50p0,rating__colley,0.9027048265458838,M
massey__strength_mean,rating__colley,0.9910595158786852,M
rating__elo_standard,rating__pagerank_binary,0.8743170659795721,M
rating__elo_mov_log,rating__pagerank_binary,0.9042894911415948,M
rating__elo_mov_538,rating__pagerank_binary,0.9015454911091471,M
rating__margin_ridge_a5p0,rating__pagerank_binary,0.9275961359920886,M
rating__margin_ridge_a25p0,rating__pagerank_binary,0.8877876098528981,M
rating__bt_c0p25,rating__pagerank_binary,0.8814330164680568,M
rating__bt_c1p0,rating__pagerank_binary,0.9330540915477695,M
rating__colley,rating__pagerank_binary,0.946829503068115,M
rating__pagerank_binary,rating__pagerank_binary,1.0,M
rating__pagerank_margin,rating__pagerank_binary,0.9915982440326,M
adj__net_rtg_a10p0,rating__pagerank_binary,0.8998705770759527,M
adj__net_rtg_a50p0,rating__pagerank_binary,0.8238200104870975,M
massey__strength_mean,rating__pagerank_binary,0.952582739004734,M
rating__elo_standard,rating__pagerank_margin,0.8750501928455228,M
rating__elo_mov_log,rating__pagerank_margin,0.9112037198267263,M
rating__elo_mov_538,rating__pagerank_margin,0.9084637725287135,M
