Gender,model,candidate,baseline,season_count,brier_delta,ci_low,ci_high
M,hist,adjusted,strength,5,0.002472023556978553,-0.0009168832567228314,0.005532696450168568
M,hist,four_factors,strength,5,0.0006442244608991331,-0.004580965846446058,0.006748232627165504
M,hist,form,strength,5,0.0044901492320692975,-0.003174129259411377,0.00927428157757456
M,hist,shooting,strength,5,0.00446362327377099,0.0011886552466678188,0.008482377631609219
M,hist,tempo,strength,5,-0.002432901781843505,-0.007351947902094013,0.00365276811719178
M,hist,dynamic,strength,5,-0.002371680530253926,-0.011383474582716935,0.007545011479809197
M,hist,history,strength,5,0.0007253703098309913,-0.005186701931739066,0.006637442551401048
M,hist,rankings,strength,5,-0.009230536512417828,-0.014769565562041833,-0.0016925739382999106
M,hist,rank_trends,strength,5,0.003958944047625977,-0.006318056147212539,0.015860039013614
M,hist,target_team,strength,5,0.0023893056009880805,-0.0016288443390521136,0.0095086309239721
M,hist,target_seed,strength,5,0.0002465517191301201,-0.0028812090469904988,0.003374312485250739
M,hist,target_rank,strength,5,0.000826207751016495,-0.0009280011253253664,0.002018772793222269
M,hist,ball_control,strength,5,-0.006178339542893882,-0.012494370308406305,0.00013769122261854082
M,hist,schedule_context,strength,5,-0.0006352405626184806,-0.0046750501824042905,0.002715587260917733
M,hist,scoring_shape,strength,5,0.002421365533922319,-0.001783345215912327,0.00787226559072086
M,hist,interactions,strength,5,0.0032383331526326165,-0.0023915330549804867,0.008529650046744561
M,hist,full,legacy_full,5,-0.006237389557222118,-0.016345586484391515,0.0017546508773424458
M,hist,full,without_adjusted,5,-0.00038587094774383157,-0.002421360619295782,0.0014672824293721375
M,hist,full,without_four_factors,5,-0.0005243375465110629,-0.0013566051872721885,0.0004464555371226192
M,hist,full,without_form,5,0.0006850157315276157,-0.0021313352387289097,0.003174869789992219
M,hist,full,without_shooting,5,0.0009297701696278866,-0.0019074099023847577,0.0046981373628395134
M,hist,full,without_tempo,5,-0.0001858384882920004,-0.0024595032420763273,0.0033023940307768925
M,hist,full,without_dynamic,5,0.002717269317427758,-0.002843920756227025,0.007012207674416927
M,hist,full,without_history,5,2.600113831005557e-07,-0.003970361558492105,0.005022148322069644
M,hist,full,without_rankings,5,-0.002355032350481029,-0.006661697909263758,0.0023472995257630136
M,hist,full,without_rank_trends,5,-0.0005936780470080566,-0.001317324542612821,0.00023318708656868306
M,hist,full,without_target_team,5,-9.556081826809372e-05,-0.00022650172419516842,-8.342708418981779e-06
M,hist,full,without_target_seed,5,0.0005247291032687297,-0.001250817274231538,0.002319010374151361
M,hist,full,without_target_rank,5,0.0,0.0,0.0
M,hist,full,without_ball_control,5,0.0019425483319713333,-0.002537938533701569,0.006423035197644237
M,hist,full,without_schedule_context,5,-0.0018099219153031184,-0.004878469628507447,0.0012586257979012093
M,hist,full,without_scoring_shape,5,0.00042984710879705846,-0.0016151947093186435,0.0028751751860929555
M,hist,full,without_interactions,5,0.0006778968900164326,-0.0011483139898836243,0.002443033910295771
M,logistic,adjusted,strength,5,4.3461152335506903e-07,-0.0016570709139296115,0.0018032915642449323
M,logistic,four_factors,strength,5,-0.003209768388006026,-0.0067596345447628135,0.001260516225393315
M,logistic,form,strength,5,0.005943833529032596,-0.005364589915166654,0.01624985140879295
M,logistic,shooting,strength,5,0.010430795684741246,0.00531245559575869,0.01511979901677311
M,logistic,tempo,strength,5,0.0101502344946577,-0.008434031911050362,0.040494518619518215
M,logistic,dynamic,strength,5,-0.0021203552513287317,-0.006359036108431225,0.003255661497335174
M,logistic,history,strength,5,0.00014382487628084403,-0.0028824261491671435,0.0019763472122816834
M,logistic,rankings,strength,5,-0.0036657098236677283,-0.008507478341754766,0.002272441479914561
M,logistic,rank_trends,strength,5,0.005613147111682648,-0.0006865827983577974,0.010841213130416909
M,logistic,target_team,strength,5,0.0018938761125100276,-0.0019853171267715424,0.00576108855506404
M,logistic,target_seed,strength,5,-0.0007290788996393199,-0.0031913445601060623,0.0016367083064696755
M,logistic,target_rank,strength,5,0.000901248117912248,-0.00011626788936793294,0.0018766073538582294
M,logistic,ball_control,strength,5,-0.0006791416079253404,-0.011126643688976102,0.010138569574559105
M,logistic,schedule_context,strength,5,0.0004692231337295364,-0.003499831145450432,0.004438277412909505
M,logistic,scoring_shape,strength,5,0.0018701778048590926,-0.00039336927350290226,0.004076613311902231
M,logistic,interactions,strength,5,-0.0003040117651653241,-0.002177397782402735,0.002135902746924581
M,logistic,full,legacy_full,5,0.026298527735868365,0.006934778772756886,0.048378743456556364
M,logistic,full,without_adjusted,5,-6.82625199217699e-05,-0.0003717174433170684,0.0002224910204650475
M,logistic,full,without_four_factors,5,-0.000577631080119651,-0.0011205135228659787,0.00017240713887583755
M,logistic,full,without_form,5,-0.0006495298053782494,-0.013829603762100972,0.0118130757588929
M,logistic,full,without_shooting,5,-0.0002473431133909248,-0.004246605248149521,0.0030392962951760216
M,logistic,full,without_tempo,5,0.00477628635934729,-0.00881074240236456,0.02678977498694108
M,logistic,full,without_dynamic,5,0.00025871451616950905,-0.0018298384903347432,0.003663769869425136
M,logistic,full,without_history,5,-0.002872188952625855,-0.007712501788607354,0.0020292925753166665
M,logistic,full,without_rankings,5,-0.0033998442254588902,-0.009227237829505554,0.005921695470245551
M,logistic,full,without_rank_trends,5,0.006326426546397039,0.0010737825523914873,0.012865547729585392
M,logistic,full,without_target_team,5,-0.0020921492787424625,-0.0051966144667916474,0.0016567838108852793
M,logistic,full,without_target_seed,5,-0.0028568829062640654,-0.005346104567367034,-0.0003676612451610956
M,logistic,full,without_target_rank,5,0.000948589476339255,-0.0005547333380316937,0.002451912290710204
M,logistic,full,without_ball_control,5,0.006642052266549242,-0.002336147537925836,0.015620252071024318
M,logistic,full,without_schedule_context,5,-0.0004456233696338515,-0.004226162800935296,0.0032231126694727843
M,logistic,full,without_scoring_shape,5,0.0024139197077104038,-0.0008842623672994241,0.006300057397683317
