feature,missing_fraction,unique_values
diff_seed,0.0,29
diff_strength,0.0,1575
diff_schedule_strength,0.0,1575
diff_win_rate,0.0,1150
diff_margin,0.0,1558
diff_margin_sd,0.0,1575
diff_efg,0.0,1575
diff_tov,0.0,1575
diff_orb,0.0,1575
diff_ftr,0.0,1575
diff_three_rate,0.0,1575
diff_opp_efg,0.0,1575
diff_opp_tov,0.0,1575
diff_opp_orb,0.0,1574
diff_opp_ftr,0.0,1575
diff_opp_three_rate,0.0,1575
diff_detailed_coverage,0.0,1
diff_recent_strength,0.0,1575
diff_strength_change,0.0,1575
matchup_efg,0.0,1575
matchup_tov,0.0,1575
matchup_orb,0.0,1575
matchup_ftr,0.0,1575
matchup_three_rate,0.0,1575
matchup_strength_volatility,0.0,1575
diff_adj_offense,0.0,1575
diff_adj_defense,0.0,1575
diff_recent_offense,0.0,1575
diff_recent_defense,0.0,1575
diff_adjusted_efg_offense,0.0,1575
diff_adjusted_efg_defense,0.0,1575
diff_adjusted_tov_offense,0.0,1575
diff_adjusted_tov_defense,0.0,1575
diff_adjusted_orb_offense,0.0,1575
diff_adjusted_orb_defense,0.0,1575
diff_adjusted_ftr_offense,0.0,1575
diff_adjusted_ftr_defense,0.0,1575
diff_residual_sd,0.0,1575
diff_residual_downside,0.0,1575
diff_recent_residual,0.0,1575
diff_road_residual,0.0,1575
diff_schedule_sd,0.0,1575
diff_strong_opponent_margin,0.0,1556
diff_close_win_posterior,0.0,788
diff_rest_days,0.0,20
diff_two_posterior,0.0,1575
diff_two_uncertainty,0.0,1575
diff_three_posterior,0.0,1575
diff_three_uncertainty,0.0,1575
diff_free_posterior,0.0,1575
diff_free_uncertainty,0.0,1575
diff_opp_two_posterior,0.0,1575
diff_opp_two_uncertainty,0.0,1575
diff_opp_three_posterior,0.0,1575
diff_opp_three_uncertainty,0.0,1575
diff_opp_free_posterior,0.0,1575
diff_opp_free_uncertainty,0.0,1575
diff_tempo,0.0,1575
diff_tempo_sd,0.0,1575
diff_three_dependence,0.0,1575
diff_possession_gap,0.0,1575
diff_clean_coverage,0.0,87
diff_elo,0.0,1575
diff_elo_mov,0.0,1575
diff_elo_change,0.0,1575
diff_elo_mov_change,0.0,1575
diff_prior_wins,0.0,51
diff_prior_appearances,0.0,11
diff_prior_seed,0.0,735
diff_rank_consensus,1.0,0
diff_rank_disagreement,1.0,0
diff_rank_momentum,1.0,0
diff_rank_systems,1.0,0
diff_rank_age,1.0,0
pace_strength,0.0,1575
uncertainty_strength,0.0,1575
three_variance_strength,0.0,1575
shooting_style,0.0,1575
offense_defense,0.0,1575
recent_offense_defense,0.0,1575
