Gender,Season,category,history_min_season,history_max_season,physical_history_games,known_categories,target_teams,cold_start_teams,missing_category_teams,prior_games,half_life_seasons,window_seasons
M,2013,team,,,0,0,347,347,0,20,3,5
M,2013,seed,,,0,0,347,347,279,20,3,5
M,2013,rank,,,0,0,347,347,347,20,3,5
M,2014,team,2013.0,2013.0,67,68,351,283,0,20,3,5
M,2014,seed,2013.0,2013.0,67,16,351,283,283,20,3,5
M,2014,rank,2013.0,2013.0,67,0,351,351,351,20,3,5
M,2015,team,2013.0,2014.0,134,103,351,248,0,20,3,5
M,2015,seed,2013.0,2014.0,134,16,351,283,283,20,3,5
M,2015,rank,2013.0,2014.0,134,0,351,351,351,20,3,5
M,2016,team,2013.0,2015.0,201,124,351,227,0,20,3,5
M,2016,seed,2013.0,2015.0,201,16,351,283,283,20,3,5
M,2016,rank,2013.0,2015.0,201,0,351,351,351,20,3,5
M,2017,team,2013.0,2016.0,268,143,351,208,0,20,3,5
M,2017,seed,2013.0,2016.0,268,16,351,283,283,20,3,5
M,2017,rank,2013.0,2016.0,268,0,351,351,351,20,3,5
M,2018,team,2013.0,2017.0,335,161,351,190,0,20,3,5
M,2018,seed,2013.0,2017.0,335,16,351,283,283,20,3,5
M,2018,rank,2013.0,2017.0,335,0,351,351,351,20,3,5
M,2019,team,2014.0,2018.0,335,167,353,186,0,20,3,5
M,2019,seed,2014.0,2018.0,335,16,353,285,285,20,3,5
M,2019,rank,2014.0,2018.0,335,0,353,353,353,20,3,5
M,2021,team,2016.0,2019.0,268,149,347,201,0,20,3,5
M,2021,seed,2016.0,2019.0,268,16,347,279,279,20,3,5
M,2021,rank,2016.0,2019.0,268,0,347,347,347,20,3,5
M,2022,team,2017.0,2021.0,267,147,358,211,0,20,3,5
M,2022,seed,2017.0,2021.0,267,16,358,290,290,20,3,5
M,2022,rank,2017.0,2021.0,267,0,358,358,358,20,3,5
M,2023,team,2018.0,2022.0,267,147,363,216,0,20,3,5
M,2023,seed,2018.0,2022.0,267,16,363,295,295,20,3,5
M,2023,rank,2018.0,2022.0,267,0,363,363,363,20,3,5
M,2024,team,2019.0,2023.0,267,149,362,214,0,20,3,5
M,2024,seed,2019.0,2023.0,267,16,362,294,294,20,3,5
M,2024,rank,2019.0,2023.0,267,0,362,362,362,20,3,5
M,2025,team,2021.0,2024.0,267,143,364,222,0,20,3,5
M,2025,seed,2021.0,2024.0,267,16,364,296,296,20,3,5
M,2025,rank,2021.0,2024.0,267,0,364,364,364,20,3,5
M,2026,team,2021.0,2025.0,334,161,365,205,0,20,3,5
M,2026,seed,2021.0,2025.0,334,16,365,297,297,20,3,5
M,2026,rank,2021.0,2025.0,334,0,365,365,365,20,3,5
W,2013,team,,,0,0,345,345,0,20,3,5
W,2013,seed,,,0,0,345,345,281,20,3,5
W,2013,rank,,,0,0,345,345,345,20,3,5
W,2014,team,2013.0,2013.0,63,64,349,285,0,20,3,5
W,2014,seed,2013.0,2013.0,63,16,349,285,285,20,3,5
W,2014,rank,2013.0,2013.0,63,0,349,349,349,20,3,5
W,2015,team,2013.0,2014.0,126,86,349,263,0,20,3,5
W,2015,seed,2013.0,2014.0,126,16,349,285,285,20,3,5
W,2015,rank,2013.0,2014.0,126,0,349,349,349,20,3,5
W,2016,team,2013.0,2015.0,189,106,349,243,0,20,3,5
W,2016,seed,2013.0,2015.0,189,16,349,285,285,20,3,5
W,2016,rank,2013.0,2015.0,189,0,349,349,349,20,3,5
W,2017,team,2013.0,2016.0,252,124,349,225,0,20,3,5
W,2017,seed,2013.0,2016.0,252,16,349,285,285,20,3,5
W,2017,rank,2013.0,2016.0,252,0,349,349,349,20,3,5
W,2018,team,2013.0,2017.0,315,136,349,213,0,20,3,5
W,2018,seed,2013.0,2017.0,315,16,349,285,285,20,3,5
W,2018,rank,2013.0,2017.0,315,0,349,349,349,20,3,5
W,2019,team,2014.0,2018.0,315,135,351,216,0,20,3,5
W,2019,seed,2014.0,2018.0,315,16,351,287,287,20,3,5
W,2019,rank,2014.0,2018.0,315,0,351,351,351,20,3,5
W,2021,team,2016.0,2019.0,252,122,343,225,0,20,3,5
W,2021,seed,2016.0,2019.0,252,16,343,279,279,20,3,5
W,2021,rank,2016.0,2019.0,252,0,343,343,343,20,3,5
W,2022,team,2017.0,2021.0,252,129,356,227,0,20,3,5
W,2022,seed,2017.0,2021.0,252,16,356,288,288,20,3,5
W,2022,rank,2017.0,2021.0,252,0,356,356,356,20,3,5
W,2023,team,2018.0,2022.0,256,133,361,228,0,20,3,5
W,2023,seed,2018.0,2022.0,256,16,361,293,293,20,3,5
W,2023,rank,2018.0,2022.0,256,0,361,361,361,20,3,5
W,2024,team,2019.0,2023.0,260,142,360,218,0,20,3,5
W,2024,seed,2019.0,2023.0,260,16,360,292,292,20,3,5
W,2024,rank,2019.0,2023.0,260,0,360,360,360,20,3,5
W,2025,team,2021.0,2024.0,264,138,362,224,0,20,3,5
W,2025,seed,2021.0,2024.0,264,16,362,294,294,20,3,5
W,2025,rank,2021.0,2024.0,264,0,362,362,362,20,3,5
W,2026,team,2021.0,2025.0,331,153,363,210,0,20,3,5
W,2026,seed,2021.0,2025.0,331,16,363,295,295,20,3,5
W,2026,rank,2021.0,2025.0,331,0,363,363,363,20,3,5
