Gender,Season,block,model,feature,fitted,train_nonmissing,validation_nonmissing,train_games,validation_games,standardized_coefficient,status
M,2016,full,logistic,diff_seed,True,201,67,201,67,0.0984125575523355,fitted
M,2016,full,logistic,diff_strength,True,201,67,201,67,0.0735830231030083,fitted
M,2016,full,logistic,diff_schedule_strength,True,201,67,201,67,0.3454529010175148,fitted
M,2016,full,logistic,diff_win_rate,True,201,67,201,67,0.0914183298918182,fitted
M,2016,full,logistic,diff_margin,True,201,67,201,67,-0.0363400610531309,fitted
M,2016,full,logistic,diff_margin_sd,True,201,67,201,67,0.1629716402233446,fitted
M,2016,full,logistic,diff_efg,True,201,67,201,67,0.0278719551315524,fitted
M,2016,full,logistic,diff_tov,True,201,67,201,67,0.1303504123046928,fitted
M,2016,full,logistic,diff_orb,True,201,67,201,67,-0.0406013083198896,fitted
M,2016,full,logistic,diff_ftr,True,201,67,201,67,-0.088537149810894,fitted
M,2016,full,logistic,diff_three_rate,True,201,67,201,67,-0.1450520446072739,fitted
M,2016,full,logistic,diff_opp_efg,True,201,67,201,67,-0.0589772422683676,fitted
M,2016,full,logistic,diff_opp_tov,True,201,67,201,67,0.2677377249972258,fitted
M,2016,full,logistic,diff_opp_orb,True,201,67,201,67,-0.1069332205843448,fitted
M,2016,full,logistic,diff_opp_ftr,True,201,67,201,67,-0.2226579796447413,fitted
M,2016,full,logistic,diff_opp_three_rate,True,201,67,201,67,-0.1476351662336057,fitted
M,2016,full,logistic,diff_detailed_coverage,False,201,67,201,67,,no_training_signal
M,2016,full,logistic,diff_recent_strength,True,201,67,201,67,-0.1231717974620707,fitted
M,2016,full,logistic,diff_strength_change,True,201,67,201,67,-0.2074046984894795,fitted
M,2016,full,logistic,matchup_efg,True,201,67,201,67,0.094558763405826,fitted
M,2016,full,logistic,matchup_tov,True,201,67,201,67,-0.154314687216855,fitted
M,2016,full,logistic,matchup_orb,True,201,67,201,67,0.1480344319142695,fitted
M,2016,full,logistic,matchup_ftr,True,201,67,201,67,-0.030525727011036,fitted
M,2016,full,logistic,matchup_three_rate,True,201,67,201,67,-0.0666231483812332,fitted
M,2016,full,logistic,matchup_strength_volatility,True,201,67,201,67,0.0421389093299896,fitted
M,2016,full,logistic,diff_adj_offense,True,201,67,201,67,0.0130847209776894,fitted
M,2016,full,logistic,diff_adj_defense,True,201,67,201,67,0.1376342847575768,fitted
M,2016,full,logistic,diff_recent_offense,True,201,67,201,67,-0.0240782566312986,fitted
M,2016,full,logistic,diff_recent_defense,True,201,67,201,67,-0.0931459758293723,fitted
M,2016,full,logistic,diff_adjusted_efg_offense,True,201,67,201,67,0.1613086421579917,fitted
M,2016,full,logistic,diff_adjusted_efg_defense,True,201,67,201,67,0.2082316961676274,fitted
M,2016,full,logistic,diff_adjusted_tov_offense,True,201,67,201,67,-0.0438973007545976,fitted
M,2016,full,logistic,diff_adjusted_tov_defense,True,201,67,201,67,0.3050701745387194,fitted
M,2016,full,logistic,diff_adjusted_orb_offense,True,201,67,201,67,-0.0233004692190501,fitted
M,2016,full,logistic,diff_adjusted_orb_defense,True,201,67,201,67,0.114989572110185,fitted
M,2016,full,logistic,diff_adjusted_ftr_offense,True,201,67,201,67,-0.143700987586377,fitted
M,2016,full,logistic,diff_adjusted_ftr_defense,True,201,67,201,67,-0.0095343804099942,fitted
M,2016,full,logistic,diff_residual_sd,True,201,67,201,67,-0.2233194818707618,fitted
M,2016,full,logistic,diff_residual_downside,True,201,67,201,67,-0.2962478230241425,fitted
M,2016,full,logistic,diff_recent_residual,True,201,67,201,67,-0.1028604705298603,fitted
M,2016,full,logistic,diff_road_residual,True,201,67,201,67,0.4054955521367452,fitted
M,2016,full,logistic,diff_schedule_sd,True,201,67,201,67,0.1174184180210019,fitted
M,2016,full,logistic,diff_strong_opponent_margin,True,201,67,201,67,-0.0210285808147996,fitted
M,2016,full,logistic,diff_close_win_posterior,True,201,67,201,67,-0.1040237901991238,fitted
M,2016,full,logistic,diff_rest_days,True,201,67,201,67,0.104689898028822,fitted
M,2016,full,logistic,diff_two_posterior,True,201,67,201,67,0.1371988666782579,fitted
M,2016,full,logistic,diff_two_uncertainty,True,201,67,201,67,-0.25133856727483,fitted
M,2016,full,logistic,diff_three_posterior,True,201,67,201,67,-0.1191794583716983,fitted
M,2016,full,logistic,diff_three_uncertainty,True,201,67,201,67,-0.2423818124059254,fitted
M,2016,full,logistic,diff_free_posterior,True,201,67,201,67,0.0218207925394238,fitted
M,2016,full,logistic,diff_free_uncertainty,True,201,67,201,67,-0.0024545542924324,fitted
M,2016,full,logistic,diff_opp_two_posterior,True,201,67,201,67,-0.0752822466046537,fitted
M,2016,full,logistic,diff_opp_two_uncertainty,True,201,67,201,67,-0.258982225374872,fitted
M,2016,full,logistic,diff_opp_three_posterior,True,201,67,201,67,0.1282581002217791,fitted
M,2016,full,logistic,diff_opp_three_uncertainty,True,201,67,201,67,0.0397024177551437,fitted
M,2016,full,logistic,diff_opp_free_posterior,True,201,67,201,67,0.2688403727758178,fitted
M,2016,full,logistic,diff_opp_free_uncertainty,True,201,67,201,67,0.063459785108162,fitted
M,2016,full,logistic,diff_tempo,True,201,67,201,67,-0.3845391229017971,fitted
M,2016,full,logistic,diff_tempo_sd,True,201,67,201,67,-0.2675421368470488,fitted
M,2016,full,logistic,diff_three_dependence,True,201,67,201,67,-0.1875859259671916,fitted
M,2016,full,logistic,diff_possession_gap,True,201,67,201,67,-0.1554960840697074,fitted
M,2016,full,logistic,diff_clean_coverage,True,201,67,201,67,0.0006596742051901,fitted
M,2016,full,logistic,diff_elo,True,201,67,201,67,0.126670810713506,fitted
M,2016,full,logistic,diff_elo_mov,True,201,67,201,67,0.0278728293163225,fitted
M,2016,full,logistic,diff_elo_change,True,201,67,201,67,0.1689774519486814,fitted
M,2016,full,logistic,diff_elo_mov_change,True,201,67,201,67,-0.2128103089259496,fitted
M,2016,full,logistic,diff_prior_wins,True,201,67,201,67,0.5306638383223417,fitted
M,2016,full,logistic,diff_prior_appearances,True,201,67,201,67,-0.2416670787237373,fitted
M,2016,full,logistic,diff_prior_seed,True,201,67,201,67,-0.0419084995394537,fitted
M,2016,full,logistic,diff_te_team_mean,True,201,67,201,67,-0.0076046659074917,fitted
M,2016,full,logistic,diff_te_team_uncertainty,True,201,67,201,67,0.0086420162911019,fitted
M,2016,full,logistic,diff_te_team_support,True,201,67,201,67,-0.2132322571899325,fitted
M,2016,full,logistic,diff_te_seed_mean,True,201,67,201,67,0.1094831220005177,fitted
M,2016,full,logistic,diff_te_seed_uncertainty,True,201,67,201,67,-0.0774690006024871,fitted
M,2016,full,logistic,diff_te_seed_support,True,201,67,201,67,-0.0427106292358897,fitted
M,2016,full,logistic,pace_strength,True,201,67,201,67,0.0605854798275713,fitted
M,2016,full,logistic,uncertainty_strength,True,201,67,201,67,0.1023234374403133,fitted
M,2016,full,logistic,three_variance_strength,True,201,67,201,67,0.0437426022864432,fitted
M,2016,full,logistic,shooting_style,True,201,67,201,67,-0.1065808672728672,fitted
M,2016,full,logistic,offense_defense,True,201,67,201,67,0.3067124231940973,fitted
M,2016,full,logistic,recent_offense_defense,True,201,67,201,67,0.1941242526162708,fitted
M,2017,full,logistic,diff_seed,True,268,67,268,67,0.278524360296744,fitted
M,2017,full,logistic,diff_strength,True,268,67,268,67,0.0674569087281798,fitted
M,2017,full,logistic,diff_schedule_strength,True,268,67,268,67,0.3975196096995592,fitted
M,2017,full,logistic,diff_win_rate,True,268,67,268,67,0.1284021153475033,fitted
M,2017,full,logistic,diff_margin,True,268,67,268,67,-0.0588390452189868,fitted
M,2017,full,logistic,diff_margin_sd,True,268,67,268,67,0.0332548959206013,fitted
M,2017,full,logistic,diff_efg,True,268,67,268,67,0.0911391353949624,fitted
M,2017,full,logistic,diff_tov,True,268,67,268,67,0.0612896307784352,fitted
M,2017,full,logistic,diff_orb,True,268,67,268,67,-0.0435227839206861,fitted
M,2017,full,logistic,diff_ftr,True,268,67,268,67,-0.1229071646688582,fitted
M,2017,full,logistic,diff_three_rate,True,268,67,268,67,-0.0012898350426968,fitted
M,2017,full,logistic,diff_opp_efg,True,268,67,268,67,-0.0023763192896246,fitted
M,2017,full,logistic,diff_opp_tov,True,268,67,268,67,0.2169463024402996,fitted
M,2017,full,logistic,diff_opp_orb,True,268,67,268,67,-0.0292899882823389,fitted
M,2017,full,logistic,diff_opp_ftr,True,268,67,268,67,-0.293274816723265,fitted
