Gender,block,model,macro_season_brier,seasons,games,brier,log_loss,roc_auc,average_precision,precision_at_05,recall_at_05,f1_at_05,ece_10_bins
M,adjusted,hist,0.20295656672088352,5,334,0.20285932795251815,0.5893073389406837,0.7538419913419915,0.7139920382787002,0.6306818181818182,0.7207792207792207,0.6727272727272727,0.06669066250163572
M,adjusted,logistic,0.19126821558435905,5,334,0.19117630608921535,0.5587991709822325,0.7812049062049062,0.7607267127614903,0.6404494382022472,0.7402597402597403,0.6867469879518072,0.04827080507719392
M,dynamic,hist,0.19811286263365102,5,334,0.19801819102982812,0.578594910612072,0.7656565656565657,0.7225522688830346,0.6506024096385542,0.7012987012987013,0.675,0.05943696863616062
M,dynamic,logistic,0.18914742572150695,5,334,0.18907691562617454,0.5541566096019114,0.7867965367965368,0.7642920384602065,0.6569767441860465,0.7337662337662337,0.6932515337423313,0.05542161268053127
M,form,hist,0.20497469239597424,5,334,0.20486904057181315,0.5950426896311802,0.753030303030303,0.7163325242501537,0.6264367816091954,0.7077922077922078,0.6646341463414634,0.07449537929137647
M,form,logistic,0.1972116145018683,5,334,0.19709344261419892,0.5747406451302446,0.7703463203463203,0.7344899495609395,0.6460674157303371,0.7467532467532467,0.6927710843373494,0.05220881628439477
M,four_factors,hist,0.20112876762480408,5,334,0.20104280662174417,0.5860343599312446,0.7583694083694084,0.7140826626465694,0.6534090909090909,0.7467532467532467,0.696969696969697,0.08097112584222411
M,four_factors,logistic,0.18805801258482968,5,334,0.1879876566137208,0.5521795665042473,0.7910173160173161,0.765529144351424,0.6685393258426966,0.7727272727272727,0.7168674698795181,0.05930342962378958
M,full,hist,0.19848722382590248,5,334,0.19841927507768198,0.5802998480017948,0.7697691197691198,0.7269625501632837,0.6388888888888888,0.7467532467532467,0.688622754491018,0.09382339398480567
M,full,logistic,0.20755957867044517,5,334,0.20730892001637638,0.6167638110435119,0.7654401154401156,0.7251512769916852,0.6420454545454546,0.7337662337662337,0.6848484848484848,0.09804053183435978
M,history,hist,0.2012099134737359,5,334,0.20111885785379602,0.5834634615630424,0.7612193362193364,0.7221077349416487,0.6222222222222222,0.7272727272727273,0.6706586826347305,0.07235122261094737
M,history,logistic,0.19141160584911654,5,334,0.1913228710984812,0.5575399357595531,0.7832972582972583,0.7690489424737348,0.6424581005586593,0.7467532467532467,0.6906906906906907,0.05460787407934685
M,interactions,hist,0.20372287631653757,5,334,0.20363350993421234,0.589369857078883,0.7526334776334777,0.7166174729657018,0.6,0.6818181818181818,0.6382978723404256,0.08779186164264945
M,interactions,logistic,0.1909637692076704,5,334,0.19088214596580927,0.5583279496786392,0.7837662337662338,0.7627278861370788,0.6491228070175439,0.7207792207792207,0.683076923076923,0.05252371922531736
M,legacy_full,hist,0.20261281537890224,5,334,0.2025377327090864,0.5879601118193558,0.7562049062049062,0.7287739690643011,0.6284153005464481,0.7467532467532467,0.6824925816023739,0.07760332028303564
M,legacy_full,logistic,0.1923103919471801,5,334,0.1922457645394533,0.5629693904906133,0.7812409812409812,0.7555370587546684,0.6451612903225806,0.7792207792207793,0.7058823529411765,0.053730909040796374
M,seed,hist,0.20215930536435364,5,334,0.20208418129872682,0.5885258861738315,0.7527056277056275,0.7173433082451488,0.6256983240223464,0.7272727272727273,0.6726726726726727,0.04985860146678923
M,seed,logistic,0.20015848874776548,5,334,0.20008320469887964,0.5836922850142486,0.7628968253968255,0.7383006784486918,0.6276595744680851,0.7662337662337663,0.6900584795321637,0.07668305885725589
M,shooting,hist,0.20494816643767594,5,334,0.2048574365192061,0.5948632036138696,0.7486652236652237,0.7056180673306146,0.627906976744186,0.7012987012987013,0.6625766871165644,0.051721406362944915
M,shooting,logistic,0.20169857665757696,5,334,0.20161852258809027,0.5853052637716005,0.7573953823953825,0.7333285390958177,0.6449704142011834,0.7077922077922078,0.6749226006191951,0.08673956595633268
M,strength,hist,0.20048454316390493,5,334,0.2003872985711594,0.5825744181523421,0.7579004329004329,0.7205509550473193,0.611764705882353,0.6753246753246753,0.6419753086419753,0.07729566520779434
M,strength,logistic,0.19126778097283573,5,334,0.19118410825053275,0.5581698760198254,0.7823953823953824,0.7636978659461039,0.644808743169399,0.7662337662337663,0.7002967359050445,0.04885729786613882
M,tempo,hist,0.19805164138206144,5,334,0.19794141338394913,0.5757061312750389,0.7634920634920634,0.7252527471486687,0.6193181818181818,0.7077922077922078,0.6606060606060606,0.0756019900358184
M,tempo,logistic,0.20141801546749338,5,334,0.20115710866238687,0.5895654653101814,0.759992784992785,0.7233508050785906,0.625,0.7142857142857143,0.6666666666666666,0.0851751423376309
M,without_adjusted,hist,0.19970659662339077,5,334,0.19963688821221942,0.5828042657305723,0.7684704184704184,0.7276324793477408,0.6318681318681318,0.7467532467532467,0.6845238095238095,0.10021707936682121
M,without_adjusted,logistic,0.20744658732663374,5,334,0.20719558736531352,0.616299813729767,0.7651515151515152,0.7246799620862565,0.6420454545454546,0.7337662337662337,0.6848484848484848,0.09760494032252363
