bin,predicted,observed,games,Gender,block,model
0,0.08579973834502028,0.05,20,M,adjusted,hist
1,0.13277147486424343,0.13333333333333333,30,M,adjusted,hist
2,0.25386267412048436,0.1388888888888889,36,M,adjusted,hist
3,0.3523927993071304,0.46153846153846156,26,M,adjusted,hist
4,0.4485799917947892,0.45652173913043476,46,M,adjusted,hist
5,0.5517258022249426,0.5227272727272727,44,M,adjusted,hist
6,0.6563494271722526,0.5526315789473685,38,M,adjusted,hist
7,0.7427757049404093,0.5957446808510638,47,M,adjusted,hist
8,0.8565137955836979,0.84375,32,M,adjusted,hist
9,0.910903584630722,0.8,15,M,adjusted,hist
0,0.04859438629768856,0.05,20,M,adjusted,logistic
1,0.143078712883902,0.07407407407407407,27,M,adjusted,logistic
2,0.2584601471786033,0.23529411764705882,34,M,adjusted,logistic
3,0.3503287752379907,0.34285714285714286,35,M,adjusted,logistic
4,0.4588841546550224,0.425,40,M,adjusted,logistic
5,0.5492802440608092,0.48,50,M,adjusted,logistic
6,0.6540855077760038,0.525,40,M,adjusted,logistic
7,0.7444411860237155,0.6888888888888889,45,M,adjusted,logistic
8,0.8512480006276827,0.8666666666666667,30,M,adjusted,logistic
9,0.9412959372269835,0.9230769230769231,13,M,adjusted,logistic
0,0.08509729186303035,0.07142857142857142,28,M,dynamic,hist
1,0.15122557912844,0.06896551724137931,29,M,dynamic,hist
2,0.25137027903648934,0.3055555555555556,36,M,dynamic,hist
3,0.3509546499249324,0.36666666666666664,30,M,dynamic,hist
4,0.44327698692536305,0.4444444444444444,45,M,dynamic,hist
5,0.5500848577306325,0.42424242424242425,33,M,dynamic,hist
6,0.6520200306101918,0.6842105263157895,38,M,dynamic,hist
7,0.7530621210059764,0.6222222222222222,45,M,dynamic,hist
8,0.8418955645134781,0.75,32,M,dynamic,hist
9,0.9113679367037295,0.8888888888888888,18,M,dynamic,hist
0,0.038473730441148,0.05,20,M,dynamic,logistic
1,0.14259940554191536,0.06451612903225806,31,M,dynamic,logistic
2,0.2547915491122861,0.25806451612903225,31,M,dynamic,logistic
3,0.3430155739515224,0.35294117647058826,34,M,dynamic,logistic
4,0.4516716464897176,0.391304347826087,46,M,dynamic,logistic
5,0.557249357854117,0.4878048780487805,41,M,dynamic,logistic
6,0.6523185677050181,0.575,40,M,dynamic,logistic
7,0.7446502883483744,0.6470588235294118,51,M,dynamic,logistic
8,0.8484719138583362,0.9166666666666666,24,M,dynamic,logistic
9,0.943129894827507,0.9375,16,M,dynamic,logistic
0,0.08813102750707258,0.11764705882352941,17,M,form,hist
1,0.13928095047042732,0.08823529411764706,34,M,form,hist
2,0.24834049072891137,0.2727272727272727,33,M,form,hist
3,0.347302964408071,0.2857142857142857,35,M,form,hist
4,0.448924104011095,0.5121951219512195,41,M,form,hist
5,0.5558397849715562,0.5161290322580645,31,M,form,hist
6,0.6497336821347485,0.5652173913043478,46,M,form,hist
7,0.752437575435684,0.574468085106383,47,M,form,hist
8,0.8554309224394356,0.7941176470588235,34,M,form,hist
9,0.9076032761523303,0.8125,16,M,form,hist
0,0.05239630981652054,0.043478260869565216,23,M,form,logistic
1,0.14912450507279304,0.14705882352941177,34,M,form,logistic
2,0.24289093898450545,0.26666666666666666,30,M,form,logistic
3,0.35545646862051083,0.26666666666666666,30,M,form,logistic
4,0.45475971122138165,0.4358974358974359,39,M,form,logistic
5,0.5465773644264191,0.5121951219512195,41,M,form,logistic
6,0.6566778899751626,0.6097560975609756,41,M,form,logistic
7,0.7404048208599092,0.5853658536585366,41,M,form,logistic
8,0.8464713838973815,0.7631578947368421,38,M,form,logistic
9,0.9525780023645438,0.9411764705882353,17,M,form,logistic
0,0.08980775128799402,0.05263157894736842,19,M,four_factors,hist
1,0.1397384633310599,0.09090909090909091,33,M,four_factors,hist
2,0.24918688706751155,0.21428571428571427,28,M,four_factors,hist
3,0.35454483620841876,0.35294117647058826,34,M,four_factors,hist
4,0.4510422393848356,0.38636363636363635,44,M,four_factors,hist
5,0.5476585376617068,0.696969696969697,33,M,four_factors,hist
6,0.6494197355446161,0.48936170212765956,47,M,four_factors,hist
7,0.7470097009615047,0.66,50,M,four_factors,hist
8,0.8540229092472562,0.7575757575757576,33,M,four_factors,hist
9,0.9127528295385651,0.8461538461538461,13,M,four_factors,hist
0,0.047724031819294147,0.047619047619047616,21,M,four_factors,logistic
1,0.15199055243623175,0.125,32,M,four_factors,logistic
2,0.25614538903626743,0.16666666666666666,30,M,four_factors,logistic
3,0.35968154623570425,0.34375,32,M,four_factors,logistic
4,0.45313269200149864,0.34146341463414637,41,M,four_factors,logistic
5,0.5435354620680055,0.5681818181818182,44,M,four_factors,logistic
6,0.6495119883147135,0.5227272727272727,44,M,four_factors,logistic
7,0.749761211458303,0.6666666666666666,42,M,four_factors,logistic
8,0.839025541796979,0.8666666666666667,30,M,four_factors,logistic
9,0.9340744531502992,0.9444444444444444,18,M,four_factors,logistic
0,0.08958511621420029,0.25,8,M,full,hist
1,0.1441264405945201,0.07547169811320754,53,M,full,hist
2,0.24763161652967142,0.16,25,M,full,hist
3,0.3542218231916846,0.3125,32,M,full,hist
4,0.454245152185686,0.5277777777777778,36,M,full,hist
5,0.5624520512545468,0.6206896551724138,29,M,full,hist
6,0.6515343145298191,0.4523809523809524,42,M,full,hist
7,0.744819184971283,0.6274509803921569,51,M,full,hist
8,0.8549254986548496,0.7872340425531915,47,M,full,hist
9,0.9110292089322026,0.8181818181818182,11,M,full,hist
0,0.05113002112664378,0.0975609756097561,41,M,full,logistic
1,0.13896622032456588,0.21052631578947367,38,M,full,logistic
2,0.25245936388580587,0.28,25,M,full,logistic
3,0.3489779609498449,0.3076923076923077,26,M,full,logistic
4,0.4392982314621445,0.5,28,M,full,logistic
5,0.554485388903402,0.5,22,M,full,logistic
6,0.6533800574915796,0.5,26,M,full,logistic
7,0.7436540815654729,0.5952380952380952,42,M,full,logistic
8,0.8492686307888386,0.6666666666666666,45,M,full,logistic
9,0.9518017707972629,0.8292682926829268,41,M,full,logistic
0,0.08615883557900075,0.0,25,M,history,hist
1,0.13935557323228115,0.14814814814814814,27,M,history,hist
2,0.25735795362256975,0.19230769230769232,26,M,history,hist
3,0.35032707892009846,0.4,40,M,history,hist
4,0.45222747116355066,0.4722222222222222,36,M,history,hist
5,0.5537147856519203,0.5,38,M,history,hist
6,0.640769882636351,0.475,40,M,history,hist
7,0.7485953560262206,0.6346153846153846,52,M,history,hist
8,0.8580752103095485,0.8,35,M,history,hist
9,0.916290348662217,0.8666666666666667,15,M,history,hist
0,0.05062201949871095,0.05263157894736842,19,M,history,logistic
1,0.15604699965091307,0.09375,32,M,history,logistic
2,0.24439252873902118,0.25,28,M,history,logistic
3,0.34577959413284737,0.2972972972972973,37,M,history,logistic
4,0.4509146116274233,0.4358974358974359,39,M,history,logistic
5,0.5491182405293376,0.525,40,M,history,logistic
6,0.6495463859349497,0.4318181818181818,44,M,history,logistic
7,0.7464018846814992,0.6818181818181818,44,M,history,logistic
8,0.8459528441267171,0.8529411764705882,34,M,history,logistic
9,0.9384256785607649,0.9411764705882353,17,M,history,logistic
0,0.0850132477200011,0.08695652173913043,23,M,interactions,hist
1,0.13827111317092655,0.06060606060606061,33,M,interactions,hist
2,0.2610778751054494,0.2857142857142857,21,M,interactions,hist
3,0.35482805524472605,0.4318181818181818,44,M,interactions,hist
4,0.44410526910318293,0.5263157894736842,38,M,interactions,hist
5,0.5511522166448519,0.37209302325581395,43,M,interactions,hist
6,0.6515099627761541,0.5,38,M,interactions,hist
7,0.7482452077371337,0.6739130434782609,46,M,interactions,hist
8,0.8507329012416512,0.8125,32,M,interactions,hist
9,0.911640843037764,0.8125,16,M,interactions,hist
0,0.045748670379964655,0.045454545454545456,22,M,interactions,logistic
1,0.14147265563797884,0.12903225806451613,31,M,interactions,logistic
2,0.26040889257660865,0.17857142857142858,28,M,interactions,logistic
3,0.35808475023197867,0.358974358974359,39,M,interactions,logistic
4,0.45012868711023507,0.4418604651162791,43,M,interactions,logistic
5,0.55499834870491,0.5135135135135135,37,M,interactions,logistic
6,0.647308695434719,0.5121951219512195,41,M,interactions,logistic
7,0.7424310859496706,0.6097560975609756,41,M,interactions,logistic
8,0.8440318097163141,0.8787878787878788,33,M,interactions,logistic
9,0.9372579816356927,0.8947368421052632,19,M,interactions,logistic
0,0.09129770670644836,0.07142857142857142,14,M,legacy_full,hist
1,0.14546070503477268,0.0851063829787234,47,M,legacy_full,hist
2,0.25709451846260534,0.2692307692307692,26,M,legacy_full,hist
3,0.3511962676021395,0.36363636363636365,22,M,legacy_full,hist
4,0.44984834162053183,0.4523809523809524,42,M,legacy_full,hist
5,0.5426689855667923,0.5952380952380952,42,M,legacy_full,hist
6,0.6414317366366514,0.5111111111111111,45,M,legacy_full,hist
7,0.7535862614110638,0.5,42,M,legacy_full,hist
8,0.8593211511274471,0.8048780487804879,41,M,legacy_full,hist
9,0.9112328669990462,1.0,13,M,legacy_full,hist
0,0.0502445673379684,0.041666666666666664,24,M,legacy_full,logistic
1,0.1555486076145174,0.12121212121212122,33,M,legacy_full,logistic
2,0.252369374555619,0.2,25,M,legacy_full,logistic
3,0.35087205565709984,0.3333333333333333,36,M,legacy_full,logistic
4,0.44497620254584536,0.4,30,M,legacy_full,logistic
5,0.5474042146354979,0.5576923076923077,52,M,legacy_full,logistic
6,0.6528909696670269,0.475,40,M,legacy_full,logistic
7,0.7532842136829324,0.6585365853658537,41,M,legacy_full,logistic
8,0.8427071725331529,0.7941176470588235,34,M,legacy_full,logistic
9,0.9405305654972821,0.9473684210526315,19,M,legacy_full,logistic
0,0.09892887709971138,0.0,3,M,seed,hist
1,0.1495495471256544,0.14285714285714285,35,M,seed,hist
2,0.23003695228165869,0.20689655172413793,29,M,seed,hist
3,0.33884135663898085,0.2978723404255319,47,M,seed,hist
4,0.4520797113079171,0.4146341463414634,41,M,seed,hist
5,0.5446601677985763,0.4576271186440678,59,M,seed,hist
6,0.659932383348825,0.5576923076923077,52,M,seed,hist
7,0.7742247206334337,0.7941176470588235,34,M,seed,hist
8,0.8408696965262195,0.8571428571428571,28,M,seed,hist
9,0.9010711229002886,0.8333333333333334,6,M,seed,hist
1,0.1503477095338879,0.0625,32,M,seed,logistic
2,0.25216469985601636,0.28888888888888886,45,M,seed,logistic
3,0.35523197600728224,0.375,24,M,seed,logistic
4,0.44219312262528787,0.26666666666666666,45,M,seed,logistic
5,0.5378127201893633,0.4626865671641791,67,M,seed,logistic
6,0.645613038007262,0.5,34,M,seed,logistic
7,0.7420888120551793,0.7741935483870968,62,M,seed,logistic
8,0.8479794337886603,0.88,25,M,seed,logistic
0,0.09023346450529883,0.06666666666666667,15,M,shooting,hist
1,0.13590128507721383,0.11428571428571428,35,M,shooting,hist
2,0.24565964117233147,0.26666666666666666,30,M,shooting,hist
3,0.345705637431164,0.3125,32,M,shooting,hist
4,0.452882224858198,0.46,50,M,shooting,hist
5,0.5462449466606425,0.4878048780487805,41,M,shooting,hist
6,0.6515902346598539,0.5952380952380952,42,M,shooting,hist
7,0.7380854895712927,0.5714285714285714,35,M,shooting,hist
8,0.8498582078228973,0.7954545454545454,44,M,shooting,hist
9,0.9126636912221308,0.8,10,M,shooting,hist
0,0.047744418349336265,0.08333333333333333,24,M,shooting,logistic
1,0.15491503589441277,0.10344827586206896,29,M,shooting,logistic
2,0.24730950461644785,0.20689655172413793,29,M,shooting,logistic
3,0.36039960890487904,0.5,44,M,shooting,logistic
4,0.4510206699370717,0.3076923076923077,39,M,shooting,logistic
5,0.5499496800856458,0.5,34,M,shooting,logistic
6,0.6506200598927685,0.6136363636363636,44,M,shooting,logistic
