Gender,Season,block,model,capacity,near_constant,no_training_signal,redundant,retained,candidate_count,retained_count,rejected_count
M,2016,adjusted,hist,0,0,0,0,10,10,10,0
M,2016,adjusted,logistic,0,0,0,0,10,10,10,0
M,2016,ball_control,hist,0,0,0,0,16,16,16,0
M,2016,ball_control,logistic,0,0,0,0,16,16,16,0
M,2016,baseline_124,hist,0,0,2,4,118,124,118,6
M,2016,baseline_124,logistic,0,0,2,4,118,124,118,6
M,2016,coach_history,hist,0,0,2,0,30,32,30,2
M,2016,coach_history,logistic,0,0,2,0,30,32,30,2
M,2016,conference,hist,0,0,1,1,16,18,16,2
M,2016,conference,logistic,0,0,1,1,16,18,16,2
M,2016,distribution,hist,1273,1,40,100,128,1542,128,1414
M,2016,distribution,logistic,1273,1,40,100,128,1542,128,1414
M,2016,dynamic,hist,0,0,0,0,10,10,10,0
M,2016,dynamic,logistic,0,0,0,0,10,10,10,0
M,2016,expanded_non_massey,hist,2707,1,45,202,128,3083,128,2955
M,2016,expanded_non_massey,logistic,2707,1,45,202,128,3083,128,2955
M,2016,expanded_non_massey_no_coach,hist,2682,1,43,203,128,3057,128,2929
M,2016,expanded_non_massey_no_coach,logistic,2682,1,43,203,128,3057,128,2929
M,2016,expanded_non_massey_no_target,hist,2701,1,45,202,128,3077,128,2949
M,2016,expanded_non_massey_no_target,logistic,2701,1,45,202,128,3077,128,2949
M,2016,expanded_non_massey_no_target_coach,hist,2676,1,43,203,128,3051,128,2923
M,2016,expanded_non_massey_no_target_coach,logistic,2676,1,43,203,128,3051,128,2923
M,2016,form,hist,0,0,0,0,14,14,14,0
M,2016,form,logistic,0,0,0,0,14,14,14,0
M,2016,four_factors,hist,0,0,0,0,14,14,14,0
M,2016,four_factors,logistic,0,0,0,0,14,14,14,0
M,2016,full,hist,2729,1,46,202,128,3106,128,2978
M,2016,full,logistic,2729,1,46,202,128,3106,128,2978
M,2016,history,hist,0,0,0,0,9,9,9,0
M,2016,history,logistic,0,0,0,0,9,9,9,0
M,2016,interactions,hist,0,0,0,2,10,12,10,2
M,2016,interactions,logistic,0,0,0,2,10,12,10,2
M,2016,legacy_full,hist,0,0,1,0,24,25,24,1
M,2016,legacy_full,logistic,0,0,1,0,24,25,24,1
M,2016,opponent_profile,hist,256,0,0,102,128,486,128,358
M,2016,opponent_profile,logistic,256,0,0,102,128,486,128,358
M,2016,peer_profile,hist,0,0,0,6,128,134,128,6
M,2016,peer_profile,logistic,0,0,0,6,128,134,128,6
M,2016,rank_trends,hist,0,0,0,0,13,13,13,0
M,2016,rank_trends,logistic,0,0,0,0,13,13,13,0
M,2016,rankings,hist,0,0,1,2,16,19,16,3
M,2016,rankings,logistic,0,0,1,2,16,19,16,3
M,2016,schedule_context,hist,0,0,0,0,12,12,12,0
M,2016,schedule_context,logistic,0,0,0,0,12,12,12,0
M,2016,scoring_shape,hist,0,0,0,0,10,10,10,0
M,2016,scoring_shape,logistic,0,0,0,0,10,10,10,0
M,2016,seed,hist,0,0,0,0,1,1,1,0
M,2016,seed,logistic,0,0,0,0,1,1,1,0
M,2016,shooting,hist,0,0,0,0,18,18,18,0
M,2016,shooting,logistic,0,0,0,0,18,18,18,0
M,2016,strength,hist,0,0,0,0,6,6,6,0
M,2016,strength,logistic,0,0,0,0,6,6,6,0
M,2016,target_rank,hist,0,0,0,0,9,9,9,0
M,2016,target_rank,logistic,0,0,0,0,9,9,9,0
M,2016,target_seed,hist,0,0,0,0,9,9,9,0
M,2016,target_seed,logistic,0,0,0,0,9,9,9,0
M,2016,target_team,hist,0,0,0,0,9,9,9,0
M,2016,target_team,logistic,0,0,0,0,9,9,9,0
M,2016,tempo,hist,0,0,0,0,11,11,11,0
M,2016,tempo,logistic,0,0,0,0,11,11,11,0
M,2016,trajectory,hist,33,0,0,5,128,166,128,38
M,2016,trajectory,logistic,33,0,0,5,128,166,128,38
M,2016,venue_profile,hist,417,0,1,100,128,646,128,518
M,2016,venue_profile,logistic,417,0,1,100,128,646,128,518
M,2016,without_adjusted,hist,2724,1,46,203,128,3102,128,2974
M,2016,without_adjusted,logistic,2724,1,46,203,128,3102,128,2974
M,2016,without_ball_control,hist,2719,1,46,202,128,3096,128,2968
M,2016,without_ball_control,logistic,2719,1,46,202,128,3096,128,2968
M,2016,without_coach_history,hist,2703,1,44,204,128,3080,128,2952
M,2016,without_coach_history,logistic,2703,1,44,204,128,3080,128,2952
M,2016,without_conference,hist,2718,1,45,202,128,3094,128,2966
M,2016,without_conference,logistic,2718,1,45,202,128,3094,128,2966
M,2016,without_distribution,hist,1270,0,6,166,128,1570,128,1442
M,2016,without_distribution,logistic,1270,0,6,166,128,1570,128,1442
M,2016,without_dynamic,hist,2724,1,46,203,128,3102,128,2974
M,2016,without_dynamic,logistic,2724,1,46,203,128,3102,128,2974
M,2016,without_form,hist,2721,1,46,202,128,3098,128,2970
M,2016,without_form,logistic,2721,1,46,202,128,3098,128,2970
M,2016,without_four_factors,hist,2721,1,46,202,128,3098,128,2970
M,2016,without_four_factors,logistic,2721,1,46,202,128,3098,128,2970
M,2016,without_history,hist,2725,1,46,203,128,3103,128,2975
M,2016,without_history,logistic,2725,1,46,203,128,3103,128,2975
M,2016,without_interactions,hist,2725,1,46,200,128,3100,128,2972
M,2016,without_interactions,logistic,2725,1,46,200,128,3100,128,2972
M,2016,without_massey,hist,2707,1,45,202,128,3083,128,2955
M,2016,without_massey,logistic,2707,1,45,202,128,3083,128,2955
M,2016,without_opponent_profile,hist,2341,1,46,110,128,2626,128,2498
M,2016,without_opponent_profile,logistic,2341,1,46,110,128,2626,128,2498
M,2016,without_peer_profile,hist,2604,1,46,199,128,2978,128,2850
M,2016,without_peer_profile,logistic,2604,1,46,199,128,2978,128,2850
M,2016,without_rank_trends,hist,2722,1,46,202,128,3099,128,2971
M,2016,without_rank_trends,logistic,2722,1,46,202,128,3099,128,2971
M,2016,without_rankings,hist,2717,1,45,202,128,3093,128,2965
M,2016,without_rankings,logistic,2717,1,45,202,128,3093,128,2965
M,2016,without_schedule_context,hist,2724,1,46,201,128,3100,128,2972
M,2016,without_schedule_context,logistic,2724,1,46,201,128,3100,128,2972
M,2016,without_scoring_shape,hist,2725,1,46,202,128,3102,128,2974
M,2016,without_scoring_shape,logistic,2725,1,46,202,128,3102,128,2974
M,2016,without_shooting,hist,2717,1,46,202,128,3094,128,2966
M,2016,without_shooting,logistic,2717,1,46,202,128,3094,128,2966
M,2016,without_target_rank,hist,2725,1,46,203,128,3103,128,2975
M,2016,without_target_rank,logistic,2725,1,46,203,128,3103,128,2975
M,2016,without_target_seed,hist,2725,1,46,203,128,3103,128,2975
M,2016,without_target_seed,logistic,2725,1,46,203,128,3103,128,2975
M,2016,without_target_team,hist,2726,1,46,202,128,3103,128,2975
M,2016,without_target_team,logistic,2726,1,46,202,128,3103,128,2975
M,2016,without_tempo,hist,2724,1,46,202,128,3101,128,2973
M,2016,without_tempo,logistic,2724,1,46,202,128,3101,128,2973
M,2016,without_trajectory,hist,2569,1,46,202,128,2946,128,2818
M,2016,without_trajectory,logistic,2569,1,46,202,128,2946,128,2818
M,2016,without_venue_profile,hist,2151,1,45,141,128,2466,128,2338
M,2016,without_venue_profile,logistic,2151,1,45,141,128,2466,128,2338
M,2017,adjusted,hist,0,0,0,0,10,10,10,0
M,2017,adjusted,logistic,0,0,0,0,10,10,10,0
M,2017,ball_control,hist,0,0,0,0,16,16,16,0
M,2017,ball_control,logistic,0,0,0,0,16,16,16,0
M,2017,baseline_124,hist,0,0,2,4,118,124,118,6
M,2017,baseline_124,logistic,0,0,2,4,118,124,118,6
M,2017,coach_history,hist,0,0,1,0,31,32,31,1
M,2017,coach_history,logistic,0,0,1,0,31,32,31,1
M,2017,conference,hist,0,0,1,1,16,18,16,2
M,2017,conference,logistic,0,0,1,1,16,18,16,2
M,2017,distribution,hist,1307,1,40,66,128,1542,128,1414
M,2017,distribution,logistic,1307,1,40,66,128,1542,128,1414
M,2017,dynamic,hist,0,0,0,0,10,10,10,0
M,2017,dynamic,logistic,0,0,0,0,10,10,10,0
M,2017,expanded_non_massey,hist,2711,1,44,199,128,3083,128,2955
M,2017,expanded_non_massey,logistic,2711,1,44,199,128,3083,128,2955
M,2017,expanded_non_massey_no_coach,hist,2685,1,43,200,128,3057,128,2929
M,2017,expanded_non_massey_no_coach,logistic,2685,1,43,200,128,3057,128,2929
M,2017,expanded_non_massey_no_target,hist,2704,1,44,200,128,3077,128,2949
M,2017,expanded_non_massey_no_target,logistic,2704,1,44,200,128,3077,128,2949
M,2017,expanded_non_massey_no_target_coach,hist,2679,1,43,200,128,3051,128,2923
M,2017,expanded_non_massey_no_target_coach,logistic,2679,1,43,200,128,3051,128,2923
M,2017,form,hist,0,0,0,0,14,14,14,0
M,2017,form,logistic,0,0,0,0,14,14,14,0
M,2017,four_factors,hist,0,0,0,0,14,14,14,0
M,2017,four_factors,logistic,0,0,0,0,14,14,14,0
M,2017,full,hist,2731,1,45,201,128,3106,128,2978
M,2017,full,logistic,2731,1,45,201,128,3106,128,2978
M,2017,history,hist,0,0,0,0,9,9,9,0
M,2017,history,logistic,0,0,0,0,9,9,9,0
M,2017,interactions,hist,0,0,0,2,10,12,10,2
M,2017,interactions,logistic,0,0,0,2,10,12,10,2
M,2017,legacy_full,hist,0,0,1,0,24,25,24,1
M,2017,legacy_full,logistic,0,0,1,0,24,25,24,1
M,2017,opponent_profile,hist,256,0,0,102,128,486,128,358
M,2017,opponent_profile,logistic,256,0,0,102,128,486,128,358
M,2017,peer_profile,hist,0,0,0,6,128,134,128,6
M,2017,peer_profile,logistic,0,0,0,6,128,134,128,6
M,2017,rank_trends,hist,0,0,0,0,13,13,13,0
M,2017,rank_trends,logistic,0,0,0,0,13,13,13,0
M,2017,rankings,hist,0,0,1,2,16,19,16,3
M,2017,rankings,logistic,0,0,1,2,16,19,16,3
M,2017,schedule_context,hist,0,0,0,0,12,12,12,0
M,2017,schedule_context,logistic,0,0,0,0,12,12,12,0
M,2017,scoring_shape,hist,0,0,0,0,10,10,10,0
M,2017,scoring_shape,logistic,0,0,0,0,10,10,10,0
M,2017,seed,hist,0,0,0,0,1,1,1,0
M,2017,seed,logistic,0,0,0,0,1,1,1,0
M,2017,shooting,hist,0,0,0,0,18,18,18,0
M,2017,shooting,logistic,0,0,0,0,18,18,18,0
M,2017,strength,hist,0,0,0,0,6,6,6,0
M,2017,strength,logistic,0,0,0,0,6,6,6,0
M,2017,target_rank,hist,0,0,0,0,9,9,9,0
M,2017,target_rank,logistic,0,0,0,0,9,9,9,0
M,2017,target_seed,hist,0,0,0,0,9,9,9,0
M,2017,target_seed,logistic,0,0,0,0,9,9,9,0
M,2017,target_team,hist,0,0,0,0,9,9,9,0
M,2017,target_team,logistic,0,0,0,0,9,9,9,0
M,2017,tempo,hist,0,0,0,0,11,11,11,0
M,2017,tempo,logistic,0,0,0,0,11,11,11,0
M,2017,trajectory,hist,35,0,0,3,128,166,128,38
M,2017,trajectory,logistic,35,0,0,3,128,166,128,38
M,2017,venue_profile,hist,420,0,1,97,128,646,128,518
M,2017,venue_profile,logistic,420,0,1,97,128,646,128,518
M,2017,without_adjusted,hist,2727,1,45,201,128,3102,128,2974
M,2017,without_adjusted,logistic,2727,1,45,201,128,3102,128,2974
M,2017,without_ball_control,hist,2721,1,45,201,128,3096,128,2968
M,2017,without_ball_control,logistic,2721,1,45,201,128,3096,128,2968
M,2017,without_coach_history,hist,2705,1,44,202,128,3080,128,2952
M,2017,without_coach_history,logistic,2705,1,44,202,128,3080,128,2952
M,2017,without_conference,hist,2721,1,44,200,128,3094,128,2966
M,2017,without_conference,logistic,2721,1,44,200,128,3094,128,2966
M,2017,without_distribution,hist,1272,0,5,165,128,1570,128,1442
M,2017,without_distribution,logistic,1272,0,5,165,128,1570,128,1442
M,2017,without_dynamic,hist,2727,1,45,201,128,3102,128,2974
M,2017,without_dynamic,logistic,2727,1,45,201,128,3102,128,2974
M,2017,without_form,hist,2723,1,45,201,128,3098,128,2970
M,2017,without_form,logistic,2723,1,45,201,128,3098,128,2970
M,2017,without_four_factors,hist,2723,1,45,201,128,3098,128,2970
M,2017,without_four_factors,logistic,2723,1,45,201,128,3098,128,2970
M,2017,without_history,hist,2728,1,45,201,128,3103,128,2975
M,2017,without_history,logistic,2728,1,45,201,128,3103,128,2975
M,2017,without_interactions,hist,2727,1,45,199,128,3100,128,2972
M,2017,without_interactions,logistic,2727,1,45,199,128,3100,128,2972
M,2017,without_massey,hist,2711,1,44,199,128,3083,128,2955
M,2017,without_massey,logistic,2711,1,44,199,128,3083,128,2955
M,2017,without_opponent_profile,hist,2343,1,45,109,128,2626,128,2498
M,2017,without_opponent_profile,logistic,2343,1,45,109,128,2626,128,2498
M,2017,without_peer_profile,hist,2607,1,45,197,128,2978,128,2850
M,2017,without_peer_profile,logistic,2607,1,45,197,128,2978,128,2850
M,2017,without_rank_trends,hist,2724,1,45,201,128,3099,128,2971
M,2017,without_rank_trends,logistic,2724,1,45,201,128,3099,128,2971
M,2017,without_rankings,hist,2721,1,44,199,128,3093,128,2965
M,2017,without_rankings,logistic,2721,1,44,199,128,3093,128,2965
M,2017,without_schedule_context,hist,2727,1,45,199,128,3100,128,2972
M,2017,without_schedule_context,logistic,2727,1,45,199,128,3100,128,2972
M,2017,without_scoring_shape,hist,2728,1,45,200,128,3102,128,2974
M,2017,without_scoring_shape,logistic,2728,1,45,200,128,3102,128,2974
M,2017,without_shooting,hist,2719,1,45,201,128,3094,128,2966
M,2017,without_shooting,logistic,2719,1,45,201,128,3094,128,2966
M,2017,without_target_rank,hist,2728,1,45,201,128,3103,128,2975
M,2017,without_target_rank,logistic,2728,1,45,201,128,3103,128,2975
M,2017,without_target_seed,hist,2728,1,45,201,128,3103,128,2975
