Gender,model,feature,folds,retained_folds,retention_rate
M,hist,diff_adj_defense,5,5,1.0
M,hist,diff_adj_offense,5,5,1.0
M,hist,diff_adjusted_efg_defense,5,4,0.8
M,hist,diff_adjusted_efg_offense,5,0,0.0
M,hist,diff_adjusted_ftr_defense,5,0,0.0
M,hist,diff_adjusted_ftr_offense,5,0,0.0
M,hist,diff_adjusted_orb_defense,5,0,0.0
M,hist,diff_adjusted_orb_offense,5,0,0.0
M,hist,diff_adjusted_tov_defense,5,0,0.0
M,hist,diff_adjusted_tov_offense,5,0,0.0
M,hist,diff_assist_ratio,5,0,0.0
M,hist,diff_assist_turnover,5,0,0.0
M,hist,diff_block_rate,5,0,0.0
M,hist,diff_clean_coverage,5,0,0.0
M,hist,diff_close_win_posterior,5,0,0.0
M,hist,diff_coach_best_tournament_wins_5,5,5,1.0
M,hist,diff_coach_changed_since_prior_season,5,0,0.0
M,hist,diff_coach_current_stint_days,5,0,0.0
M,hist,diff_coach_known,5,0,0.0
M,hist,diff_coach_prior_seasons,5,4,0.8
M,hist,diff_coach_prior_teams,5,0,0.0
M,hist,diff_coach_prior_tournament_appearances_5,5,5,1.0
M,hist,diff_coach_regular_1_margin,5,5,1.0
M,hist,diff_coach_regular_1_support,5,0,0.0
M,hist,diff_coach_regular_1_win_posterior,5,5,1.0
M,hist,diff_coach_regular_3_margin,5,5,1.0
M,hist,diff_coach_regular_3_support,5,0,0.0
M,hist,diff_coach_regular_3_win_posterior,5,5,1.0
M,hist,diff_coach_regular_5_margin,5,5,1.0
M,hist,diff_coach_regular_5_support,5,0,0.0
M,hist,diff_coach_regular_5_win_posterior,5,5,1.0
M,hist,diff_coach_tenure,5,1,0.2
M,hist,diff_coach_tournament_1_margin,5,2,0.4
M,hist,diff_coach_tournament_1_support,5,5,1.0
M,hist,diff_coach_tournament_1_win_posterior,5,0,0.0
M,hist,diff_coach_tournament_3_margin,5,5,1.0
M,hist,diff_coach_tournament_3_support,5,5,1.0
M,hist,diff_coach_tournament_3_win_posterior,5,5,1.0
M,hist,diff_coach_tournament_5_margin,5,5,1.0
M,hist,diff_coach_tournament_5_support,5,5,1.0
M,hist,diff_coach_tournament_5_win_posterior,5,5,1.0
M,hist,diff_conference_known,5,0,0.0
M,hist,diff_conference_mean_strength,5,3,0.6
M,hist,diff_conference_median_strength,5,5,1.0
M,hist,diff_conference_nonconference_adjusted_margin,5,3,0.6
M,hist,diff_conference_nonconference_margin,5,2,0.4
M,hist,diff_conference_nonconference_opponent_strength,5,0,0.0
M,hist,diff_conference_nonconference_support,5,5,1.0
M,hist,diff_conference_nonconference_win_posterior,5,5,1.0
M,hist,diff_conference_strength_sd,5,0,0.0
M,hist,diff_conference_team_percentile,5,0,0.0
M,hist,diff_conference_teams,5,1,0.2
M,hist,diff_conference_upper_strength,5,5,1.0
M,hist,diff_detailed_coverage,5,0,0.0
M,hist,diff_efg,5,0,0.0
M,hist,diff_elite_fraction,5,1,0.2
M,hist,diff_elite_win_posterior,5,5,1.0
M,hist,diff_elo,5,5,1.0
M,hist,diff_elo_change,5,0,0.0
M,hist,diff_elo_mov,5,5,1.0
M,hist,diff_elo_mov_change,5,0,0.0
M,hist,diff_foul_rate,5,0,0.0
M,hist,diff_free_posterior,5,0,0.0
M,hist,diff_free_uncertainty,5,0,0.0
M,hist,diff_ftr,5,0,0.0
M,hist,diff_games_last_14,5,0,0.0
M,hist,diff_margin,5,0,0.0
M,hist,diff_margin_lower_tail,5,3,0.6
M,hist,diff_margin_sd,5,0,0.0
M,hist,diff_neutral_margin,5,4,0.8
M,hist,diff_opp_assist_ratio,5,0,0.0
M,hist,diff_opp_assist_turnover,5,0,0.0
M,hist,diff_opp_block_rate,5,0,0.0
M,hist,diff_opp_efg,5,0,0.0
M,hist,diff_opp_foul_rate,5,0,0.0
M,hist,diff_opp_free_posterior,5,0,0.0
M,hist,diff_opp_free_uncertainty,5,0,0.0
M,hist,diff_opp_ftr,5,0,0.0
M,hist,diff_opp_orb,5,0,0.0
M,hist,diff_opp_steal_rate,5,0,0.0
M,hist,diff_opp_three_posterior,5,0,0.0
M,hist,diff_opp_three_rate,5,0,0.0
M,hist,diff_opp_three_uncertainty,5,0,0.0
M,hist,diff_opp_tov,5,0,0.0
M,hist,diff_opp_two_posterior,5,0,0.0
M,hist,diff_opp_two_uncertainty,5,0,0.0
M,hist,diff_orb,5,0,0.0
M,hist,diff_overtime_fraction,5,0,0.0
M,hist,diff_possession_gap,5,0,0.0
M,hist,diff_prior_appearances,5,5,1.0
M,hist,diff_prior_seed,5,5,1.0
M,hist,diff_prior_wins,5,5,1.0
M,hist,diff_pythagorean_win,5,5,1.0
M,hist,diff_rank_acceleration,5,0,0.0
M,hist,diff_rank_age,5,5,1.0
M,hist,diff_rank_consensus,5,0,0.0
M,hist,diff_rank_coverage,5,2,0.4
M,hist,diff_rank_disagreement,5,0,0.0
M,hist,diff_rank_dispersion_change,5,0,0.0
M,hist,diff_rank_iqr,5,5,1.0
M,hist,diff_rank_logit,5,5,1.0
M,hist,diff_rank_long_momentum,5,0,0.0
M,hist,diff_rank_lower,5,5,1.0
M,hist,diff_rank_matched_fraction,5,0,0.0
M,hist,diff_rank_max_age,5,0,0.0
M,hist,diff_rank_mean,5,5,1.0
M,hist,diff_rank_momentum,5,0,0.0
M,hist,diff_rank_momentum_sd,5,0,0.0
M,hist,diff_rank_short_momentum,5,0,0.0
M,hist,diff_rank_systems,5,3,0.6
M,hist,diff_rank_top25,5,5,1.0
M,hist,diff_rank_top50,5,5,1.0
M,hist,diff_rank_upper,5,2,0.4
M,hist,diff_rating_balance,5,5,1.0
M,hist,diff_rating_imbalance,5,0,0.0
M,hist,diff_recent_defense,5,0,0.0
M,hist,diff_recent_offense,5,0,0.0
M,hist,diff_recent_residual,5,0,0.0
M,hist,diff_recent_strength,5,2,0.4
M,hist,diff_research_distribution_last30days_allowed_count,5,0,0.0
M,hist,diff_research_distribution_last30days_allowed_efficiency_count,5,0,0.0
M,hist,diff_research_distribution_last30days_allowed_efficiency_iqr,5,0,0.0
M,hist,diff_research_distribution_last30days_allowed_efficiency_max,5,0,0.0
M,hist,diff_research_distribution_last30days_allowed_efficiency_mean,5,0,0.0
M,hist,diff_research_distribution_last30days_allowed_efficiency_median,5,0,0.0
M,hist,diff_research_distribution_last30days_allowed_efficiency_min,5,0,0.0
M,hist,diff_research_distribution_last30days_allowed_efficiency_q10,5,0,0.0
M,hist,diff_research_distribution_last30days_allowed_efficiency_q25,5,0,0.0
M,hist,diff_research_distribution_last30days_allowed_efficiency_q75,5,0,0.0
M,hist,diff_research_distribution_last30days_allowed_efficiency_q90,5,0,0.0
M,hist,diff_research_distribution_last30days_allowed_efficiency_skew,5,0,0.0
M,hist,diff_research_distribution_last30days_allowed_efficiency_std,5,0,0.0
M,hist,diff_research_distribution_last30days_allowed_iqr,5,0,0.0
M,hist,diff_research_distribution_last30days_allowed_max,5,0,0.0
M,hist,diff_research_distribution_last30days_allowed_mean,5,0,0.0
M,hist,diff_research_distribution_last30days_allowed_median,5,0,0.0
M,hist,diff_research_distribution_last30days_allowed_min,5,0,0.0
M,hist,diff_research_distribution_last30days_allowed_q10,5,0,0.0
M,hist,diff_research_distribution_last30days_allowed_q25,5,0,0.0
M,hist,diff_research_distribution_last30days_allowed_q75,5,0,0.0
M,hist,diff_research_distribution_last30days_allowed_q90,5,0,0.0
M,hist,diff_research_distribution_last30days_allowed_skew,5,0,0.0
M,hist,diff_research_distribution_last30days_allowed_std,5,0,0.0
M,hist,diff_research_distribution_last30days_efficiency_count,5,0,0.0
M,hist,diff_research_distribution_last30days_efficiency_iqr,5,0,0.0
