Gender,Season,regular_teams,ranking_teams,ranking_systems,latest_ranking_day,cutoff_day,coach_teams,conference_teams,ranking_fraction,coach_fraction,conference_fraction
M,1985,282,0,0,,132,282,282,0.0,1.0,1.0
M,1986,283,0,0,,132,283,283,0.0,1.0,1.0
M,1987,290,0,0,,132,290,290,0.0,1.0,1.0
M,1988,290,0,0,,132,290,290,0.0,1.0,1.0
M,1989,293,0,0,,132,293,293,0.0,1.0,1.0
M,1990,292,0,0,,132,292,292,0.0,1.0,1.0
M,1991,295,0,0,,132,295,295,0.0,1.0,1.0
M,1992,298,0,0,,132,298,298,0.0,1.0,1.0
M,1993,298,0,0,,132,298,298,0.0,1.0,1.0
M,1994,301,0,0,,132,301,301,0.0,1.0,1.0
M,1995,302,0,0,,132,302,302,0.0,1.0,1.0
M,1996,305,0,0,,132,305,305,0.0,1.0,1.0
M,1997,305,0,0,,132,305,305,0.0,1.0,1.0
M,1998,306,0,0,,132,306,306,0.0,1.0,1.0
M,1999,310,0,0,,132,310,310,0.0,1.0,1.0
M,2000,318,0,0,,132,318,318,0.0,1.0,1.0
M,2001,318,0,0,,132,318,318,0.0,1.0,1.0
M,2002,321,0,0,,132,321,321,0.0,1.0,1.0
M,2003,327,327,33,128.0,132,327,327,1.0,1.0,1.0
M,2004,326,326,36,128.0,132,326,326,1.0,1.0,1.0
M,2005,330,330,36,128.0,132,330,330,1.0,1.0,1.0
M,2006,334,334,36,128.0,132,334,334,1.0,1.0,1.0
M,2007,336,336,39,128.0,132,336,336,1.0,1.0,1.0
M,2008,342,341,46,128.0,132,342,342,0.9970760233918129,1.0,1.0
M,2009,347,347,47,128.0,132,347,347,1.0,1.0,1.0
M,2010,347,347,50,128.0,132,347,347,1.0,1.0,1.0
M,2011,345,345,50,128.0,132,345,345,1.0,1.0,1.0
M,2012,345,345,58,128.0,132,345,345,1.0,1.0,1.0
M,2013,347,347,61,128.0,132,347,347,1.0,1.0,1.0
M,2014,351,351,66,128.0,132,351,351,1.0,1.0,1.0
M,2015,351,351,61,128.0,132,351,351,1.0,1.0,1.0
M,2016,351,351,65,128.0,132,351,351,1.0,1.0,1.0
M,2017,351,351,71,128.0,132,351,351,1.0,1.0,1.0
M,2018,351,351,66,128.0,132,351,351,1.0,1.0,1.0
M,2019,353,353,69,128.0,132,353,353,1.0,1.0,1.0
M,2020,353,353,65,128.0,132,353,353,1.0,1.0,1.0
M,2021,347,347,55,128.0,132,347,347,1.0,1.0,1.0
M,2022,358,358,60,128.0,132,358,358,1.0,1.0,1.0
M,2023,363,363,66,128.0,132,363,363,1.0,1.0,1.0
M,2024,362,362,59,128.0,132,362,362,1.0,1.0,1.0
M,2025,364,364,57,128.0,132,364,364,1.0,1.0,1.0
M,2026,365,365,58,128.0,132,365,365,1.0,1.0,1.0
W,1998,299,0,0,,132,0,299,0.0,0.0,1.0
W,1999,309,0,0,,132,0,309,0.0,0.0,1.0
W,2000,315,0,0,,132,0,315,0.0,0.0,1.0
W,2001,316,0,0,,132,0,316,0.0,0.0,1.0
W,2002,323,0,0,,132,0,323,0.0,0.0,1.0
W,2003,323,0,0,,132,0,323,0.0,0.0,1.0
W,2004,324,0,0,,132,0,324,0.0,0.0,1.0
W,2005,328,0,0,,132,0,328,0.0,0.0,1.0
W,2006,332,0,0,,132,0,332,0.0,0.0,1.0
W,2007,335,0,0,,132,0,335,0.0,0.0,1.0
W,2008,338,0,0,,132,0,338,0.0,0.0,1.0
W,2009,343,0,0,,132,0,343,0.0,0.0,1.0
W,2010,344,0,0,,132,0,344,0.0,0.0,1.0
W,2011,343,0,0,,132,0,343,0.0,0.0,1.0
W,2012,342,0,0,,132,0,342,0.0,0.0,1.0
W,2013,345,0,0,,132,0,345,0.0,0.0,1.0
W,2014,349,0,0,,132,0,349,0.0,0.0,1.0
W,2015,349,0,0,,132,0,349,0.0,0.0,1.0
W,2016,349,0,0,,132,0,349,0.0,0.0,1.0
W,2017,349,0,0,,132,0,349,0.0,0.0,1.0
W,2018,349,0,0,,132,0,349,0.0,0.0,1.0
W,2019,351,0,0,,132,0,351,0.0,0.0,1.0
W,2020,351,0,0,,132,0,351,0.0,0.0,1.0
W,2021,343,0,0,,132,0,343,0.0,0.0,1.0
W,2022,356,0,0,,132,0,356,0.0,0.0,1.0
W,2023,361,0,0,,132,0,361,0.0,0.0,1.0
W,2024,360,0,0,,132,0,360,0.0,0.0,1.0
W,2025,362,0,0,,132,0,362,0.0,0.0,1.0
W,2026,363,0,0,,132,0,363,0.0,0.0,1.0
