Artifact,Path,Exists,SizeMB,SHA256,RecipeSHA256,BlueprintSHA256
model_recipe,C:\Users\alvaro\ML\march-mania-2026\configs\model_recipe.yaml,True,0.005,d42234641e88eb0a18cf9a4f30a5c9a24462b76ab5f7eed30dd3a9788c757596,92a52d4e16ca29b847ba14a37032417713256c7101388f63ca263203adeb12ac,fe018aa50049709a74f9fdcc43d8bbdc7c6510d0091f47a57ecc2467e6c888d7
development_handoff_decisions,C:\Users\alvaro\ML\march-mania-2026\reports\final_2026\development_handoff_decisions.csv,True,0.001,7c5f22667333d3a3022fdcfda7edaca2d43699d6ec4b38567bd0ac9f6d76f628,92a52d4e16ca29b847ba14a37032417713256c7101388f63ca263203adeb12ac,fe018aa50049709a74f9fdcc43d8bbdc7c6510d0091f47a57ecc2467e6c888d7
development_neural_model_audit,C:\Users\alvaro\ML\march-mania-2026\reports\final_2026\development_neural_model_audit.csv,True,0.002,c19edcf0f54bf57959a8261d5ca356182c8c1c16b34eaa4a10e68eef7651fc9e,92a52d4e16ca29b847ba14a37032417713256c7101388f63ca263203adeb12ac,fe018aa50049709a74f9fdcc43d8bbdc7c6510d0091f47a57ecc2467e6c888d7
benchmark_blueprint,C:\Users\alvaro\ML\march-mania-2026\configs\benchmark_production.yaml,True,0.01,01a93518d0caafd9381f8182e2a112097714741f53afa511b986d773818ed801,92a52d4e16ca29b847ba14a37032417713256c7101388f63ca263203adeb12ac,fe018aa50049709a74f9fdcc43d8bbdc7c6510d0091f47a57ecc2467e6c888d7
benchmark_lock,C:\Users\alvaro\ML\march-mania-2026\reports\final_2026\benchmark_consumption_lock.json,True,0.001,c690a890aba29cc394227281bf993213cc46cfac87245716498c65ec5278342d,92a52d4e16ca29b847ba14a37032417713256c7101388f63ca263203adeb12ac,fe018aa50049709a74f9fdcc43d8bbdc7c6510d0091f47a57ecc2467e6c888d7
benchmark_predictions,C:\Users\alvaro\ML\march-mania-2026\data\processed\locked_benchmark_predictions.parquet,True,0.116,8806466f06eef1dc0545884bfd750ce4c77f1ec165355209ca7a77aa129580bf,92a52d4e16ca29b847ba14a37032417713256c7101388f63ca263203adeb12ac,fe018aa50049709a74f9fdcc43d8bbdc7c6510d0091f47a57ecc2467e6c888d7
benchmark_metrics,C:\Users\alvaro\ML\march-mania-2026\reports\final_2026\locked_benchmark_metrics.csv,True,0.006,0f80e009de5df32081fcddf5cc2c8dc6f11fd6445f80921ed93ebe89d5f93e3b,92a52d4e16ca29b847ba14a37032417713256c7101388f63ca263203adeb12ac,fe018aa50049709a74f9fdcc43d8bbdc7c6510d0091f47a57ecc2467e6c888d7
benchmark_slices,C:\Users\alvaro\ML\march-mania-2026\reports\final_2026\locked_benchmark_slices.csv,True,0.081,962a31fe262b1041616b23c1573d584986bc733af9a34bdc99db959eb67ccc66,92a52d4e16ca29b847ba14a37032417713256c7101388f63ca263203adeb12ac,fe018aa50049709a74f9fdcc43d8bbdc7c6510d0091f47a57ecc2467e6c888d7
benchmark_bootstrap,C:\Users\alvaro\ML\march-mania-2026\reports\final_2026\locked_benchmark_season_cluster_bootstrap.csv,True,0.001,e79b10fd65cbed27b10e8ebba2f6191a0776785d47a3b664da0e37d8b63958bb,92a52d4e16ca29b847ba14a37032417713256c7101388f63ca263203adeb12ac,fe018aa50049709a74f9fdcc43d8bbdc7c6510d0091f47a57ecc2467e6c888d7
final_model_manifest,C:\Users\alvaro\ML\march-mania-2026\reports\final_2026\final_model_manifest.csv,True,0.019,e99b3d89cb5136cd1e14e28139ceb05c1cfe8d87a7554b14faaa7c4c01341776,92a52d4e16ca29b847ba14a37032417713256c7101388f63ca263203adeb12ac,fe018aa50049709a74f9fdcc43d8bbdc7c6510d0091f47a57ecc2467e6c888d7
final_feature_importance,C:\Users\alvaro\ML\march-mania-2026\reports\final_2026\final_feature_importance.csv,True,0.037,264b27a53598cd5a231287d39d6e24c8864f4874b4aa9f91bb0092ed34b327af,92a52d4e16ca29b847ba14a37032417713256c7101388f63ca263203adeb12ac,fe018aa50049709a74f9fdcc43d8bbdc7c6510d0091f47a57ecc2467e6c888d7
stage2_predictions,C:\Users\alvaro\ML\march-mania-2026\data\processed\stage2_predictions_2026.parquet,True,3.091,ee85b714121062d6670c50df6fded42c1421609ea2b186b95c2bf07af565e1dc,92a52d4e16ca29b847ba14a37032417713256c7101388f63ca263203adeb12ac,fe018aa50049709a74f9fdcc43d8bbdc7c6510d0091f47a57ecc2467e6c888d7
submission_primary,C:\Users\alvaro\ML\march-mania-2026\submissions\submission_2026_primary.csv,True,4.457,f19d0fa1c2e5f6f9ad80a346dffa40adeda6a95d45c5f5696ac92acaa0012e5e,92a52d4e16ca29b847ba14a37032417713256c7101388f63ca263203adeb12ac,fe018aa50049709a74f9fdcc43d8bbdc7c6510d0091f47a57ecc2467e6c888d7
submission_challenger,C:\Users\alvaro\ML\march-mania-2026\submissions\submission_2026_challenger.csv,True,4.459,ba813d600a73cc97cc61c73ffe68f17bdfec049772780a445ef5928d8729550d,92a52d4e16ca29b847ba14a37032417713256c7101388f63ca263203adeb12ac,fe018aa50049709a74f9fdcc43d8bbdc7c6510d0091f47a57ecc2467e6c888d7
submission_blend,C:\Users\alvaro\ML\march-mania-2026\submissions\submission_2026_development_blend.csv,True,4.459,ec72fecc916ed54125e7f8e86f4b838836a965654c76086787a75ead4f68c3ba,92a52d4e16ca29b847ba14a37032417713256c7101388f63ca263203adeb12ac,fe018aa50049709a74f9fdcc43d8bbdc7c6510d0091f47a57ecc2467e6c888d7
submission_default,C:\Users\alvaro\ML\march-mania-2026\submissions\submission_2026.csv,True,4.457,f19d0fa1c2e5f6f9ad80a346dffa40adeda6a95d45c5f5696ac92acaa0012e5e,92a52d4e16ca29b847ba14a37032417713256c7101388f63ca263203adeb12ac,fe018aa50049709a74f9fdcc43d8bbdc7c6510d0091f47a57ecc2467e6c888d7
model_card,C:\Users\alvaro\ML\march-mania-2026\reports\final_2026\MODEL_CARD.md,True,0.007,0e042223f362a7920bc4dd842c7fc67a1dda7a027f9e46bb78976da00c4113b9,92a52d4e16ca29b847ba14a37032417713256c7101388f63ca263203adeb12ac,fe018aa50049709a74f9fdcc43d8bbdc7c6510d0091f47a57ecc2467e6c888d7
