Gender,Slot,Round,StrongSource,WeakSource,TeamsInDistribution,ProbabilitySum,Passed
M,R1W1,1,W01,W16,2,1.0,True
M,R1W2,1,W02,W15,2,1.0,True
M,R1W3,1,W03,W14,2,1.0,True
M,R1W4,1,W04,W13,2,1.0,True
M,R1W5,1,W05,W12,2,1.0,True
M,R1W6,1,W06,W11,2,1.0,True
M,R1W7,1,W07,W10,2,1.0,True
M,R1W8,1,W08,W09,2,1.0,True
M,R1X2,1,X02,X15,2,1.0,True
M,R1X3,1,X03,X14,2,1.0,True
M,R1X4,1,X04,X13,2,1.0,True
M,R1X5,1,X05,X12,2,1.0,True
M,R1X6,1,X06,X11,2,1.0,True
M,R1X7,1,X07,X10,2,1.0,True
M,R1X8,1,X08,X09,2,1.0,True
M,R1Y2,1,Y02,Y15,2,1.0,True
M,R1Y3,1,Y03,Y14,2,1.0,True
M,R1Y4,1,Y04,Y13,2,1.0,True
M,R1Y5,1,Y05,Y12,2,1.0,True
M,R1Y7,1,Y07,Y10,2,1.0,True
M,R1Y8,1,Y08,Y09,2,1.0,True
M,R1Z1,1,Z01,Z16,2,1.0,True
M,R1Z2,1,Z02,Z15,2,1.0,True
M,R1Z3,1,Z03,Z14,2,1.0,True
M,R1Z4,1,Z04,Z13,2,1.0,True
M,R1Z5,1,Z05,Z12,2,1.0,True
M,R1Z7,1,Z07,Z10,2,1.0,True
M,R1Z8,1,Z08,Z09,2,1.0,True
M,R2W1,2,R1W1,R1W8,4,0.9999999999999999,True
M,R2W2,2,R1W2,R1W7,4,1.0,True
M,R2W3,2,R1W3,R1W6,4,1.0,True
M,R2W4,2,R1W4,R1W5,4,1.0,True
M,R2X2,2,R1X2,R1X7,4,1.0,True
M,R2X3,2,R1X3,R1X6,4,1.0,True
M,R2X4,2,R1X4,R1X5,4,1.0,True
M,R2Y2,2,R1Y2,R1Y7,4,1.0,True
M,R2Y4,2,R1Y4,R1Y5,4,1.0,True
M,R2Z1,2,R1Z1,R1Z8,4,1.0,True
M,R2Z2,2,R1Z2,R1Z7,4,1.0,True
M,R2Z4,2,R1Z4,R1Z5,4,1.0,True
M,R3W1,3,R2W1,R2W4,8,0.9999999999999999,True
M,R3W2,3,R2W2,R2W3,8,0.9999999999999999,True
M,R3X2,3,R2X2,R2X3,8,1.0,True
M,R3Z1,3,R2Z1,R2Z4,8,1.0,True
M,R4W1,4,R3W1,R3W2,16,0.9999999999999998,True
M,X16,0,X16a,X16b,2,1.0,True
M,Y11,0,Y11a,Y11b,2,1.0,True
M,Y16,0,Y16a,Y16b,2,1.0,True
M,Z11,0,Z11a,Z11b,2,1.0,True
M,R1X1,1,X01,X16,3,1.0,True
M,R1Y1,1,Y01,Y16,3,1.0,True
M,R1Y6,1,Y06,Y11,3,1.0,True
M,R1Z6,1,Z06,Z11,3,1.0,True
M,R2X1,2,R1X1,R1X8,5,0.9999999999999999,True
M,R2Y1,2,R1Y1,R1Y8,5,1.0,True
M,R2Y3,2,R1Y3,R1Y6,5,1.0,True
M,R2Z3,2,R1Z3,R1Z6,5,1.0000000000000002,True
M,R3X1,3,R2X1,R2X4,9,0.9999999999999999,True
M,R3Y1,3,R2Y1,R2Y4,9,1.0,True
M,R3Y2,3,R2Y2,R2Y3,9,1.0,True
M,R3Z2,3,R2Z2,R2Z3,9,1.0,True
M,R4X1,4,R3X1,R3X2,17,1.0,True
M,R4Y1,4,R3Y1,R3Y2,18,0.9999999999999999,True
M,R4Z1,4,R3Z1,R3Z2,17,1.0,True
M,R5WX,5,R4W1,R4X1,33,0.9999999999999997,True
M,R5YZ,5,R4Y1,R4Z1,35,0.9999999999999999,True
M,R6CH,6,R5WX,R5YZ,68,0.9999999999999997,True
W,R1W1,1,W01,W16,2,1.0,True
W,R1W2,1,W02,W15,2,1.0,True
W,R1W3,1,W03,W14,2,1.0,True
W,R1W4,1,W04,W13,2,1.0,True
W,R1W5,1,W05,W12,2,1.0,True
W,R1W6,1,W06,W11,2,1.0,True
W,R1W7,1,W07,W10,2,1.0,True
W,R1W8,1,W08,W09,2,1.0,True
W,R1X2,1,X02,X15,2,1.0,True
W,R1X3,1,X03,X14,2,1.0,True
W,R1X4,1,X04,X13,2,1.0,True
W,R1X5,1,X05,X12,2,1.0,True
W,R1X6,1,X06,X11,2,1.0,True
W,R1X8,1,X08,X09,2,1.0,True
W,R1Y2,1,Y02,Y15,2,1.0,True
W,R1Y3,1,Y03,Y14,2,1.0,True
W,R1Y4,1,Y04,Y13,2,1.0,True
W,R1Y5,1,Y05,Y12,2,1.0,True
W,R1Y6,1,Y06,Y11,2,1.0,True
W,R1Y7,1,Y07,Y10,2,1.0,True
W,R1Y8,1,Y08,Y09,2,1.0,True
W,R1Z1,1,Z01,Z16,2,1.0,True
W,R1Z2,1,Z02,Z15,2,1.0,True
W,R1Z3,1,Z03,Z14,2,1.0,True
W,R1Z4,1,Z04,Z13,2,1.0,True
W,R1Z5,1,Z05,Z12,2,1.0,True
W,R1Z7,1,Z07,Z10,2,1.0,True
W,R1Z8,1,Z08,Z09,2,1.0,True
W,R2W1,2,R1W1,R1W8,4,1.0000000000000002,True
W,R2W2,2,R1W2,R1W7,4,1.0,True
W,R2W3,2,R1W3,R1W6,4,0.9999999999999999,True
W,R2W4,2,R1W4,R1W5,4,1.0,True
W,R2X3,2,R1X3,R1X6,4,1.0,True
W,R2X4,2,R1X4,R1X5,4,1.0,True
W,R2Y2,2,R1Y2,R1Y7,4,1.0,True
W,R2Y3,2,R1Y3,R1Y6,4,1.0,True
W,R2Y4,2,R1Y4,R1Y5,4,1.0,True
W,R2Z1,2,R1Z1,R1Z8,4,1.0000000000000002,True
W,R2Z2,2,R1Z2,R1Z7,4,1.0,True
W,R2Z4,2,R1Z4,R1Z5,4,1.0,True
W,R3W1,3,R2W1,R2W4,8,1.0000000000000002,True
W,R3W2,3,R2W2,R2W3,8,1.0,True
W,R3Y2,3,R2Y2,R2Y3,8,1.0,True
W,R3Z1,3,R2Z1,R2Z4,8,1.0000000000000002,True
W,R4W1,4,R3W1,R3W2,16,1.0000000000000002,True
W,X10,0,X10a,X10b,2,1.0,True
W,X16,0,X16a,X16b,2,1.0,True
W,Y16,0,Y16a,Y16b,2,1.0,True
W,Z11,0,Z11a,Z11b,2,1.0,True
W,R1X1,1,X01,X16,3,1.0,True
W,R1X7,1,X07,X10,3,1.0,True
W,R1Y1,1,Y01,Y16,3,1.0,True
W,R1Z6,1,Z06,Z11,3,1.0,True
W,R2X1,2,R1X1,R1X8,5,1.0,True
W,R2X2,2,R1X2,R1X7,5,1.0,True
W,R2Y1,2,R1Y1,R1Y8,5,1.0,True
W,R2Z3,2,R1Z3,R1Z6,5,1.0,True
W,R3X1,3,R2X1,R2X4,9,1.0,True
W,R3X2,3,R2X2,R2X3,9,0.9999999999999999,True
W,R3Y1,3,R2Y1,R2Y4,9,1.0,True
W,R3Z2,3,R2Z2,R2Z3,9,1.0,True
W,R4X1,4,R3X1,R3X2,18,1.0,True
W,R4Y1,4,R3Y1,R3Y2,17,1.0,True
W,R4Z1,4,R3Z1,R3Z2,17,1.0000000000000002,True
W,R5WX,5,R4W1,R4X1,34,1.0000000000000002,True
W,R5YZ,5,R4Y1,R4Z1,34,1.0000000000000002,True
W,R6CH,6,R5WX,R5YZ,68,1.0000000000000004,True
