Gender,Season,Slot,Round,TeamID,TeamName,ChampionshipProbability
M,2026,R6CH,6,1181,Duke,0.23596616016754823
M,2026,R6CH,6,1112,Arizona,0.17016762427995388
M,2026,R6CH,6,1276,Michigan,0.1667060217496229
M,2026,R6CH,6,1196,Florida,0.07167195022016325
M,2026,R6CH,6,1222,Houston,0.04883074942697327
M,2026,R6CH,6,1235,Iowa St,0.045658162517228484
M,2026,R6CH,6,1211,Gonzaga,0.04309275641999144
M,2026,R6CH,6,1345,Purdue,0.03205201963333672
M,2026,R6CH,6,1163,Connecticut,0.02509557179362244
M,2026,R6CH,6,1228,Illinois,0.022536585367837234
M,2026,R6CH,6,1385,St John's,0.01938219808827192
M,2026,R6CH,6,1116,Arkansas,0.017930938504640684
M,2026,R6CH,6,1435,Vanderbilt,0.015249291795531143
M,2026,R6CH,6,1438,Virginia,0.014834452905312052
M,2026,R6CH,6,1277,Michigan St,0.011977705392178226
M,2026,R6CH,6,1104,Alabama,0.007059742532218301
M,2026,R6CH,6,1242,Kansas,0.0070008071462087295
M,2026,R6CH,6,1403,Texas Tech,0.00695617773259582
M,2026,R6CH,6,1257,Louisville,0.005437534597129699
M,2026,R6CH,6,1458,Wisconsin,0.005351901730857951
M,2026,R6CH,6,1397,Tennessee,0.00385431481754534
M,2026,R6CH,6,1304,Nebraska,0.0035989241728742916
M,2026,R6CH,6,1388,St Mary's CA,0.0028548312411564164
M,2026,R6CH,6,1429,Utah St,0.0027130497131433416
M,2026,R6CH,6,1314,North Carolina,0.0024012314518296538
M,2026,R6CH,6,1140,BYU,0.0018495480954757741
M,2026,R6CH,6,1387,St Louis,0.0018171991146090855
M,2026,R6CH,6,1417,UCLA,0.0016467634573199574
M,2026,R6CH,6,1246,Kentucky,0.001006862111905626
M,2026,R6CH,6,1433,VCU,0.0007535160658115146
M,2026,R6CH,6,1155,Clemson,0.0007244387618504657
M,2026,R6CH,6,1208,Georgia,0.0005567473955884642
M,2026,R6CH,6,1365,Santa Clara,0.0004883019534472537
M,2026,R6CH,6,1326,Ohio St,0.0004743064976262627
M,2026,R6CH,6,1274,Miami FL,0.00041544861459273994
M,2026,R6CH,6,1378,South Florida,0.00037022075107473115
M,2026,R6CH,6,1234,Iowa,0.000334855383986476
M,2026,R6CH,6,1401,Texas A&M,0.0003046295815616547
M,2026,R6CH,6,1301,NC State,0.00024308447508406475
M,2026,R6CH,6,1437,Villanova,0.00010529016108057991
M,2026,R6CH,6,1374,SMU,0.00010291757248613246
