Method,MacroSeasonBrier,WorstSeasonBrier,SeasonBrierStd,ComplexityRank,HadFallback,OneSEThreshold,WithinOneSE,Selected,StreamID
identity,0.18679921336650537,0.2164630310653366,0.02102948909224614,0,False,0.1962038867949759,True,True,M_primary
temperature,0.1874767236111871,0.21732574522058698,0.020894263169457934,1,False,0.1962038867949759,True,False,M_primary
platt,0.18748617993715505,0.2170209599344448,0.020737593007094005,2,False,0.1962038867949759,True,False,M_primary
beta,0.18755296895935977,0.2175129544794686,0.020947868800918607,3,False,0.1962038867949759,True,False,M_primary
spline,0.18793042812853794,0.21909941535541774,0.02106760322476005,4,False,0.1962038867949759,True,False,M_primary
isotonic,0.1908496321717023,0.22273747231253696,0.02132070208897596,5,False,0.1962038867949759,True,False,M_primary
isotonic,0.17904804384704648,0.20740504227805498,0.028596361966398778,5,False,0.19183672570025792,True,False,M_challenger
identity,0.1806688479903381,0.20962081957398307,0.030977556666365626,0,False,0.19183672570025792,True,True,M_challenger
platt,0.1812327022275795,0.20783804248135251,0.02760339004329352,2,False,0.19183672570025792,True,False,M_challenger
spline,0.18124130661584908,0.20783171696071012,0.028249862136519557,4,False,0.19183672570025792,True,False,M_challenger
beta,0.1813165545755559,0.20815139382656292,0.02768866675722149,3,False,0.19183672570025792,True,False,M_challenger
temperature,0.18141793561019287,0.20824246792817055,0.028465197361124496,1,False,0.19183672570025792,True,False,M_challenger
platt,0.15188363445206357,0.1727977790629677,0.017855031121600175,2,False,0.15986864711771803,True,False,W_primary
temperature,0.15225897982314035,0.17237981038411423,0.016803871460716196,1,False,0.15986864711771803,True,False,W_primary
beta,0.1522590183550414,0.17280949302723497,0.018211071543863623,3,False,0.15986864711771803,True,False,W_primary
identity,0.15297833079837614,0.16743009853356736,0.0122774730951331,0,False,0.15986864711771803,True,True,W_primary
spline,0.153369548050732,0.1753955774842457,0.01890527059546877,4,False,0.15986864711771803,True,False,W_primary
isotonic,0.1570802546794943,0.18151168694481284,0.01993306528339821,5,False,0.15986864711771803,True,False,W_primary
identity,0.14868358783438557,0.15914364902279612,0.010530633987516034,0,False,0.15339303052283668,True,True,W_challenger
temperature,0.1487560844534849,0.1587014205668919,0.009824027987175226,1,False,0.15339303052283668,True,False,W_challenger
platt,0.14889392076578778,0.15939695138793603,0.01062126116933928,2,False,0.15339303052283668,True,False,W_challenger
beta,0.14953832523692703,0.1604413939230403,0.011225021839717563,3,False,0.15339303052283668,True,False,W_challenger
spline,0.15090510687623326,0.1613982594666707,0.011608796245453423,4,False,0.15339303052283668,True,False,W_challenger
isotonic,0.15200868087685132,0.15950592148203632,0.008139255369117398,5,False,0.15339303052283668,True,False,W_challenger
identity,0.1859360957792258,0.21412656096364566,0.020007273626547438,0,False,0.19488362055390554,True,True,M_fallback
platt,0.18647042065072314,0.21450065657722822,0.019758829398972957,2,False,0.19488362055390554,True,False,M_fallback
temperature,0.18649051660370922,0.21493611572296975,0.019925177289994784,1,False,0.19488362055390554,True,False,M_fallback
beta,0.1865243143189823,0.21506651356324943,0.020036431671764898,3,False,0.19488362055390554,True,False,M_fallback
spline,0.18704778114382886,0.21676740430711752,0.020063797140414938,4,False,0.19488362055390554,True,False,M_fallback
isotonic,0.1912546126831674,0.22324299737542622,0.022174545278618507,5,False,0.19488362055390554,True,False,M_fallback
temperature,0.14813493762800742,0.16524646292551948,0.014242840045633823,1,False,0.1545045293349461,True,False,W_fallback
platt,0.14826666654428702,0.1667397868138141,0.015447044074327562,2,False,0.1545045293349461,True,False,W_fallback
spline,0.14845516374099266,0.1665370546432836,0.0151812526008154,4,False,0.1545045293349461,True,False,W_fallback
beta,0.14861453534985475,0.16770417080587258,0.01585564793685436,3,False,0.1545045293349461,True,False,W_fallback
identity,0.1501398540967582,0.1701269605142305,0.01782676818195036,0,False,0.1545045293349461,True,True,W_fallback
isotonic,0.1521553960458471,0.1713542239105928,0.016172168532152833,5,False,0.1545045293349461,True,False,W_fallback
