Gender,route,Season,family,weight
M,M,2016,hist,0.02655921734049713
M,M,2016,lightgbm,0.0889636366547832
M,M,2016,logistic,0.6923440143030425
M,M,2016,seed,0.04991683253306609
M,M,2016,xgboost,0.14221629916861117
M,M,2017,hist,0.02276470558146759
M,M,2017,lightgbm,0.06901773788048626
M,M,2017,logistic,0.6123750382949293
M,M,2017,seed,0.14289843955480178
M,M,2017,xgboost,0.1529440786883151
M,M,2018,hist,0.02145705352615482
M,M,2018,lightgbm,0.055167000851868875
M,M,2018,logistic,0.6170599746160454
M,M,2018,seed,0.18444386892101233
M,M,2018,xgboost,0.1218721020849185
M,M,2019,hist,0.012368440738078086
M,M,2019,lightgbm,0.11809897299309613
M,M,2019,logistic,0.5747623745367445
M,M,2019,seed,0.15632705489462534
M,M,2019,xgboost,0.13844315683745603
M,M,2021,hist,0.04496401728440123
M,M,2021,lightgbm,0.1344114941914775
M,M,2021,logistic,0.5454538909789872
M,M,2021,seed,0.14168584194159392
M,M,2021,xgboost,0.13348475560354006
W,W,2016,hist,0.18720493379517095
W,W,2016,lightgbm,0.19263800791831975
W,W,2016,logistic,0.43374747054945545
W,W,2016,seed,3.206483881305531e-19
W,W,2016,xgboost,0.18640958773705388
W,W,2017,hist,0.23054967836625428
W,W,2017,lightgbm,0.19223035835173105
W,W,2017,logistic,0.42013927491201525
W,W,2017,seed,1.602975277292624e-18
W,W,2017,xgboost,0.15708068836999942
W,W,2018,hist,0.2302488570832537
W,W,2018,lightgbm,0.10112126778015115
W,W,2018,logistic,0.4712358313431482
W,W,2018,seed,0.06084665010032294
W,W,2018,xgboost,0.13654739369312396
W,W,2019,hist,0.18162347988940733
W,W,2019,lightgbm,0.09909858422094896
W,W,2019,logistic,0.4882143098507987
W,W,2019,seed,0.12641866698977447
W,W,2019,xgboost,0.10464495904907042
W,W,2021,hist,0.1935942515834731
W,W,2021,lightgbm,0.11655652889645662
W,W,2021,logistic,0.44595985207366834
W,W,2021,seed,0.1487374306138121
W,W,2021,xgboost,0.0951519368325899
M,pooled_common,2016,hist,0.052610555983232866
M,pooled_common,2016,lightgbm,0.07723875029230516
M,pooled_common,2016,logistic,0.5836905697814866
M,pooled_common,2016,seed,0.13442511882757596
M,pooled_common,2016,xgboost,0.15203500511539947
M,pooled_common,2017,hist,0.11629676956163292
M,pooled_common,2017,lightgbm,0.19148987882959506
M,pooled_common,2017,logistic,0.4214399512429981
M,pooled_common,2017,seed,0.14518462369391744
M,pooled_common,2017,xgboost,0.12558877667185653
M,pooled_common,2018,hist,0.12663657924643637
M,pooled_common,2018,lightgbm,0.1959046566876338
M,pooled_common,2018,logistic,0.41784405405475605
M,pooled_common,2018,seed,0.12418376450581334
M,pooled_common,2018,xgboost,0.13543094550536042
M,pooled_common,2019,hist,0.13977446555748027
M,pooled_common,2019,lightgbm,0.20981623801047067
M,pooled_common,2019,logistic,0.3792203372882817
M,pooled_common,2019,seed,0.10357865939022859
M,pooled_common,2019,xgboost,0.16761029975353878
M,pooled_common,2021,hist,0.1579230646828644
M,pooled_common,2021,lightgbm,0.21464286489986492
M,pooled_common,2021,logistic,0.3672682336520898
M,pooled_common,2021,seed,0.09760921692479003
M,pooled_common,2021,xgboost,0.16255661984039085
W,pooled_common,2016,hist,0.2087330738028967
W,pooled_common,2016,lightgbm,0.2624980754202071
W,pooled_common,2016,logistic,0.5030695479004181
W,pooled_common,2016,seed,2.776486179075766e-17
W,pooled_common,2016,xgboost,0.025699302876478054
W,pooled_common,2017,hist,0.20187199293961322
W,pooled_common,2017,lightgbm,0.24022887093041528
W,pooled_common,2017,logistic,0.484311933885309
W,pooled_common,2017,seed,1.0386588794554095e-18
W,pooled_common,2017,xgboost,0.07358720224466254
W,pooled_common,2018,hist,0.20094432123835973
W,pooled_common,2018,lightgbm,0.21979753247264489
W,pooled_common,2018,logistic,0.505082877893112
W,pooled_common,2018,seed,0.00928272221188924
W,pooled_common,2018,xgboost,0.06489254618399419
W,pooled_common,2019,hist,0.13771484864888894
W,pooled_common,2019,lightgbm,0.1427681994002106
W,pooled_common,2019,logistic,0.5288682592010904
W,pooled_common,2019,seed,0.09255825860996543
W,pooled_common,2019,xgboost,0.09809043413984461
W,pooled_common,2021,hist,0.157497877536635
W,pooled_common,2021,lightgbm,0.15324225914710193
W,pooled_common,2021,logistic,0.48029916892029706
W,pooled_common,2021,seed,0.11871680055539825
W,pooled_common,2021,xgboost,0.09024389384056775
