Gender,Season,DayNum,ID,y,p,model,block,squared_error
M,2018,137,2018_1420_1438,1,0.04406238588239196,blend,pooled_common,0.9138167220848649
M,2018,137,2018_1420_1438,1,0.05813657853205133,blend,M,0.8871067046993107
M,2016,137,2016_1277_1292,0,0.928902383180113,blend,pooled_common,0.8628596374776935
W,2016,140,2016_3268_3449,0,0.9214795881210859,blend,W,0.8491246313238061
W,2016,140,2016_3268_3449,0,0.9162819546464457,blend,pooled_common,0.8395726204107111
M,2016,137,2016_1277_1292,0,0.9157372801642572,blend,M,0.8385747662826312
M,2021,137,2021_1326_1331,0,0.904726470602603,blend,pooled_common,0.8185299866090427
W,2018,144,2018_3124_3333,0,0.9034059886889789,blend,pooled_common,0.8161423803991115
W,2019,140,2019_3235_3283,0,0.9016972863407149,blend,pooled_common,0.8130579961942092
W,2018,140,2018_3138_3199,1,0.10680940215511049,blend,W,0.7977894440785112
W,2021,140,2021_3116_3460,0,0.8925678313831459,blend,W,0.7966773336200119
W,2018,140,2018_3138_3199,1,0.1081300112896995,blend,pooled_common,0.7954320767621116
W,2017,140,2017_3274_3346,0,0.8918397495016972,blend,W,0.79537813879125
W,2017,151,2017_3163_3280,0,0.8911295519565071,blend,pooled_common,0.7941118783702051
W,2018,140,2018_3141_3326,1,0.11364989894154771,blend,W,0.7856165016463285
M,2021,137,2021_1326_1331,0,0.8851583498065698,blend,M,0.7835053042322898
W,2018,140,2018_3141_3326,1,0.11770142946186878,blend,pooled_common,0.7784507675736297
W,2018,144,2018_3124_3333,0,0.87565687723665,blend,W,0.7667749666518415
W,2019,140,2019_3235_3283,0,0.8722662272501961,blend,W,0.7608483712012908
W,2017,145,2017_3268_3332,0,0.871638608196462,blend,W,0.7597538632986653
W,2021,140,2021_3116_3460,0,0.8713132356544817,blend,pooled_common,0.7591867546266824
W,2017,151,2017_3163_3280,0,0.8707072630457799,blend,W,0.758131137920673
W,2017,140,2017_3181_3332,0,0.8691576927876139,blend,W,0.7554350949318882
W,2017,146,2017_3124_3280,0,0.8678610125354127,blend,W,0.7531827370789917
W,2017,146,2017_3124_3280,0,0.8520707854719943,blend,pooled_common,0.7260246234548614
W,2021,151,2021_3112_3163,1,0.14815284247854868,blend,pooled_common,0.7256435797773764
W,2017,145,2017_3268_3332,0,0.8499138796678936,blend,pooled_common,0.7223536028521307
W,2017,140,2017_3274_3346,0,0.8454174479387545,blend,pooled_common,0.7147306612792766
M,2021,139,2021_1196_1331,0,0.8375653413114696,blend,pooled_common,0.7015157009661986
M,2016,137,2016_1372_1452,1,0.1637156946732079,blend,pooled_common,0.6993714393359153
