bin,predicted,observed,games,Gender,block,model
0,0.06332807726380854,0.05263157894736842,19,M,M,blend
1,0.15457945358671307,0.13333333333333333,30,M,M,blend
2,0.26027166229943216,0.17857142857142858,28,M,M,blend
3,0.3422098071720968,0.35294117647058826,34,M,M,blend
4,0.45135549027523314,0.42857142857142855,42,M,M,blend
5,0.5467070585345671,0.4423076923076923,52,M,M,blend
6,0.6486895532236252,0.5714285714285714,42,M,M,blend
7,0.7448298424032674,0.6595744680851063,47,M,M,blend
8,0.8413461186699424,0.8888888888888888,27,M,M,blend
9,0.9254077383168955,0.9230769230769231,13,M,M,blend
0,0.09242304641034181,0.05555555555555555,18,M,M,hist_calibrated
1,0.132904619973104,0.10714285714285714,28,M,M,hist_calibrated
2,0.26018897283537695,0.13793103448275862,29,M,M,hist_calibrated
3,0.3513888618454266,0.4722222222222222,36,M,M,hist_calibrated
4,0.446696370468604,0.391304347826087,46,M,M,hist_calibrated
5,0.5494866531914816,0.5,48,M,M,hist_calibrated
6,0.6442632339658911,0.5333333333333333,45,M,M,hist_calibrated
7,0.7338038717805333,0.6666666666666666,45,M,M,hist_calibrated
8,0.8690584396132723,0.8181818181818182,33,M,M,hist_calibrated
9,0.9108427975499241,1.0,6,M,M,hist_calibrated
0,0.09242304641034181,0.05555555555555555,18,M,M,hist_raw
1,0.132904619973104,0.10714285714285714,28,M,M,hist_raw
2,0.26018897283537695,0.13793103448275862,29,M,M,hist_raw
3,0.3513888618454266,0.4722222222222222,36,M,M,hist_raw
4,0.446696370468604,0.391304347826087,46,M,M,hist_raw
5,0.5494866531914816,0.5,48,M,M,hist_raw
6,0.6442632339658911,0.5333333333333333,45,M,M,hist_raw
7,0.7338038717805333,0.6666666666666666,45,M,M,hist_raw
8,0.8690584396132723,0.8181818181818182,33,M,M,hist_raw
9,0.9108427975499244,1.0,6,M,M,hist_raw
0,0.08829098670310515,0.10526315789473684,19,M,M,lightgbm_calibrated
1,0.131185098427893,0.06451612903225806,31,M,M,lightgbm_calibrated
2,0.26195556055529867,0.23076923076923078,26,M,M,lightgbm_calibrated
3,0.35103195125607123,0.40540540540540543,37,M,M,lightgbm_calibrated
4,0.45532998120012824,0.46938775510204084,49,M,M,lightgbm_calibrated
5,0.5479827431236399,0.4473684210526316,38,M,M,lightgbm_calibrated
6,0.652405764191486,0.5098039215686274,51,M,M,lightgbm_calibrated
7,0.7398732906648702,0.6666666666666666,45,M,M,lightgbm_calibrated
8,0.8694714449346745,0.8518518518518519,27,M,M,lightgbm_calibrated
9,0.9082670440073476,0.9090909090909091,11,M,M,lightgbm_calibrated
0,0.08829098670310515,0.10526315789473684,19,M,M,lightgbm_raw
1,0.131185098427893,0.06451612903225806,31,M,M,lightgbm_raw
2,0.26195556055529867,0.23076923076923078,26,M,M,lightgbm_raw
3,0.35103195125607123,0.40540540540540543,37,M,M,lightgbm_raw
4,0.45532998120012824,0.46938775510204084,49,M,M,lightgbm_raw
5,0.5479827431236399,0.4473684210526316,38,M,M,lightgbm_raw
6,0.652405764191486,0.5098039215686274,51,M,M,lightgbm_raw
7,0.7398732906648702,0.6666666666666666,45,M,M,lightgbm_raw
8,0.8694714449346745,0.8518518518518519,27,M,M,lightgbm_raw
9,0.9082670440073478,0.9090909090909091,11,M,M,lightgbm_raw
0,0.041472570203362674,0.041666666666666664,24,M,M,logistic_calibrated
1,0.14642524075703764,0.17857142857142858,28,M,M,logistic_calibrated
2,0.2579659764296748,0.14705882352941177,34,M,M,logistic_calibrated
3,0.33483815177531207,0.37037037037037035,27,M,M,logistic_calibrated
4,0.4536230800909419,0.4146341463414634,41,M,M,logistic_calibrated
5,0.5454368767367163,0.48936170212765956,47,M,M,logistic_calibrated
6,0.6568500385782241,0.5333333333333333,45,M,M,logistic_calibrated
7,0.7447975963484963,0.6111111111111112,36,M,M,logistic_calibrated
8,0.8489300157910059,0.8918918918918919,37,M,M,logistic_calibrated
9,0.9482753121380106,0.9333333333333333,15,M,M,logistic_calibrated
0,0.046641536752909114,0.043478260869565216,23,M,M,logistic_raw
1,0.14382399846428853,0.12,25,M,M,logistic_raw
2,0.2588431218814476,0.1891891891891892,37,M,M,logistic_raw
3,0.34053268133712955,0.35714285714285715,28,M,M,logistic_raw
4,0.4544120962551172,0.4146341463414634,41,M,M,logistic_raw
5,0.5439399499419078,0.48936170212765956,47,M,M,logistic_raw
6,0.6542866472526195,0.5306122448979592,49,M,M,logistic_raw
7,0.7470077656173755,0.6571428571428571,35,M,M,logistic_raw
8,0.8489586816544445,0.8857142857142857,35,M,M,logistic_raw
9,0.9482431845953306,0.9285714285714286,14,M,M,logistic_raw
0,0.05415588161314564,0.045454545454545456,22,M,M,rank_logistic_calibrated
1,0.14994349363104081,0.18518518518518517,27,M,M,rank_logistic_calibrated
2,0.2513422036920509,0.08695652173913043,23,M,M,rank_logistic_calibrated
3,0.34361413731057194,0.3541666666666667,48,M,M,rank_logistic_calibrated
4,0.45577823585380783,0.3611111111111111,36,M,M,rank_logistic_calibrated
5,0.558833088218032,0.4318181818181818,44,M,M,rank_logistic_calibrated
6,0.6462998287826728,0.6037735849056604,53,M,M,rank_logistic_calibrated
7,0.7514035080785807,0.7073170731707317,41,M,M,rank_logistic_calibrated
8,0.8463665075584195,0.9166666666666666,24,M,M,rank_logistic_calibrated
9,0.9423100680001745,0.875,16,M,M,rank_logistic_calibrated
0,0.05415588161314564,0.045454545454545456,22,M,M,rank_logistic_raw
1,0.14994349363104081,0.18518518518518517,27,M,M,rank_logistic_raw
2,0.2513422036920509,0.08695652173913043,23,M,M,rank_logistic_raw
3,0.34361413731057194,0.3541666666666667,48,M,M,rank_logistic_raw
4,0.45577823585380783,0.3611111111111111,36,M,M,rank_logistic_raw
5,0.558833088218032,0.4318181818181818,44,M,M,rank_logistic_raw
6,0.6462998287826728,0.6037735849056604,53,M,M,rank_logistic_raw
7,0.7514035080785807,0.7073170731707317,41,M,M,rank_logistic_raw
8,0.8463665075584196,0.9166666666666666,24,M,M,rank_logistic_raw
9,0.9423100680001745,0.875,16,M,M,rank_logistic_raw
0,0.07092882042704284,0.043478260869565216,23,M,M,seed_calibrated
1,0.1517932215358409,0.2564102564102564,39,M,M,seed_calibrated
2,0.2439751442701955,0.3448275862068966,29,M,M,seed_calibrated
3,0.35333067361016113,0.2,25,M,M,seed_calibrated
4,0.4468916306240773,0.3333333333333333,30,M,M,seed_calibrated
5,0.5273722839726939,0.43137254901960786,51,M,M,seed_calibrated
6,0.6431445891326224,0.5714285714285714,28,M,M,seed_calibrated
7,0.7514441686203858,0.6304347826086957,46,M,M,seed_calibrated
8,0.8365731937712501,0.7777777777777778,45,M,M,seed_calibrated
9,0.9228346414127943,0.8888888888888888,18,M,M,seed_calibrated
1,0.1503477095338879,0.0625,32,M,M,seed_raw
2,0.25216469985601636,0.28888888888888886,45,M,M,seed_raw
3,0.35523197600728224,0.375,24,M,M,seed_raw
4,0.44219312262528787,0.26666666666666666,45,M,M,seed_raw
5,0.5378127201893633,0.4626865671641791,67,M,M,seed_raw
6,0.645613038007262,0.5,34,M,M,seed_raw
7,0.7420888120551793,0.7741935483870968,62,M,M,seed_raw
8,0.8479794337886603,0.88,25,M,M,seed_raw
0,0.07283034262524668,0.07407407407407407,27,M,M,xgboost_calibrated
1,0.1422606561596695,0.13793103448275862,29,M,M,xgboost_calibrated
2,0.2531665657019523,0.18181818181818182,22,M,M,xgboost_calibrated
3,0.3512546885969415,0.38461538461538464,39,M,M,xgboost_calibrated
4,0.4563422411523078,0.5,42,M,M,xgboost_calibrated
5,0.5434371346720415,0.3953488372093023,43,M,M,xgboost_calibrated
6,0.6497166991212141,0.6086956521739131,46,M,M,xgboost_calibrated
7,0.7427457076393966,0.6097560975609756,41,M,M,xgboost_calibrated
8,0.8658186456136596,0.8529411764705882,34,M,M,xgboost_calibrated
9,0.9296162619719449,0.8181818181818182,11,M,M,xgboost_calibrated
0,0.08487282301250257,0.05263157894736842,19,M,M,xgboost_raw
1,0.13547768035242636,0.0967741935483871,31,M,M,xgboost_raw
2,0.25743008576906645,0.23076923076923078,26,M,M,xgboost_raw
3,0.3496519497462681,0.3142857142857143,35,M,M,xgboost_raw
4,0.45356009528040886,0.5208333333333334,48,M,M,xgboost_raw
5,0.543826021578001,0.43478260869565216,46,M,M,xgboost_raw
6,0.6518847333348315,0.5652173913043478,46,M,M,xgboost_raw
7,0.740883735815684,0.6666666666666666,45,M,M,xgboost_raw
8,0.873457041280023,0.8620689655172413,29,M,M,xgboost_raw
9,0.9124544660250345,0.7777777777777778,9,M,M,xgboost_raw
0,0.058580132212332575,0.045454545454545456,22,M,pooled_common,blend
1,0.14864836162550152,0.15151515151515152,33,M,pooled_common,blend
2,0.2598335820548469,0.20689655172413793,29,M,pooled_common,blend
3,0.3561915396074549,0.36666666666666664,30,M,pooled_common,blend
4,0.4463301859524964,0.3333333333333333,36,M,pooled_common,blend
5,0.5482548693933533,0.5098039215686274,51,M,pooled_common,blend
6,0.648681032860032,0.525,40,M,pooled_common,blend
7,0.7474870776305894,0.627906976744186,43,M,pooled_common,blend
8,0.8469671155455252,0.9117647058823529,34,M,pooled_common,blend
9,0.9316636525062896,0.875,16,M,pooled_common,blend
0,0.06651575149015403,0.045454545454545456,22,M,pooled_common,hist_calibrated
1,0.14586818487314035,0.14285714285714285,35,M,pooled_common,hist_calibrated
2,0.24993987553961972,0.23076923076923078,26,M,pooled_common,hist_calibrated
3,0.3631499155865358,0.38235294117647056,34,M,pooled_common,hist_calibrated
4,0.45600202123256367,0.43243243243243246,37,M,pooled_common,hist_calibrated
5,0.5536881394811234,0.4,50,M,pooled_common,hist_calibrated
6,0.6433545317228229,0.5526315789473685,38,M,pooled_common,hist_calibrated
7,0.7503488051028679,0.6571428571428571,35,M,pooled_common,hist_calibrated
8,0.8497094128766516,0.8536585365853658,41,M,pooled_common,hist_calibrated
9,0.9292144199661123,0.875,16,M,pooled_common,hist_calibrated
0,0.06651575149015403,0.045454545454545456,22,M,pooled_common,hist_raw
1,0.14586818487314035,0.14285714285714285,35,M,pooled_common,hist_raw
2,0.2499398755396197,0.23076923076923078,26,M,pooled_common,hist_raw
3,0.3631499155865358,0.38235294117647056,34,M,pooled_common,hist_raw
4,0.45600202123256367,0.43243243243243246,37,M,pooled_common,hist_raw
5,0.5536881394811233,0.4,50,M,pooled_common,hist_raw
6,0.6433545317228229,0.5526315789473685,38,M,pooled_common,hist_raw
7,0.7503488051028679,0.6571428571428571,35,M,pooled_common,hist_raw
8,0.8497094128766516,0.8536585365853658,41,M,pooled_common,hist_raw
9,0.9292144199661123,0.875,16,M,pooled_common,hist_raw
0,0.07232097601541079,0.045454545454545456,22,M,pooled_common,lightgbm_calibrated
1,0.14163455476382197,0.12121212121212122,33,M,pooled_common,lightgbm_calibrated
2,0.25551947957135046,0.2413793103448276,29,M,pooled_common,lightgbm_calibrated
3,0.35923601435087643,0.35294117647058826,34,M,pooled_common,lightgbm_calibrated
4,0.44657710506862824,0.40625,32,M,pooled_common,lightgbm_calibrated
5,0.5466804555241388,0.45652173913043476,46,M,pooled_common,lightgbm_calibrated
6,0.6478268661812636,0.6097560975609756,41,M,pooled_common,lightgbm_calibrated
7,0.7469261814250252,0.5142857142857142,35,M,pooled_common,lightgbm_calibrated
8,0.8460846792248662,0.8333333333333334,42,M,pooled_common,lightgbm_calibrated
9,0.9260144726573148,0.9,20,M,pooled_common,lightgbm_calibrated
0,0.07232097601541079,0.045454545454545456,22,M,pooled_common,lightgbm_raw
1,0.14163455476382197,0.12121212121212122,33,M,pooled_common,lightgbm_raw
2,0.2555194795713504,0.2413793103448276,29,M,pooled_common,lightgbm_raw
3,0.3592360143508764,0.35294117647058826,34,M,pooled_common,lightgbm_raw
4,0.44657710506862824,0.40625,32,M,pooled_common,lightgbm_raw
5,0.5466804555241388,0.45652173913043476,46,M,pooled_common,lightgbm_raw
6,0.6478268661812636,0.6097560975609756,41,M,pooled_common,lightgbm_raw
7,0.7469261814250252,0.5142857142857142,35,M,pooled_common,lightgbm_raw
8,0.8460846792248662,0.8333333333333334,42,M,pooled_common,lightgbm_raw
9,0.9260144726573148,0.9,20,M,pooled_common,lightgbm_raw
0,0.05147734260904692,0.038461538461538464,26,M,pooled_common,logistic_calibrated
1,0.13916986524074426,0.15384615384615385,26,M,pooled_common,logistic_calibrated
2,0.25448973138563513,0.2,35,M,pooled_common,logistic_calibrated
3,0.35556346122689064,0.4482758620689655,29,M,pooled_common,logistic_calibrated
4,0.4477029343801445,0.3055555555555556,36,M,pooled_common,logistic_calibrated
5,0.5524038943274656,0.5192307692307693,52,M,pooled_common,logistic_calibrated
6,0.6584170973330556,0.5263157894736842,38,M,pooled_common,logistic_calibrated
7,0.7401886067920528,0.5714285714285714,42,M,pooled_common,logistic_calibrated
8,0.8481107466649318,0.9411764705882353,34,M,pooled_common,logistic_calibrated
9,0.9429859104261185,0.9375,16,M,pooled_common,logistic_calibrated
0,0.05147734260904692,0.038461538461538464,26,M,pooled_common,logistic_raw
1,0.13916986524074423,0.15384615384615385,26,M,pooled_common,logistic_raw
2,0.25448973138563513,0.2,35,M,pooled_common,logistic_raw
