Gender,route,Season,family,candidate,calibration,temperature,history_last_season,history_seasons
M,M,2016,hist,hist_strength_2,identity,1.0,2015,2
M,M,2016,lightgbm,lightgbm_strength_2,identity,1.0,2015,2
M,M,2016,logistic,logistic_strength_1,temperature,0.8346517266666565,2015,2
M,M,2016,rank_logistic,rank_logistic_0,identity,1.0,2015,2
M,M,2016,seed,seed,temperature,0.6233374899642372,2015,2
M,M,2016,xgboost,xgboost_strength_3,temperature,0.7051897790940728,2015,2
M,M,2017,hist,hist_strength_2,identity,1.0,2016,3
M,M,2017,lightgbm,lightgbm_strength_2,identity,1.0,2016,3
M,M,2017,logistic,logistic_strength_1,identity,1.0,2016,3
M,M,2017,rank_logistic,rank_logistic_0,identity,1.0,2016,3
M,M,2017,seed,seed,temperature,0.7172922682228013,2016,3
M,M,2017,xgboost,xgboost_strength_2,identity,1.0,2016,3
M,M,2018,hist,hist_strength_2,identity,1.0,2017,4
M,M,2018,lightgbm,lightgbm_strength_2,identity,1.0,2017,4
M,M,2018,logistic,logistic_strength_1,identity,1.0,2017,4
M,M,2018,rank_logistic,rank_logistic_0,identity,1.0,2017,4
M,M,2018,seed,seed,temperature,0.7178938517207162,2017,4
M,M,2018,xgboost,xgboost_strength_2,identity,1.0,2017,4
M,M,2019,hist,hist_strength_2,identity,1.0,2018,5
M,M,2019,lightgbm,lightgbm_strength_3,identity,1.0,2018,5
M,M,2019,logistic,logistic_strength_1,identity,1.0,2018,5
M,M,2019,rank_logistic,rank_logistic_0,identity,1.0,2018,5
M,M,2019,seed,seed,temperature,0.7771441623734745,2018,5
M,M,2019,xgboost,xgboost_strength_3,identity,1.0,2018,5
M,M,2021,hist,hist_strength_2,identity,1.0,2019,6
M,M,2021,lightgbm,lightgbm_strength_3,identity,1.0,2019,6
M,M,2021,logistic,logistic_strength_1,identity,1.0,2019,6
M,M,2021,rank_logistic,rank_logistic_0,identity,1.0,2019,6
M,M,2021,seed,seed,temperature,0.7727079131242266,2019,6
M,M,2021,xgboost,xgboost_strength_3,identity,1.0,2019,6
W,W,2016,hist,hist_strength_2,temperature,0.7712267459784602,2015,2
W,W,2016,lightgbm,lightgbm_full_2,temperature,0.7902988059800747,2015,2
W,W,2016,logistic,logistic_dynamic_1,identity,1.0,2015,2
W,W,2016,seed,seed,temperature,0.676244395925003,2015,2
W,W,2016,xgboost,xgboost_full_2,temperature,0.6670986796750501,2015,2
W,W,2017,hist,hist_strength_2,identity,1.0,2016,3
W,W,2017,lightgbm,lightgbm_strength_3,identity,1.0,2016,3
W,W,2017,logistic,logistic_dynamic_1,identity,1.0,2016,3
W,W,2017,seed,seed,identity,1.0,2016,3
W,W,2017,xgboost,xgboost_strength_3,identity,1.0,2016,3
