Architecture,Universe,Model,ModelDisplay,EvaluationGender,ComplexityRank,Rows,Seasons,MacroSeasonBrier,GameWeightedBrier,SeasonBrierStd,WorstSeasonBrier,LogLoss,ROCAUC,AveragePrecision,AUCPR,Accuracy,BalancedAccuracy,Precision,Recall,F1,MCC,Threshold,TN,FP,FN,TP,PositiveRate,PredictedPositiveRate,CalibrationIntercept,CalibrationSlope,ECE,MCE,Reliability,Resolution,Uncertainty
separate_gender,rich,lgb_classifier,LightGBM classifier,ALL,6,649,5,0.1662481747806984,0.16621864380201531,0.01711172351089996,0.18541377994602307,0.49929011131420237,0.8365170570216327,0.8137103234211894,0.81294956882268,0.7565485362095532,0.7572822922810556,0.7325227963525835,0.77491961414791,0.753125,0.5141685380441722,0.5,250,88,70,241,0.47919876733436056,0.5069337442218799,-0.16867504668790909,0.9534836228681096,0.048177657919651284,0.09882524828646488,0.0031673887103375793,0.08629992611666558,0.24956730871958996
pooled_common,rich,xgb_classifier,XGBoost classifier,ALL,5,649,5,0.16644607751233997,0.1664129791615686,0.01774079650109964,0.18792690716295346,0.4963905384394837,0.8361079929222399,0.826544014628362,0.8261829825644686,0.7380585516178737,0.739659240092087,0.7055393586005831,0.7781350482315113,0.7400611620795107,0.4796836822259053,0.5,237,101,69,242,0.47919876733436056,0.5285053929121726,-0.2060837528387136,0.969400773059981,0.044377621027923704,0.10373124457322636,0.002856967183201983,0.08401675757581845,0.24956730871958996
pooled_common,rich,lgb_classifier,LightGBM classifier,ALL,6,649,5,0.16689716669090363,0.16686369332446516,0.01867470815500977,0.18862138150946972,0.4988798326049497,0.8347000513708404,0.8160998611593148,0.8156085203774325,0.7457627118644068,0.7471841168972012,0.7147058823529412,0.7813504823151125,0.7465437788018433,0.49450467678535664,0.5,241,97,68,243,0.47919876733436056,0.5238828967642527,-0.18792444782811993,0.8967233682721195,0.042559070358554545,0.0996012281824794,0.0027455201237793613,0.08577093560118292,0.24956730871958996
pooled_common,rich,constrained_ensemble,Constrained ensemble,ALL,20,649,5,0.16757076446835031,0.16754065359926637,0.01861768474860288,0.18711271850383665,0.49941599295212386,0.8338724100534637,0.8214776648392783,0.8210912519705474,0.7426810477657936,0.7443539641165167,0.7093023255813954,0.7845659163987139,0.7450381679389313,0.48916884398140714,0.5,238,100,67,244,0.47919876733436056,0.5300462249614792,-0.17990370964622895,0.9048310047946884,0.039865798595415204,0.10403237549531108,0.0028685341515576153,0.08365562506426222,0.24956730871958996
separate_gender,rich,xgb_classifier,XGBoost classifier,ALL,5,649,5,0.1677549315465789,0.16772216359698602,0.02076003640431732,0.18902133083235803,0.501118755336699,0.8341482904925893,0.8187221840309971,0.8183045855916677,0.7503852080123267,0.7516219867196865,0.7210682492581603,0.7813504823151125,0.75,0.5031817485274269,0.5,244,94,68,243,0.47919876733436056,0.5192604006163328,-0.18075707950385167,0.9351841258512693,0.05107342255070737,0.14820021448227072,0.004155838081127765,0.08601539453208251,0.24956730871958996
partial_pooling,rich,partial_pooling_ensemble,Partial-pooling ensemble,ALL,21,649,5,0.16818652904155623,0.16815637804041725,0.018213695739411576,0.1877545287807586,0.5010955990888862,0.8321790749443482,0.8159176920152313,0.8155110877334406,0.7395993836671803,0.7408816758309709,0.7100591715976331,0.7717041800643086,0.7395993836671803,0.48176335166194184,0.5,240,98,71,240,0.47919876733436056,0.5208012326656395,-0.15829005694452503,0.8854013244524818,0.03162780731334471,0.14413680332592282,0.0024779625910939726,0.0838700822172787,0.24956730871958996
pooled_common,rich,hist_classifier,Histogram boosting,ALL,4,649,5,0.16836647971783375,0.168339978181352,0.019490474988715627,0.1855659768944974,0.5086896777608764,0.8317509846077742,0.8090000775482541,0.8084617631188799,0.7473035439137135,0.7481496984341407,0.7220543806646526,0.7684887459807074,0.7445482866043613,0.49596923177485297,0.5,246,92,72,239,0.47919876733436056,0.5100154083204931,-0.17609786545311162,0.779233344018659,0.048304617330413774,0.08401844676899961,0.0032390167156185704,0.08271038386478373,0.24956730871958996
separate_gender,rich,elastic_logistic,Rich elastic-net logistic,ALL,3,649,5,0.16867078561995003,0.16863310772054682,0.018717048853059734,0.19312374233265,0.5003602441492871,0.8325215472136076,0.823351316573,0.8230005329486814,0.7473035439137135,0.7487918339390018,0.7155425219941349,0.7845659163987139,0.7484662576687117,0.49779681551729604,0.5,241,97,67,244,0.47919876733436056,0.5254237288135594,-0.20635865971899087,0.8894209399614637,0.04351149792722647,0.13054560766770285,0.003401919650341371,0.08367340389560037,0.24956730871958996
pooled_common,rich,elastic_logistic,Rich elastic-net logistic,ALL,3,649,5,0.16881682430067485,0.1687818110013403,0.018174585091595967,0.19154045556882762,0.5005812389928886,0.8320839437584429,0.8260477925979434,0.8257042666951386,0.736517719568567,0.7381799501512586,0.7034883720930233,0.7781350482315113,0.7389312977099237,0.4768091702391377,0.5,236,102,69,242,0.47919876733436056,0.5300462249614792,-0.21718140831661764,0.9388733760126009,0.047212741395520647,0.14689973867856543,0.004829631266715169,0.08541276622818303,0.24956730871958996
pooled_common,rich,xgb_margin,XGBoost margin,ALL,8,649,5,0.16965798814493732,0.16962732568058864,0.019323088090789375,0.18955792750723865,0.5059014821121816,0.8294773492646359,0.8171631159608042,0.8167740698393101,0.7534668721109399,0.7545805666013432,0.7253731343283583,0.7813504823151125,0.7523219814241486,0.5089868491600488,0.5,246,92,68,243,0.47919876733436056,0.5161787365177196,-0.12522705668881967,0.8284542607563966,0.040037564016477116,0.08946469437731697,0.0023571615419434146,0.08282705744544035,0.24956730871958996
