Architecture,Universe,Model,Gender,TournamentDayBand,Rows,Brier,ConfidentWrongRate,MeanConfidence
partial_pooling,rich,partial_pooling_ensemble,M,play_in,16,0.18743356314359694,0.0,0.5988623664962248
partial_pooling,rich,partial_pooling_ensemble,M,rounds_1_2,235,0.17137451241554694,0.03829787234042553,0.7511389909896197
partial_pooling,rich,partial_pooling_ensemble,M,rounds_3_4,64,0.23008017302591816,0.0625,0.6854873652821645
partial_pooling,rich,partial_pooling_ensemble,M,semifinal,14,0.15100833405388017,0.0,0.7216575051386341
partial_pooling,rich,partial_pooling_ensemble,M,final_or_other,5,0.2271314585762121,0.0,0.629078001471618
partial_pooling,rich,partial_pooling_ensemble,W,rounds_1_2,176,0.11049231310633675,0.005681818181818182,0.8154041031305019
partial_pooling,rich,partial_pooling_ensemble,W,rounds_3_4,112,0.19821805578308282,0.13392857142857142,0.8034977177581439
partial_pooling,rich,partial_pooling_ensemble,W,semifinal,20,0.2668891951278022,0.2,0.7550932253732316
partial_pooling,rich,partial_pooling_ensemble,W,final_or_other,7,0.12882623142985364,0.0,0.742091672278098
pooled_common,rich,constant_probability,M,play_in,16,0.25,0.0,0.5
pooled_common,rich,constant_probability,M,rounds_1_2,235,0.25,0.0,0.5
pooled_common,rich,constant_probability,M,rounds_3_4,64,0.25,0.0,0.5
pooled_common,rich,constant_probability,M,semifinal,14,0.25,0.0,0.5
pooled_common,rich,constant_probability,M,final_or_other,5,0.25,0.0,0.5
pooled_common,rich,constant_probability,W,rounds_1_2,176,0.25,0.0,0.5
pooled_common,rich,constant_probability,W,rounds_3_4,112,0.25,0.0,0.5
pooled_common,rich,constant_probability,W,semifinal,20,0.25,0.0,0.5
pooled_common,rich,constant_probability,W,final_or_other,7,0.25,0.0,0.5
pooled_common,rich,constrained_ensemble,M,play_in,16,0.20864957379993104,0.0,0.5818331708255975
pooled_common,rich,constrained_ensemble,M,rounds_1_2,235,0.17023288989699087,0.03829787234042553,0.7525118098892213
pooled_common,rich,constrained_ensemble,M,rounds_3_4,64,0.22926572449116556,0.046875,0.6953722754189454
pooled_common,rich,constrained_ensemble,M,semifinal,14,0.1401545178577834,0.0,0.7363797863533988
pooled_common,rich,constrained_ensemble,M,final_or_other,5,0.24728811218058375,0.0,0.6415546160372166
pooled_common,rich,constrained_ensemble,W,rounds_1_2,176,0.11267105988149141,0.005681818181818182,0.8077533936607644
pooled_common,rich,constrained_ensemble,W,rounds_3_4,112,0.19440281361452663,0.125,0.7966197891683586
pooled_common,rich,constrained_ensemble,W,semifinal,20,0.25486672231867763,0.2,0.7563800995645908
pooled_common,rich,constrained_ensemble,W,final_or_other,7,0.11694222723465715,0.0,0.7441511150592136
pooled_common,rich,elastic_logistic,M,play_in,16,0.19941946479576017,0.0,0.5987480413168669
pooled_common,rich,elastic_logistic,M,rounds_1_2,235,0.17644502079818333,0.05106382978723404,0.7641557558350502
pooled_common,rich,elastic_logistic,M,rounds_3_4,64,0.2322580938547377,0.046875,0.6930446656479035
pooled_common,rich,elastic_logistic,M,semifinal,14,0.1356707486862611,0.0,0.7505932692438364
