Gender,Architecture,Model,ValidationSeason,RowsExplained,SelectedFeatures,AttributionMethod,TopAttributionFeature,TopPermutationFeature,Status
M,separate_gender,elastic_logistic,2021,66,60,absolute_standardized_coefficient,diff__norm__rating__elo_mov_538__z,diff__norm__schedule__opponent_strength_mean__pct,complete
M,pooled_common,xgb_classifier,2021,66,120,xgboost_native_shap,diff__rating__margin_ridge_a5p0_z,diff__rating__margin_ridge_a5p0_percentile,complete
M,pooled_common,lgb_classifier,2021,66,120,lightgbm_native_shap,diff__rating__margin_ridge_a5p0_z,diff__rating__margin_ridge_a5p0_percentile,complete
M,separate_gender,torch_mlp,2021,66,72,pytorch_gradient_times_input,diff__compact__half_winpct_first,diff__compact__blowout_win20_rate,complete
M,pooled_common,tensorflow_mlp,2021,66,72,tensorflow_gradient_times_input,context__season_centered_2000,diff__compact__margin_q75,complete
W,pooled_common,elastic_logistic,2021,63,60,absolute_standardized_coefficient,diff__adj__off_rtg_a10p0,diff__norm__rating__elo_mov_538__z,complete
W,pooled_common,xgb_classifier,2021,63,120,xgboost_native_shap,diff__rating__margin_ridge_a5p0_z,diff__rating__margin_ridge_a5p0_z,complete
W,separate_gender,lgb_classifier,2021,63,78,lightgbm_native_shap,diff__rating__margin_ridge_a5p0_z,diff__rating__margin_ridge_a5p0_z,complete
W,separate_gender,torch_mlp,2021,63,52,pytorch_gradient_times_input,context__season_centered_2000,diff__norm__conference__strength_mean__pct,complete
W,separate_gender,tensorflow_mlp,2021,63,52,tensorflow_gradient_times_input,diff__compact__rest_days_mean,diff__norm__schedule__opponent_strength_mean__pct,complete
