Architecture,Universe,Model,Gender,min,median,max
pooled_common,rich,constant_probability,M,0.0,0.0,0.0
pooled_common,rich,constant_probability,W,0.0,0.0,0.0
pooled_common,rich,elastic_logistic,M,60.0,60.0,60.0
pooled_common,rich,elastic_logistic,W,60.0,60.0,60.0
pooled_common,rich,elo_seed_logistic,M,19.0,19.0,19.0
pooled_common,rich,elo_seed_logistic,W,19.0,19.0,19.0
pooled_common,rich,hist_classifier,M,120.0,120.0,120.0
pooled_common,rich,hist_classifier,W,120.0,120.0,120.0
pooled_common,rich,lgb_classifier,M,120.0,120.0,120.0
pooled_common,rich,lgb_classifier,W,120.0,120.0,120.0
pooled_common,rich,lgb_margin,M,100.0,100.0,100.0
pooled_common,rich,lgb_margin,W,100.0,100.0,100.0
pooled_common,rich,ridge_margin,M,100.0,100.0,100.0
pooled_common,rich,ridge_margin,W,100.0,100.0,100.0
pooled_common,rich,seed_logistic,M,7.0,7.0,7.0
pooled_common,rich,seed_logistic,W,7.0,7.0,7.0
pooled_common,rich,tensorflow_mlp,M,72.0,72.0,72.0
pooled_common,rich,tensorflow_mlp,W,72.0,72.0,72.0
pooled_common,rich,torch_mlp,M,72.0,72.0,72.0
pooled_common,rich,torch_mlp,W,72.0,72.0,72.0
pooled_common,rich,xgb_classifier,M,120.0,120.0,120.0
pooled_common,rich,xgb_classifier,W,120.0,120.0,120.0
pooled_common,rich,xgb_margin,M,100.0,100.0,100.0
pooled_common,rich,xgb_margin,W,100.0,100.0,100.0
separate_gender,rich,constant_probability,M,0.0,0.0,0.0
separate_gender,rich,constant_probability,W,0.0,0.0,0.0
separate_gender,rich,elastic_logistic,M,60.0,60.0,60.0
separate_gender,rich,elastic_logistic,W,27.0,36.0,45.0
separate_gender,rich,elo_seed_logistic,M,18.0,18.0,18.0
separate_gender,rich,elo_seed_logistic,W,18.0,18.0,18.0
separate_gender,rich,hist_classifier,M,105.0,120.0,120.0
separate_gender,rich,hist_classifier,W,47.0,63.0,78.0
separate_gender,rich,lgb_classifier,M,105.0,120.0,120.0
separate_gender,rich,lgb_classifier,W,47.0,63.0,78.0
separate_gender,rich,lgb_margin,M,94.0,100.0,100.0
separate_gender,rich,lgb_margin,W,42.0,56.0,70.0
separate_gender,rich,ridge_margin,M,94.0,100.0,100.0
separate_gender,rich,ridge_margin,W,42.0,56.0,70.0
separate_gender,rich,seed_logistic,M,6.0,6.0,6.0
separate_gender,rich,seed_logistic,W,6.0,6.0,6.0
separate_gender,rich,tensorflow_mlp,M,70.0,72.0,72.0
separate_gender,rich,tensorflow_mlp,W,31.0,42.0,52.0
separate_gender,rich,torch_mlp,M,70.0,72.0,72.0
separate_gender,rich,torch_mlp,W,31.0,42.0,52.0
separate_gender,rich,xgb_classifier,M,105.0,120.0,120.0
separate_gender,rich,xgb_classifier,W,47.0,63.0,78.0
separate_gender,rich,xgb_margin,M,94.0,100.0,100.0
separate_gender,rich,xgb_margin,W,42.0,56.0,70.0
