Model,Gender,Architecture,Universe,PreviousFold,CurrentFold,Jaccard,PreviousFeatures,CurrentFeatures
elastic_logistic,M,separate_gender,rich,rich_M_2016,rich_M_2017,0.9545454545454546,63,66
elastic_logistic,M,separate_gender,rich,rich_M_2017,rich_M_2018,0.9565217391304348,66,69
elastic_logistic,M,separate_gender,rich,rich_M_2018,rich_M_2019,0.9857142857142858,69,70
elastic_logistic,M,separate_gender,rich,rich_M_2019,rich_M_2021,0.9859154929577465,70,71
elastic_logistic,Pooled,pooled_common,rich,rich_Pooled_2016,rich_Pooled_2017,1.0,67,67
elastic_logistic,Pooled,pooled_common,rich,rich_Pooled_2017,rich_Pooled_2018,0.9850746268656716,67,66
elastic_logistic,Pooled,pooled_common,rich,rich_Pooled_2018,rich_Pooled_2019,0.9552238805970149,66,65
elastic_logistic,Pooled,pooled_common,rich,rich_Pooled_2019,rich_Pooled_2021,1.0,65,65
elastic_logistic,W,separate_gender,rich,rich_W_2016,rich_W_2017,0.8787878787878788,29,33
elastic_logistic,W,separate_gender,rich,rich_W_2017,rich_W_2018,0.7804878048780488,33,40
elastic_logistic,W,separate_gender,rich,rich_W_2018,rich_W_2019,0.9090909090909091,40,44
elastic_logistic,W,separate_gender,rich,rich_W_2019,rich_W_2021,0.9166666666666666,44,48
elo_seed_logistic,M,separate_gender,rich,rich_M_2016,rich_M_2017,1.0,18,18
elo_seed_logistic,M,separate_gender,rich,rich_M_2017,rich_M_2018,1.0,18,18
elo_seed_logistic,M,separate_gender,rich,rich_M_2018,rich_M_2019,1.0,18,18
elo_seed_logistic,M,separate_gender,rich,rich_M_2019,rich_M_2021,1.0,18,18
elo_seed_logistic,Pooled,pooled_common,rich,rich_Pooled_2016,rich_Pooled_2017,1.0,19,19
elo_seed_logistic,Pooled,pooled_common,rich,rich_Pooled_2017,rich_Pooled_2018,1.0,19,19
elo_seed_logistic,Pooled,pooled_common,rich,rich_Pooled_2018,rich_Pooled_2019,1.0,19,19
elo_seed_logistic,Pooled,pooled_common,rich,rich_Pooled_2019,rich_Pooled_2021,1.0,19,19
elo_seed_logistic,W,separate_gender,rich,rich_W_2016,rich_W_2017,1.0,18,18
elo_seed_logistic,W,separate_gender,rich,rich_W_2017,rich_W_2018,1.0,18,18
elo_seed_logistic,W,separate_gender,rich,rich_W_2018,rich_W_2019,1.0,18,18
elo_seed_logistic,W,separate_gender,rich,rich_W_2019,rich_W_2021,1.0,18,18
hist_classifier,M,separate_gender,rich,rich_M_2016,rich_M_2017,0.8992248062015504,118,127
hist_classifier,M,separate_gender,rich,rich_M_2017,rich_M_2018,0.8978102189781022,127,133
hist_classifier,M,separate_gender,rich,rich_M_2018,rich_M_2019,0.9705882352941176,133,135
hist_classifier,M,separate_gender,rich,rich_M_2019,rich_M_2021,0.9712230215827338,135,139
hist_classifier,Pooled,pooled_common,rich,rich_Pooled_2016,rich_Pooled_2017,0.9565217391304348,135,135
hist_classifier,Pooled,pooled_common,rich,rich_Pooled_2017,rich_Pooled_2018,0.9705882352941176,135,133
hist_classifier,Pooled,pooled_common,rich,rich_Pooled_2018,rich_Pooled_2019,0.9703703703703703,133,133
hist_classifier,Pooled,pooled_common,rich,rich_Pooled_2019,rich_Pooled_2021,0.9632352941176471,133,134
hist_classifier,W,separate_gender,rich,rich_W_2016,rich_W_2017,0.8620689655172413,50,58
hist_classifier,W,separate_gender,rich,rich_W_2017,rich_W_2018,0.8260869565217391,58,68
hist_classifier,W,separate_gender,rich,rich_W_2018,rich_W_2019,0.8947368421052632,68,76
hist_classifier,W,separate_gender,rich,rich_W_2019,rich_W_2021,0.8823529411764706,76,84
lgb_classifier,M,separate_gender,rich,rich_M_2016,rich_M_2017,0.8992248062015504,118,127
lgb_classifier,M,separate_gender,rich,rich_M_2017,rich_M_2018,0.8978102189781022,127,133
lgb_classifier,M,separate_gender,rich,rich_M_2018,rich_M_2019,0.9705882352941176,133,135
lgb_classifier,M,separate_gender,rich,rich_M_2019,rich_M_2021,0.9712230215827338,135,139
lgb_classifier,Pooled,pooled_common,rich,rich_Pooled_2016,rich_Pooled_2017,0.9565217391304348,135,135
lgb_classifier,Pooled,pooled_common,rich,rich_Pooled_2017,rich_Pooled_2018,0.9705882352941176,135,133
lgb_classifier,Pooled,pooled_common,rich,rich_Pooled_2018,rich_Pooled_2019,0.9703703703703703,133,133
lgb_classifier,Pooled,pooled_common,rich,rich_Pooled_2019,rich_Pooled_2021,0.9632352941176471,133,134
lgb_classifier,W,separate_gender,rich,rich_W_2016,rich_W_2017,0.8620689655172413,50,58
lgb_classifier,W,separate_gender,rich,rich_W_2017,rich_W_2018,0.8260869565217391,58,68
lgb_classifier,W,separate_gender,rich,rich_W_2018,rich_W_2019,0.8947368421052632,68,76
lgb_classifier,W,separate_gender,rich,rich_W_2019,rich_W_2021,0.8823529411764706,76,84
lgb_margin,M,separate_gender,rich,rich_M_2016,rich_M_2017,0.963963963963964,108,110
lgb_margin,M,separate_gender,rich,rich_M_2017,rich_M_2018,0.972972972972973,110,109
lgb_margin,M,separate_gender,rich,rich_M_2018,rich_M_2019,0.972972972972973,109,110
lgb_margin,M,separate_gender,rich,rich_M_2019,rich_M_2021,0.9380530973451328,110,109
lgb_margin,Pooled,pooled_common,rich,rich_Pooled_2016,rich_Pooled_2017,0.9572649572649573,114,115
lgb_margin,Pooled,pooled_common,rich,rich_Pooled_2017,rich_Pooled_2018,0.9739130434782609,115,112
lgb_margin,Pooled,pooled_common,rich,rich_Pooled_2018,rich_Pooled_2019,0.9385964912280702,112,109
lgb_margin,Pooled,pooled_common,rich,rich_Pooled_2019,rich_Pooled_2021,0.9818181818181818,109,109
lgb_margin,W,separate_gender,rich,rich_W_2016,rich_W_2017,0.8113207547169812,45,51
lgb_margin,W,separate_gender,rich,rich_W_2017,rich_W_2018,0.864406779661017,51,59
lgb_margin,W,separate_gender,rich,rich_W_2018,rich_W_2019,0.8805970149253731,59,67
lgb_margin,W,separate_gender,rich,rich_W_2019,rich_W_2021,0.88,67,74
ridge_margin,M,separate_gender,rich,rich_M_2016,rich_M_2017,0.963963963963964,108,110
ridge_margin,M,separate_gender,rich,rich_M_2017,rich_M_2018,0.972972972972973,110,109
ridge_margin,M,separate_gender,rich,rich_M_2018,rich_M_2019,0.972972972972973,109,110
ridge_margin,M,separate_gender,rich,rich_M_2019,rich_M_2021,0.9380530973451328,110,109
ridge_margin,Pooled,pooled_common,rich,rich_Pooled_2016,rich_Pooled_2017,0.9572649572649573,114,115
ridge_margin,Pooled,pooled_common,rich,rich_Pooled_2017,rich_Pooled_2018,0.9739130434782609,115,112
ridge_margin,Pooled,pooled_common,rich,rich_Pooled_2018,rich_Pooled_2019,0.9385964912280702,112,109
ridge_margin,Pooled,pooled_common,rich,rich_Pooled_2019,rich_Pooled_2021,0.9818181818181818,109,109
ridge_margin,W,separate_gender,rich,rich_W_2016,rich_W_2017,0.8113207547169812,45,51
ridge_margin,W,separate_gender,rich,rich_W_2017,rich_W_2018,0.864406779661017,51,59
ridge_margin,W,separate_gender,rich,rich_W_2018,rich_W_2019,0.8805970149253731,59,67
ridge_margin,W,separate_gender,rich,rich_W_2019,rich_W_2021,0.88,67,74
seed_logistic,M,separate_gender,rich,rich_M_2016,rich_M_2017,1.0,6,6
seed_logistic,M,separate_gender,rich,rich_M_2017,rich_M_2018,1.0,6,6
seed_logistic,M,separate_gender,rich,rich_M_2018,rich_M_2019,1.0,6,6
seed_logistic,M,separate_gender,rich,rich_M_2019,rich_M_2021,1.0,6,6
seed_logistic,Pooled,pooled_common,rich,rich_Pooled_2016,rich_Pooled_2017,1.0,7,7
seed_logistic,Pooled,pooled_common,rich,rich_Pooled_2017,rich_Pooled_2018,1.0,7,7
seed_logistic,Pooled,pooled_common,rich,rich_Pooled_2018,rich_Pooled_2019,1.0,7,7
seed_logistic,Pooled,pooled_common,rich,rich_Pooled_2019,rich_Pooled_2021,1.0,7,7
seed_logistic,W,separate_gender,rich,rich_W_2016,rich_W_2017,1.0,6,6
seed_logistic,W,separate_gender,rich,rich_W_2017,rich_W_2018,1.0,6,6
seed_logistic,W,separate_gender,rich,rich_W_2018,rich_W_2019,1.0,6,6
seed_logistic,W,separate_gender,rich,rich_W_2019,rich_W_2021,1.0,6,6
tensorflow_mlp,M,separate_gender,rich,rich_M_2016,rich_M_2017,0.8928571428571429,76,83
tensorflow_mlp,M,separate_gender,rich,rich_M_2017,rich_M_2018,0.9204545454545454,83,86
tensorflow_mlp,M,separate_gender,rich,rich_M_2018,rich_M_2019,0.9885057471264368,86,87
tensorflow_mlp,M,separate_gender,rich,rich_M_2019,rich_M_2021,0.9775280898876404,87,89
tensorflow_mlp,Pooled,pooled_common,rich,rich_Pooled_2016,rich_Pooled_2017,0.963855421686747,82,81
tensorflow_mlp,Pooled,pooled_common,rich,rich_Pooled_2017,rich_Pooled_2018,0.9634146341463414,81,80
tensorflow_mlp,Pooled,pooled_common,rich,rich_Pooled_2018,rich_Pooled_2019,0.9629629629629629,80,79
tensorflow_mlp,Pooled,pooled_common,rich,rich_Pooled_2019,rich_Pooled_2021,1.0,79,79
tensorflow_mlp,W,separate_gender,rich,rich_W_2016,rich_W_2017,0.868421052631579,33,38
tensorflow_mlp,W,separate_gender,rich,rich_W_2017,rich_W_2018,0.8043478260869565,38,45
tensorflow_mlp,W,separate_gender,rich,rich_W_2018,rich_W_2019,0.9,45,50
tensorflow_mlp,W,separate_gender,rich,rich_W_2019,rich_W_2021,0.9090909090909091,50,55
torch_mlp,M,separate_gender,rich,rich_M_2016,rich_M_2017,0.8928571428571429,76,83
torch_mlp,M,separate_gender,rich,rich_M_2017,rich_M_2018,0.9204545454545454,83,86
torch_mlp,M,separate_gender,rich,rich_M_2018,rich_M_2019,0.9885057471264368,86,87
torch_mlp,M,separate_gender,rich,rich_M_2019,rich_M_2021,0.9775280898876404,87,89
torch_mlp,Pooled,pooled_common,rich,rich_Pooled_2016,rich_Pooled_2017,0.963855421686747,82,81
torch_mlp,Pooled,pooled_common,rich,rich_Pooled_2017,rich_Pooled_2018,0.9634146341463414,81,80
torch_mlp,Pooled,pooled_common,rich,rich_Pooled_2018,rich_Pooled_2019,0.9629629629629629,80,79
torch_mlp,Pooled,pooled_common,rich,rich_Pooled_2019,rich_Pooled_2021,1.0,79,79
torch_mlp,W,separate_gender,rich,rich_W_2016,rich_W_2017,0.868421052631579,33,38
torch_mlp,W,separate_gender,rich,rich_W_2017,rich_W_2018,0.8043478260869565,38,45
torch_mlp,W,separate_gender,rich,rich_W_2018,rich_W_2019,0.9,45,50
torch_mlp,W,separate_gender,rich,rich_W_2019,rich_W_2021,0.9090909090909091,50,55
xgb_classifier,M,separate_gender,rich,rich_M_2016,rich_M_2017,0.8992248062015504,118,127
xgb_classifier,M,separate_gender,rich,rich_M_2017,rich_M_2018,0.8978102189781022,127,133
xgb_classifier,M,separate_gender,rich,rich_M_2018,rich_M_2019,0.9705882352941176,133,135
xgb_classifier,M,separate_gender,rich,rich_M_2019,rich_M_2021,0.9712230215827338,135,139
xgb_classifier,Pooled,pooled_common,rich,rich_Pooled_2016,rich_Pooled_2017,0.9565217391304348,135,135
xgb_classifier,Pooled,pooled_common,rich,rich_Pooled_2017,rich_Pooled_2018,0.9705882352941176,135,133
xgb_classifier,Pooled,pooled_common,rich,rich_Pooled_2018,rich_Pooled_2019,0.9703703703703703,133,133
xgb_classifier,Pooled,pooled_common,rich,rich_Pooled_2019,rich_Pooled_2021,0.9632352941176471,133,134
xgb_classifier,W,separate_gender,rich,rich_W_2016,rich_W_2017,0.8620689655172413,50,58
xgb_classifier,W,separate_gender,rich,rich_W_2017,rich_W_2018,0.8260869565217391,58,68
xgb_classifier,W,separate_gender,rich,rich_W_2018,rich_W_2019,0.8947368421052632,68,76
xgb_classifier,W,separate_gender,rich,rich_W_2019,rich_W_2021,0.8823529411764706,76,84
xgb_margin,M,separate_gender,rich,rich_M_2016,rich_M_2017,0.963963963963964,108,110
xgb_margin,M,separate_gender,rich,rich_M_2017,rich_M_2018,0.972972972972973,110,109
xgb_margin,M,separate_gender,rich,rich_M_2018,rich_M_2019,0.972972972972973,109,110
xgb_margin,M,separate_gender,rich,rich_M_2019,rich_M_2021,0.9380530973451328,110,109
xgb_margin,Pooled,pooled_common,rich,rich_Pooled_2016,rich_Pooled_2017,0.9572649572649573,114,115
xgb_margin,Pooled,pooled_common,rich,rich_Pooled_2017,rich_Pooled_2018,0.9739130434782609,115,112
xgb_margin,Pooled,pooled_common,rich,rich_Pooled_2018,rich_Pooled_2019,0.9385964912280702,112,109
xgb_margin,Pooled,pooled_common,rich,rich_Pooled_2019,rich_Pooled_2021,0.9818181818181818,109,109
xgb_margin,W,separate_gender,rich,rich_W_2016,rich_W_2017,0.8113207547169812,45,51
xgb_margin,W,separate_gender,rich,rich_W_2017,rich_W_2018,0.864406779661017,51,59
xgb_margin,W,separate_gender,rich,rich_W_2018,rich_W_2019,0.8805970149253731,59,67
xgb_margin,W,separate_gender,rich,rich_W_2019,rich_W_2021,0.88,67,74
