Gender,Architecture,Model,ModelDisplay,ValidationSeason,Feature,Block,BaselineBrier,PermutedBrierMean,PermutedBrierStd,BrierIncrease,Repeats
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.2164630310653366,0.23256364251757483,0.0058549132763433065,0.016100611452238234,5
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__compact__blowout_win20_rate,compact_performance,0.2164630310653366,0.22890988666262313,0.003497607143691699,0.012446855597286532,5
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__compact__margin_slope,compact_performance,0.2164630310653366,0.22453993887966833,0.00612761005583463,0.008076907814331735,5
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__norm__rating__elo_mov_538__z,within_season_normalization,0.2164630310653366,0.22194537258325903,0.008453116627876503,0.005482341517922429,5
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__compact__wins,compact_performance,0.2164630310653366,0.221147899120795,0.005247426570978414,0.004684868055458397,5
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__compact__half_winpct_first,compact_performance,0.2164630310653366,0.21928768257549947,0.0022603834947159556,0.0028246515101628678,5
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__compact__margin_q75,compact_performance,0.2164630310653366,0.21865431143328967,0.0007666779144685689,0.0021912803679530746,5
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__compact__half_marginmean_first,compact_performance,0.2164630310653366,0.21854616856730574,0.001318702453631231,0.0020831375019691456,5
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__massey__system_mor,massey_consensus,0.2164630310653366,0.21793132677953678,0.0020237413826681666,0.0014682957142001796,5
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__compact__margin_q25,compact_performance,0.2164630310653366,0.21766316780090325,0.0013731877801549787,0.0012001367355666537,5
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,matchup__team1_is_seed_favorite,matchup_context,0.2164630310653366,0.21673188730579582,0.000783067300978745,0.00026885624045921985,5
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__compact__blowout_win10_rate,compact_performance,0.2164630310653366,0.21657484215756106,0.0003413270959720928,0.0001118110922244675,5
