TargetKey,Gender,Season,Team1ID,Team2ID,Team1Win,Team1Margin,OuterFoldID,InnerFoldID,Architecture,Universe,Model,RawPrediction,FeatureCount,BestIteration,Prediction,CalibrationMethod,DayNum,Team1ID_source,Team2ID_source,matchup__seed_gap_abs,matchup__seed_diff,SquaredError,Confidence,WrongAtHalf,ConfidentWrong,SeedGapBand,TournamentDayBand
W_2016_140_3268_3449,W,2016,3268,3449,0,-9,rich_W_2016,,separate_gender,rich,torch_mlp,0.9999198084115051,31.0,52.0,0.9999198084115051,identity,140,3268,3449,5.0,-5.0,0.999839623253701,0.9999198084115051,True,True,3-5,rounds_3_4
W_2016_147_3124_3333,W,2016,3124,3333,0,-3,rich_W_2016,,separate_gender,rich,torch_mlp,0.9992093868058873,31.0,52.0,0.9992093868058873,identity,147,3124,3333,1.0,-1.0,0.9984193986809974,0.9992093868058873,True,True,1-2,semifinal
M_2018_137_1420_1438,M,2018,1420,1438,1,20,rich_Pooled_2018,,pooled_common,rich,xgb_margin,-27.174519538879395,100.0,343.0,0.006821607206017842,raw_platt,137,1420,1438,15.0,15.0,0.9864033199128375,0.9931783927939821,True,True,13+,rounds_1_2
W_2016_140_3268_3449,W,2016,3268,3449,0,-9,rich_W_2016,,separate_gender,rich,hist_classifier,0.9931467715731883,47.0,300.0,0.9931467715731883,identity,140,3268,3449,5.0,-5.0,0.9863405098862467,0.9931467715731883,True,True,3-5,rounds_3_4
M_2018_137_1420_1438,M,2018,1420,1438,1,20,rich_Pooled_2018,,pooled_common,rich,lgb_margin,-27.437106869513872,100.0,307.0,0.0070236660971844285,raw_platt,137,1420,1438,15.0,15.0,0.9860019996910759,0.9929763339028156,True,True,13+,rounds_1_2
M_2018_137_1420_1438,M,2018,1420,1438,1,20,rich_M_2018,,separate_gender,rich,xgb_margin,-25.102691650390625,100.0,257.0,0.008317571555823211,raw_platt,137,1420,1438,15.0,15.0,0.9834340388849397,0.9916824284441768,True,True,13+,rounds_1_2
W_2016_140_3268_3449,W,2016,3268,3449,0,-9,rich_Pooled_2016,,pooled_common,rich,torch_mlp,0.9916638117283583,72.0,10.0,0.9916638117283583,identity,140,3268,3449,5.0,-5.0,0.9833971154916168,0.9916638117283583,True,True,3-5,rounds_3_4
M_2018_137_1420_1438,M,2018,1420,1438,1,20,rich_M_2018,,separate_gender,rich,ridge_margin,-23.979633331298828,100.0,,0.008620450482069981,raw_platt,137,1420,1438,15.0,15.0,0.9828334112023739,0.9913795495179301,True,True,13+,rounds_1_2
M_2018_137_1420_1438,M,2018,1420,1438,1,20,rich_Pooled_2018,,pooled_common,rich,torch_mlp,0.009641127893701196,72.0,10.0,0.009641127893701196,identity,137,1420,1438,15.0,15.0,0.9808106955596603,0.9903588721062988,True,True,13+,rounds_1_2
M_2016_137_1277_1292,M,2016,1277,1292,0,-9,rich_Pooled_2016,,pooled_common,rich,hist_classifier,0.9899716909716119,120.0,300.0,0.9899716909716119,identity,137,1277,1292,13.0,-13.0,0.9800439489251925,0.9899716909716119,True,True,13+,rounds_1_2
M_2018_137_1420_1438,M,2018,1420,1438,1,20,rich_Pooled_2018,,pooled_common,rich,ridge_margin,-25.044893264770508,100.0,,0.010384776153678948,raw_platt,137,1420,1438,15.0,15.0,0.9793382912684041,0.9896152238463211,True,True,13+,rounds_1_2
M_2018_137_1420_1438,M,2018,1420,1438,1,20,rich_M_2018,,separate_gender,rich,lgb_margin,-24.774801980014608,100.0,275.0,0.010798152617553137,raw_platt,137,1420,1438,15.0,15.0,0.9785202948648457,0.9892018473824469,True,True,13+,rounds_1_2
W_2016_140_3268_3449,W,2016,3268,3449,0,-9,rich_W_2016,,separate_gender,rich,tensorflow_mlp,0.9891752460971475,31.0,25.0,0.9891752460971475,identity,140,3268,3449,5.0,-5.0,0.9784676674913523,0.9891752460971475,True,True,3-5,rounds_3_4
W_2016_140_3268_3449,W,2016,3268,3449,0,-9,rich_Pooled_2016,,pooled_common,rich,hist_classifier,0.987288816472787,120.0,300.0,0.987288816472787,identity,140,3268,3449,5.0,-5.0,0.9747392071322365,0.987288816472787,True,True,3-5,rounds_3_4
M_2018_137_1420_1438,M,2018,1420,1438,1,20,rich_Pooled_2018,,pooled_common,rich,elastic_logistic,0.013838767539709806,60.0,,0.013838767539709806,identity,137,1420,1438,15.0,15.0,0.9725139764075985,0.9861612324602902,True,True,13+,rounds_1_2
W_2018_151_3163_3323,W,2018,3163,3323,0,-2,rich_Pooled_2018,,pooled_common,rich,torch_mlp,0.9859019434079528,72.0,10.0,0.9859019434079528,identity,151,3163,3323,0.0,0.0,0.9720026420155782,0.9859019434079528,True,True,0,semifinal
W_2016_140_3268_3449,W,2016,3268,3449,0,-9,rich_Pooled_2016,,pooled_common,rich,tensorflow_mlp,0.9853500369936228,72.0,10.0,0.9853500369936228,identity,140,3268,3449,5.0,-5.0,0.9709146954033337,0.9853500369936228,True,True,3-5,rounds_3_4
M_2016_137_1277_1292,M,2016,1277,1292,0,-9,rich_M_2016,,separate_gender,rich,hist_classifier,0.9850864729850048,105.0,300.0,0.9850864729850048,identity,137,1277,1292,13.0,-13.0,0.9703953592580367,0.9850864729850048,True,True,13+,rounds_1_2
