Gender,Architecture,Universe,Model,Block,UniqueFeatures,MedianSignConsistency,MeanAbsoluteCoefficient
M,separate_gender,rich,elastic_logistic,compact_performance,20,0.225,0.043597090384185605
M,separate_gender,rich,elastic_logistic,massey_consensus,15,0.0,0.01852310213881233
M,separate_gender,rich,elastic_logistic,matchup_context,7,0.2,0.00581058251804538
M,separate_gender,rich,elastic_logistic,opponent_adjusted_efficiency,15,0.0,0.00572841068108876
M,separate_gender,rich,elastic_logistic,within_season_normalization,14,0.7333333333333334,0.07644454375951593
M,separate_gender,rich,elo_seed_logistic,dynamic_ratings,10,1.0,0.001108154149551356
M,separate_gender,rich,elo_seed_logistic,matchup_context,3,1.0,0.4773188898495088
M,separate_gender,rich,elo_seed_logistic,prequential_seed_priors,3,0.8,0.006070496636918172
M,separate_gender,rich,elo_seed_logistic,within_season_normalization,2,0.8,0.00150098543963389
M,separate_gender,rich,ridge_margin,compact_performance,27,1.0,0.3856958606360871
M,separate_gender,rich,ridge_margin,dynamic_ratings,16,1.0,0.3385533904591386
M,separate_gender,rich,ridge_margin,global_strength_ratings,5,1.0,0.5895619049668313
M,separate_gender,rich,ridge_margin,massey_consensus,14,1.0,0.5883604578008609
M,separate_gender,rich,ridge_margin,matchup_context,7,0.6,0.04807820847408944
M,separate_gender,rich,ridge_margin,opponent_adjusted_efficiency,16,0.9,0.0965409101615082
M,separate_gender,rich,ridge_margin,schedule_and_accomplishment,15,1.0,0.4994965699050509
M,separate_gender,rich,ridge_margin,within_season_normalization,13,1.0,0.45688060934010605
M,separate_gender,rich,seed_logistic,matchup_context,3,1.0,0.47697602771222586
M,separate_gender,rich,seed_logistic,prequential_seed_priors,3,1.0,0.006373118119275464
Pooled,pooled_common,rich,elastic_logistic,compact_performance,24,0.4,0.04085399101992757
Pooled,pooled_common,rich,elastic_logistic,global_strength_ratings,1,1.0,0.24867302924394602
Pooled,pooled_common,rich,elastic_logistic,matchup_context,8,0.2,0.00801298571750521
Pooled,pooled_common,rich,elastic_logistic,opponent_adjusted_efficiency,18,0.0,0.04914139391923392
Pooled,pooled_common,rich,elastic_logistic,within_season_normalization,14,0.5,0.08561449356465821
Pooled,pooled_common,rich,elo_seed_logistic,dynamic_ratings,10,0.9,0.0008195627050735753
Pooled,pooled_common,rich,elo_seed_logistic,matchup_context,4,1.0,0.3786782221934118
Pooled,pooled_common,rich,elo_seed_logistic,prequential_seed_priors,3,1.0,0.004188510759801481
Pooled,pooled_common,rich,elo_seed_logistic,within_season_normalization,2,1.0,0.00146201170864509
Pooled,pooled_common,rich,ridge_margin,compact_performance,24,1.0,0.5385039362862395
Pooled,pooled_common,rich,ridge_margin,dynamic_ratings,12,1.0,0.3747720653582847
Pooled,pooled_common,rich,ridge_margin,global_strength_ratings,7,1.0,0.6914417052907603
Pooled,pooled_common,rich,ridge_margin,matchup_context,8,1.0,0.06686107872446878
Pooled,pooled_common,rich,ridge_margin,opponent_adjusted_efficiency,14,1.0,0.40647583151933625
Pooled,pooled_common,rich,ridge_margin,prequential_seed_priors,8,1.0,0.0023275351518122723
Pooled,pooled_common,rich,ridge_margin,schedule_and_accomplishment,23,1.0,0.4286969178559832
Pooled,pooled_common,rich,ridge_margin,within_season_normalization,14,1.0,0.5100702915872846
Pooled,pooled_common,rich,seed_logistic,matchup_context,4,1.0,0.3795514897879911
Pooled,pooled_common,rich,seed_logistic,prequential_seed_priors,3,1.0,0.0024193947947423644
W,separate_gender,rich,elastic_logistic,compact_performance,17,0.0,0.04695309437263536
W,separate_gender,rich,elastic_logistic,matchup_context,7,0.0,0.0027075273650033114
W,separate_gender,rich,elastic_logistic,opponent_adjusted_efficiency,12,0.1,0.17442968189716337
W,separate_gender,rich,elastic_logistic,within_season_normalization,12,0.26666666666666666,0.10118300825253956
W,separate_gender,rich,elo_seed_logistic,dynamic_ratings,10,0.9,0.0014010038656897023
W,separate_gender,rich,elo_seed_logistic,matchup_context,3,1.0,0.6304203505627811
W,separate_gender,rich,elo_seed_logistic,prequential_seed_priors,3,1.0,0.00476125143322856
W,separate_gender,rich,elo_seed_logistic,within_season_normalization,2,0.8,0.0019792266146396002
W,separate_gender,rich,ridge_margin,compact_performance,24,1.0,0.665153710792462
W,separate_gender,rich,ridge_margin,dynamic_ratings,10,1.0,0.2685119450172351
W,separate_gender,rich,ridge_margin,global_strength_ratings,5,1.0,0.890086052318414
W,separate_gender,rich,ridge_margin,matchup_context,7,1.0,0.1691053012638024
W,separate_gender,rich,ridge_margin,opponent_adjusted_efficiency,15,1.0,0.7261953571362352
W,separate_gender,rich,ridge_margin,schedule_and_accomplishment,2,1.0,1.5876129046082497
W,separate_gender,rich,ridge_margin,within_season_normalization,12,1.0,0.7451914989492959
W,separate_gender,rich,seed_logistic,matchup_context,3,1.0,0.6324977422133088
W,separate_gender,rich,seed_logistic,prequential_seed_priors,3,0.8,0.00351588988172195
