Gender,Architecture,Universe,Model,Feature,Block,OuterFolds,MeanCoefficient,MedianCoefficient,MeanAbsoluteCoefficient,CoefficientStd,PositiveRate,NegativeRate,SignConsistency
M,separate_gender,rich,elastic_logistic,diff__norm__rating__elo_mov_538__z,within_season_normalization,5,0.34437314569950106,0.3031393587589264,0.34437314569950106,0.14887375477544293,1.0,0.0,1.0
M,separate_gender,rich,elastic_logistic,diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,5,0.28473971486091615,0.2748246192932129,0.28473971486091615,0.10617719245601566,1.0,0.0,1.0
M,separate_gender,rich,elastic_logistic,diff__compact__blowout_win20_rate,compact_performance,5,0.17902977094054218,0.1886694133281707,0.17902977094054218,0.0727346859719278,1.0,0.0,1.0
M,separate_gender,rich,elastic_logistic,diff__compact__half_delta_marginmean,compact_performance,3,-0.15314233551422748,-0.1276264041662216,0.15314233551422748,0.06275610381890175,0.0,1.0,1.0
M,separate_gender,rich,elastic_logistic,diff__massey__system_mor,massey_consensus,5,0.1383497357368469,0.1584683954715728,0.1383497357368469,0.03963011844267541,1.0,0.0,1.0
M,separate_gender,rich,elastic_logistic,diff__compact__wins,compact_performance,5,0.13613080456852908,0.1220151707530021,0.13613080456852908,0.07752399548187992,1.0,0.0,1.0
M,separate_gender,rich,elastic_logistic,diff__compact__half_winpct_first,compact_performance,5,-0.1245378389954567,-0.0677608624100685,0.1245378389954567,0.12201855228229862,0.0,0.8,0.8
M,separate_gender,rich,elastic_logistic,diff__norm__schedule__rpi__pct,within_season_normalization,5,0.11211997866630549,0.1155560687184333,0.11211997866630549,0.02526579265283903,1.0,0.0,1.0
M,separate_gender,rich,elastic_logistic,diff__norm__adj__net_rtg_a10p0__z,within_season_normalization,2,0.08379899710416791,0.08379899710416791,0.08379899710416791,0.021804345439035113,1.0,0.0,1.0
M,separate_gender,rich,elastic_logistic,diff__compact__margin_q75,compact_performance,5,0.08129337951540945,0.0797436162829399,0.08129337951540944,0.01785090134681956,1.0,0.0,1.0
M,separate_gender,rich,elastic_logistic,diff__norm__schedule__rpi__z,within_season_normalization,5,0.06514799445867533,0.0769090503454208,0.06514799445867533,0.03995491984260716,0.8,0.0,0.8
M,separate_gender,rich,elastic_logistic,diff__compact__ewm_h10_margin,compact_performance,2,-0.0647810101509094,-0.0647810101509094,0.0647810101509094,0.09161418313964521,0.0,0.5,0.5
M,separate_gender,rich,elastic_logistic,diff__norm__schedule__quality_win_points_sum__pct,within_season_normalization,1,0.0611204840242862,0.0611204840242862,0.0611204840242862,,1.0,0.0,1.0
M,separate_gender,rich,elastic_logistic,diff__massey__system_wol,massey_consensus,5,0.059050184115767436,0.0545411817729473,0.059050184115767436,0.02875640641016416,1.0,0.0,1.0
M,separate_gender,rich,elastic_logistic,diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,5,0.057357256114482835,0.0748049020767211,0.057357256114482835,0.035445154854767014,0.8,0.0,0.8
M,separate_gender,rich,elastic_logistic,diff__massey__strength_iqr,massey_consensus,5,-0.054848690703511185,-0.0566416643559932,0.054848690703511185,0.02399286728921905,0.0,1.0,1.0
M,separate_gender,rich,elastic_logistic,diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,5,0.04511711858212944,0.0433741025626659,0.04511711858212943,0.036233726855574834,0.8,0.0,0.8
M,separate_gender,rich,elastic_logistic,diff__adj__def_rtg_a10p0,opponent_adjusted_efficiency,5,-0.03738337308168408,-0.039064384996891,0.03738337308168408,0.029511566981237396,0.0,0.8,0.8
M,separate_gender,rich,elastic_logistic,diff__compact__margin_q25,compact_performance,5,0.0363565854146145,0.0007503439555875,0.0363565854146145,0.04986000703815777,0.6,0.0,0.6
M,separate_gender,rich,elastic_logistic,diff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,3,0.035115942979852335,0.0180257949978113,0.035115942979852335,0.04610140205532683,0.6666666666666666,0.0,0.6666666666666666
M,separate_gender,rich,elastic_logistic,diff__compact__margin_slope,compact_performance,4,-0.033583033829927424,0.0,0.033583033829927424,0.06716606765985485,0.0,0.25,0.25
M,separate_gender,rich,elastic_logistic,matchup__seed_diff,matchup_context,5,-0.03096763500943776,-0.0077616502530872,0.03096763500943776,0.04213465604363306,0.0,0.6,0.6
M,separate_gender,rich,elastic_logistic,diff__compact__half_marginmean_first,compact_performance,5,0.03004720881581304,0.0,0.03004720881581304,0.042854832607008085,0.4,0.0,0.4
M,separate_gender,rich,elastic_logistic,diff__compact__blowout_win10_rate,compact_performance,5,0.02036151997745032,0.0092958426102995,0.02036151997745032,0.01822033070846198,1.0,0.0,1.0
M,separate_gender,rich,elastic_logistic,diff__norm__rating__bt_c1p0__z,within_season_normalization,5,0.01105339014902708,0.0050538484938442,0.01105339014902708,0.014415637271745337,0.6,0.0,0.6
M,separate_gender,rich,elastic_logistic,diff__massey__ordinal_std,massey_consensus,5,-0.010332708014175278,0.0,0.010332708014175278,0.02245185547817675,0.0,0.4,0.4
M,separate_gender,rich,elastic_logistic,diff__norm__rating__pagerank_margin__pct,within_season_normalization,5,0.00877238884568214,0.0,0.00877238884568214,0.019615657784006178,0.2,0.0,0.2
M,separate_gender,rich,elastic_logistic,diff__massey__system_rpi,massey_consensus,5,0.00672459453344344,0.0,0.00672459453344344,0.015036650497903014,0.2,0.0,0.2
M,separate_gender,rich,elastic_logistic,diff__massey__strength_mean,massey_consensus,5,0.0063528262078761995,0.0,0.0063528262078761995,0.014205351250053393,0.2,0.0,0.2
M,separate_gender,rich,elastic_logistic,diff__norm__rating__colley__z,within_season_normalization,5,0.0060970030725002195,0.0,0.0060970030725002195,0.01363331332913557,0.2,0.0,0.2
M,separate_gender,rich,elastic_logistic,matchup__team1_is_seed_favorite,matchup_context,5,-0.00550157837569712,0.0,0.00550157837569712,0.012301903231601637,0.0,0.2,0.2
M,separate_gender,rich,elastic_logistic,diff__compact__margin_q90,compact_performance,5,0.00509360805153846,0.0,0.00509360805153846,0.011389653853980249,0.2,0.0,0.2
M,separate_gender,rich,elastic_logistic,diff__adj__off_rtg_a10p0,opponent_adjusted_efficiency,5,0.0034256685525178797,0.0,0.0034256685525178797,0.007660027751813288,0.2,0.0,0.2
M,separate_gender,rich,elastic_logistic,diff__compact__downside_tail_mean,compact_performance,5,0.00280704293400048,0.0,0.00280704293400048,0.0062767388161855285,0.2,0.0,0.2
M,separate_gender,rich,elastic_logistic,diff__compact__margin_median,compact_performance,5,-0.0025328969582915197,0.0,0.0025328969582915197,0.005663729778742288,0.0,0.2,0.2
M,separate_gender,rich,elastic_logistic,diff__compact__upside_tail_mean,compact_performance,5,0.0022447720170021,0.0,0.0022447720170021,0.00501946282400601,0.2,0.0,0.2
M,separate_gender,rich,elastic_logistic,diff__massey__system_pom,massey_consensus,5,0.00218779277056454,0.0,0.00218779277056454,0.004892053355664913,0.2,0.0,0.2
M,separate_gender,rich,elastic_logistic,matchup__team2_seed,matchup_context,5,0.00210246425122022,0.0,0.00210246425122022,0.004701252985991607,0.2,0.0,0.2
M,separate_gender,rich,elastic_logistic,matchup__team1_seed,matchup_context,5,-0.0021023999899625603,0.0,0.0021023999899625603,0.00470110929345116,0.0,0.2,0.2
M,separate_gender,rich,elastic_logistic,diff__norm__rating__elo_mov_538__pct,within_season_normalization,5,0.0005273166578263001,0.0,0.0005273166578263001,0.0011791158925676033,0.2,0.0,0.2
M,separate_gender,rich,elastic_logistic,absdiff__adj__def_rtg_a10p0,opponent_adjusted_efficiency,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,separate_gender,rich,elastic_logistic,absdiff__adj__def_rtg_a50p0,opponent_adjusted_efficiency,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,separate_gender,rich,elastic_logistic,absdiff__adj__net_rtg_a10p0,opponent_adjusted_efficiency,1,0.0,0.0,0.0,,0.0,0.0,0.0
M,separate_gender,rich,elastic_logistic,absdiff__adj__net_rtg_a10p0_percentile,opponent_adjusted_efficiency,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,separate_gender,rich,elastic_logistic,absdiff__adj__net_rtg_a10p0_z,opponent_adjusted_efficiency,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,separate_gender,rich,elastic_logistic,absdiff__adj__net_rtg_a50p0_percentile,opponent_adjusted_efficiency,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,separate_gender,rich,elastic_logistic,absdiff__adj__net_rtg_a50p0_z,opponent_adjusted_efficiency,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,separate_gender,rich,elastic_logistic,absdiff__adj__off_rtg_a10p0,opponent_adjusted_efficiency,1,0.0,0.0,0.0,,0.0,0.0,0.0
M,separate_gender,rich,elastic_logistic,absdiff__adj__off_rtg_a50p0,opponent_adjusted_efficiency,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,separate_gender,rich,elastic_logistic,context__season_centered_2000,matchup_context,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,separate_gender,rich,elastic_logistic,diff__adj__def_rtg_a50p0,opponent_adjusted_efficiency,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,separate_gender,rich,elastic_logistic,diff__adj__net_rtg_a50p0_percentile,opponent_adjusted_efficiency,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,separate_gender,rich,elastic_logistic,diff__adj__off_rtg_a50p0,opponent_adjusted_efficiency,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,separate_gender,rich,elastic_logistic,diff__compact__home_margin_mean,compact_performance,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,separate_gender,rich,elastic_logistic,diff__compact__margin_trim02,compact_performance,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,separate_gender,rich,elastic_logistic,diff__compact__pythag_exp10p0,compact_performance,1,0.0,0.0,0.0,,0.0,0.0,0.0
M,separate_gender,rich,elastic_logistic,diff__compact__pythag_exp11p5,compact_performance,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,separate_gender,rich,elastic_logistic,diff__compact__pythag_exp8p0,compact_performance,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,separate_gender,rich,elastic_logistic,diff__compact__win_pct,compact_performance,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,separate_gender,rich,elastic_logistic,diff__massey__ordinal_max,massey_consensus,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,separate_gender,rich,elastic_logistic,diff__massey__ordinal_min,massey_consensus,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,separate_gender,rich,elastic_logistic,diff__massey__rank_improvement_std,massey_consensus,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,separate_gender,rich,elastic_logistic,diff__massey__strength_max,massey_consensus,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,separate_gender,rich,elastic_logistic,diff__massey__system_bih,massey_consensus,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,separate_gender,rich,elastic_logistic,diff__massey__system_cng,massey_consensus,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,separate_gender,rich,elastic_logistic,diff__massey__system_sel,massey_consensus,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,separate_gender,rich,elastic_logistic,diff__massey__system_wob,massey_consensus,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,separate_gender,rich,elastic_logistic,diff__norm__adj__net_rtg_a10p0__pct,within_season_normalization,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,separate_gender,rich,elastic_logistic,diff__norm__rating__margin_ridge_a25p0__pct,within_season_normalization,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,separate_gender,rich,elastic_logistic,matchup__equal_seed,matchup_context,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,separate_gender,rich,elastic_logistic,matchup__seed_gap_abs,matchup_context,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,separate_gender,rich,elo_seed_logistic,matchup__seed_diff,matchup_context,5,-1.3289920568466187,-1.331459879875183,1.3289920568466187,0.024444023120620332,0.0,1.0,1.0
M,separate_gender,rich,elo_seed_logistic,matchup__team1_is_seed_favorite,matchup_context,5,-0.093638165295124,-0.0920348986983299,0.093638165295124,0.022142016420589106,0.0,1.0,1.0
M,separate_gender,rich,elo_seed_logistic,seedprior__effective_games_pc8p0,prequential_seed_priors,5,0.014396483451127961,0.0136611219495534,0.01439648345112796,0.0029808704439029184,1.0,0.0,1.0
M,separate_gender,rich,elo_seed_logistic,matchup__seed_gap_abs,matchup_context,5,0.00932644740678364,0.010914197191596,0.00932644740678364,0.0064839926606020705,1.0,0.0,1.0
