Gender,Architecture,Model,ModelDisplay,ValidationSeason,Feature,Block,AttributionMethod,AttributionImportance
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__norm__rating__elo_mov_538__z,within_season_normalization,absolute_standardized_coefficient,0.46935197710990906
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,absolute_standardized_coefficient,0.4331505000591278
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__compact__blowout_win20_rate,compact_performance,absolute_standardized_coefficient,0.2308358997106552
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__compact__wins,compact_performance,absolute_standardized_coefficient,0.1891106814146042
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__compact__half_winpct_first,compact_performance,absolute_standardized_coefficient,0.183233380317688
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__massey__system_mor,massey_consensus,absolute_standardized_coefficient,0.15846839547157288
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__compact__margin_slope,compact_performance,absolute_standardized_coefficient,0.13433213531970978
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__norm__schedule__rpi__pct,within_season_normalization,absolute_standardized_coefficient,0.12591403722763062
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__compact__margin_q25,compact_performance,absolute_standardized_coefficient,0.08140238374471664
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__compact__margin_q75,compact_performance,absolute_standardized_coefficient,0.07171893119812012
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__adj__def_rtg_a10p0,opponent_adjusted_efficiency,absolute_standardized_coefficient,0.0671151801943779
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__massey__system_wol,massey_consensus,absolute_standardized_coefficient,0.06466782093048096
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__compact__half_marginmean_first,compact_performance,absolute_standardized_coefficient,0.058163877576589584
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,absolute_standardized_coefficient,0.04619181901216507
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,matchup__team1_is_seed_favorite,matchup_context,absolute_standardized_coefficient,0.02750789187848568
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__massey__strength_iqr,massey_consensus,absolute_standardized_coefficient,0.018566763028502464
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__compact__downside_tail_mean,compact_performance,absolute_standardized_coefficient,0.01403521467000246
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__compact__blowout_win10_rate,compact_performance,absolute_standardized_coefficient,0.009295842610299587
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,matchup__team1_seed,matchup_context,absolute_standardized_coefficient,0.0
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,matchup__team2_seed,matchup_context,absolute_standardized_coefficient,0.0
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,context__season_centered_2000,matchup_context,absolute_standardized_coefficient,0.0
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,matchup__equal_seed,matchup_context,absolute_standardized_coefficient,0.0
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,matchup__seed_gap_abs,matchup_context,absolute_standardized_coefficient,0.0
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__massey__strength_mean,massey_consensus,absolute_standardized_coefficient,0.0
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__compact__margin_trim02,compact_performance,absolute_standardized_coefficient,0.0
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,absolute_standardized_coefficient,0.0
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__norm__rating__elo_mov_538__pct,within_season_normalization,absolute_standardized_coefficient,0.0
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,matchup__seed_diff,matchup_context,absolute_standardized_coefficient,0.0
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__norm__rating__colley__z,within_season_normalization,absolute_standardized_coefficient,0.0
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,absolute_standardized_coefficient,0.0
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__massey__strength_max,massey_consensus,absolute_standardized_coefficient,0.0
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__massey__rank_improvement_std,massey_consensus,absolute_standardized_coefficient,0.0
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__massey__system_bih,massey_consensus,absolute_standardized_coefficient,0.0
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__massey__system_sel,massey_consensus,absolute_standardized_coefficient,0.0
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__massey__system_cng,massey_consensus,absolute_standardized_coefficient,0.0
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__massey__system_rpi,massey_consensus,absolute_standardized_coefficient,0.0
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__massey__system_pom,massey_consensus,absolute_standardized_coefficient,0.0
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__massey__ordinal_std,massey_consensus,absolute_standardized_coefficient,0.0
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__massey__ordinal_max,massey_consensus,absolute_standardized_coefficient,0.0
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__norm__rating__bt_c1p0__z,within_season_normalization,absolute_standardized_coefficient,0.0
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__norm__rating__margin_ridge_a25p0__pct,within_season_normalization,absolute_standardized_coefficient,0.0
M,separate_gender,elastic_logistic,Rich elastic-net logistic,2021,diff__norm__rating__pagerank_margin__pct,within_season_normalization,absolute_standardized_coefficient,0.0
