Gender,Season,TeamSeasons,CompactTeamGames,DetailedTeamGames,TeamsWithConference,TeamsRichCoverageEligible,DetailedCoverageRate,SeededTeams,MasseyRows,MasseyTeams,MasseySystems,LatestMasseyDay,CoachRowsAtCutoff,TeamsWithCoachAtCutoff,GameCityRows,UniqueGameCities
M,1985,282,7474,0,282,0,0.0,64.0,,,,,282.0,282.0,,
M,1986,283,7566,0,283,0,0.0,64.0,,,,,283.0,283.0,,
M,1987,290,7830,0,290,0,0.0,64.0,,,,,290.0,290.0,,
M,1988,290,7910,0,290,0,0.0,64.0,,,,,290.0,290.0,,
M,1989,293,8074,0,293,0,0.0,64.0,,,,,293.0,293.0,,
M,1990,292,8090,0,292,0,0.0,64.0,,,,,292.0,292.0,,
M,1991,295,8246,0,295,0,0.0,64.0,,,,,295.0,295.0,,
M,1992,298,8254,0,298,0,0.0,64.0,,,,,298.0,298.0,,
M,1993,298,7964,0,298,0,0.0,64.0,,,,,298.0,298.0,,
M,1994,301,8120,0,301,0,0.0,64.0,,,,,301.0,301.0,,
M,1995,302,8154,0,302,0,0.0,64.0,,,,,302.0,302.0,,
M,1996,305,8244,0,305,0,0.0,64.0,,,,,305.0,305.0,,
M,1997,305,8310,0,305,0,0.0,64.0,,,,,305.0,305.0,,
M,1998,306,8334,0,306,0,0.0,64.0,,,,,306.0,306.0,,
M,1999,310,8444,0,310,0,0.0,64.0,,,,,310.0,310.0,,
M,2000,318,9038,0,318,0,0.0,64.0,,,,,318.0,318.0,,
M,2001,318,8934,0,318,0,0.0,65.0,,,,,318.0,318.0,,
M,2002,321,9110,0,321,0,0.0,65.0,,,,,321.0,321.0,,
M,2003,327,9232,9232,327,327,1.0,65.0,131535.0,327.0,36.0,133.0,327.0,327.0,,
M,2004,326,9142,9142,326,326,1.0,65.0,136024.0,326.0,38.0,133.0,326.0,326.0,,
M,2005,330,9350,9350,330,330,1.0,65.0,139395.0,330.0,40.0,133.0,330.0,330.0,,
M,2006,334,9514,9514,334,334,1.0,65.0,132896.0,334.0,40.0,133.0,334.0,334.0,,
M,2007,336,10086,10086,336,336,1.0,65.0,139384.0,336.0,42.0,133.0,336.0,336.0,,
M,2008,342,10326,10326,342,342,1.0,65.0,169764.0,342.0,48.0,133.0,342.0,342.0,,
M,2009,347,10498,10498,347,347,1.0,65.0,183704.0,347.0,51.0,133.0,347.0,347.0,,
M,2010,347,10526,10526,347,347,1.0,65.0,223601.0,347.0,54.0,133.0,347.0,347.0,5263.0,327.0
M,2011,345,10492,10492,345,345,1.0,68.0,232165.0,345.0,55.0,133.0,345.0,345.0,5246.0,329.0
M,2012,345,10506,10506,345,345,1.0,68.0,248467.0,345.0,63.0,133.0,345.0,345.0,5253.0,327.0
M,2013,347,10640,10640,347,347,1.0,68.0,282987.0,347.0,62.0,133.0,347.0,347.0,5320.0,325.0
M,2014,351,10724,10724,351,351,1.0,68.0,292111.0,351.0,68.0,133.0,351.0,351.0,5362.0,331.0
M,2015,351,10708,10708,351,351,1.0,68.0,281269.0,351.0,65.0,133.0,351.0,351.0,5354.0,328.0
M,2016,351,10738,10738,351,351,1.0,68.0,291589.0,351.0,68.0,133.0,351.0,351.0,5369.0,327.0
M,2017,351,10790,10790,351,351,1.0,68.0,315310.0,351.0,76.0,133.0,351.0,351.0,5395.0,328.0
M,2018,351,10810,10810,351,351,1.0,68.0,292119.0,351.0,69.0,133.0,351.0,351.0,5405.0,330.0
M,2019,353,10926,10926,353,353,1.0,68.0,328599.0,353.0,70.0,133.0,353.0,353.0,5463.0,331.0
M,2020,353,10656,10656,353,353,1.0,,299967.0,353.0,68.0,128.0,353.0,353.0,5328.0,331.0
M,2021,347,7710,7710,347,347,1.0,68.0,219104.0,357.0,57.0,133.0,357.0,357.0,3855.0,302.0
M,2022,358,10690,10690,358,358,1.0,68.0,284488.0,358.0,66.0,133.0,358.0,358.0,5345.0,327.0
M,2023,363,11204,11204,363,363,1.0,68.0,320665.0,363.0,68.0,133.0,363.0,363.0,5602.0,334.0
M,2024,362,11214,11214,362,362,1.0,68.0,319414.0,362.0,63.0,133.0,362.0,362.0,5607.0,334.0
M,2025,364,11282,11282,364,364,1.0,68.0,301236.0,364.0,58.0,133.0,364.0,364.0,5641.0,346.0
M,2026,365,11294,11294,365,365,1.0,68.0,299208.0,365.0,60.0,133.0,365.0,365.0,5647.0,345.0
W,1998,299,7736,0,299,0,0.0,64.0,,,,,,,,
W,1999,309,8462,0,309,0,0.0,64.0,,,,,,,,
W,2000,315,8846,0,315,0,0.0,64.0,,,,,,,,
W,2001,316,8744,0,316,0,0.0,64.0,,,,,,,,
W,2002,323,8986,0,323,0,0.0,64.0,,,,,,,,
W,2003,323,9138,0,323,0,0.0,64.0,,,,,,,,
W,2004,324,9182,0,324,0,0.0,64.0,,,,,,,,
W,2005,328,9288,0,328,0,0.0,64.0,,,,,,,,
W,2006,332,9418,0,332,0,0.0,64.0,,,,,,,,
W,2007,335,9966,0,335,0,0.0,64.0,,,,,,,,
W,2008,338,10158,0,338,0,0.0,64.0,,,,,,,,
W,2009,343,10274,0,343,0,0.0,64.0,,,,,,,,
W,2010,344,10280,10074,344,334,0.9799610894941634,64.0,,,,,,,5034.0,322.0
W,2011,343,10276,10168,343,340,0.9894900739587388,64.0,,,,,,,5081.0,321.0
W,2012,342,10228,10100,342,339,0.9874853343762221,64.0,,,,,,,5037.0,318.0
W,2013,345,10368,10368,345,345,1.0,64.0,,,,,,,5184.0,322.0
W,2014,349,10504,10504,349,349,1.0,64.0,,,,,,,5252.0,329.0
W,2015,349,10428,10428,349,349,1.0,64.0,,,,,,,5214.0,323.0
W,2016,349,10418,10418,349,349,1.0,64.0,,,,,,,5209.0,325.0
W,2017,349,10420,10420,349,349,1.0,64.0,,,,,,,5210.0,324.0
W,2018,349,10418,10418,349,349,1.0,64.0,,,,,,,5209.0,328.0
W,2019,351,10480,10480,351,351,1.0,64.0,,,,,,,5240.0,330.0
W,2020,351,10342,10342,351,351,1.0,,,,,,,,5171.0,323.0
W,2021,343,7112,7112,343,343,1.0,64.0,,,,,,,3556.0,299.0
W,2022,356,10120,10120,356,356,1.0,68.0,,,,,,,5060.0,330.0
W,2023,361,10748,10748,361,361,1.0,68.0,,,,,,,5374.0,328.0
W,2024,360,10828,10828,360,360,1.0,68.0,,,,,,,5414.0,331.0
W,2025,362,10888,10888,362,362,1.0,68.0,,,,,,,5444.0,343.0
W,2026,363,10958,10958,363,363,1.0,68.0,,,,,,,5479.0,343.0
