Gender,Season,DetailedTeamRows,DetailedGames,FlaggedTeamRows,MedianAbsolutePossessionGap,P95AbsolutePossessionGap,MaxAbsolutePossessionGap,FlaggedTeamRowRate
M,2003,9232,4616,48,1.25,3.8999999999999986,16.875,0.005199306759098787
M,2004,9142,4571,32,1.2000000000000028,3.8499999999999943,12.800000000000004,0.003500328155764603
M,2005,9350,4675,24,1.2249999999999943,3.799999999999997,9.875,0.0025668449197860962
M,2006,9514,4757,22,1.1499999999999986,3.7250000000000014,12.324999999999996,0.002312381753205802
M,2007,10086,5043,20,1.2000000000000028,3.6750000000000043,16.025,0.00198294665873488
M,2008,10326,5163,22,1.1749999999999972,3.7249999999999943,16.424999999999997,0.0021305442572147975
M,2009,10498,5249,8,1.1750000000000043,3.5749999999999957,12.549999999999997,0.0007620499142693847
M,2010,10526,5263,14,1.1749999999999972,3.4750000000000085,14.175000000000004,0.001330039901197036
M,2011,10492,5246,12,1.1749999999999972,3.5999999999999943,10.475000000000001,0.001143728555089592
M,2012,10506,5253,28,1.1500000000000057,3.5687499999999943,10.050000000000011,0.00266514372739387
M,2013,10640,5320,20,1.1500000000000057,3.625,12.374999999999993,0.0018796992481203006
M,2014,10724,5362,12,1.1500000000000057,3.674999999999997,10.724999999999994,0.0011189854531891085
M,2015,10708,5354,22,1.1000000000000014,3.4250000000000016,14.000000000000007,0.002054538662682107
M,2016,10738,5369,16,1.1499999999999986,3.625,10.199999999999996,0.001490035388340473
M,2017,10790,5395,10,1.1500000000000057,3.549999999999997,8.774999999999999,0.0009267840593141798
M,2018,10810,5405,6,1.1499999999999915,3.424999999999997,10.149999999999999,0.0005550416281221092
M,2019,10926,5463,14,1.2000000000000028,3.7249999999999943,9.500000000000007,0.001281347245103423
M,2020,10656,5328,20,1.1500000000000057,3.625,9.725000000000009,0.0018768768768768769
M,2021,7710,3855,54,1.6750000000000043,5.049999999999997,9.475000000000001,0.007003891050583658
M,2022,10690,5345,94,1.6750000000000114,5.200000000000003,12.524999999999999,0.008793264733395697
M,2023,11204,5602,112,1.7375000000000043,5.1499999999999915,9.549999999999997,0.009996429846483398
M,2024,11214,5607,118,1.749999999999993,5.25,10.525000000000006,0.010522561084358837
M,2025,11282,5641,118,1.7750000000000057,5.375000000000007,10.950000000000003,0.010459138450629322
M,2026,11294,5647,128,1.75,5.299999999999997,11.449999999999989,0.011333451390118647
W,2010,10074,5037,38,1.1500000000000057,3.75,11.575000000000003,0.003772086559459996
W,2011,10168,5084,16,1.1500000000000057,3.674999999999997,9.274999999999991,0.0015735641227380016
W,2012,10100,5050,18,1.1750000000000114,3.575000000000003,23.299999999999997,0.0017821782178217822
W,2013,10368,5184,22,1.1500000000000057,3.575000000000003,12.325000000000003,0.0021219135802469135
W,2014,10504,5252,30,1.1999999999999957,3.799999999999997,12.525000000000006,0.0028560548362528563
W,2015,10428,5214,20,1.1500000000000057,3.625,11.474999999999994,0.0019179133103183737
W,2016,10418,5209,26,1.25,3.799999999999997,13.375,0.00249568055288923
W,2017,10420,5210,20,1.25,3.7749999999999986,10.200000000000003,0.0019193857965451055
W,2018,10418,5209,18,1.2249999999999943,3.6750000000000043,10.875,0.0017277788443079286
W,2019,10480,5240,16,1.2000000000000028,3.7749999999999915,8.099999999999994,0.0015267175572519084
W,2020,10342,5171,16,1.25,3.8499999999999943,10.525000000000006,0.0015470895378070005
W,2021,7112,3556,126,1.9500000000000028,5.7749999999999915,13.574999999999996,0.017716535433070866
W,2022,10120,5060,196,1.9000000000000057,5.800000000000004,12.799999999999997,0.019367588932806323
W,2023,10748,5374,176,1.9499999999999886,5.666249999999991,12.524999999999999,0.01637513956084853
W,2024,10828,5414,202,1.9500000000000028,5.9,10.625,0.01865533801256003
W,2025,10888,5444,200,1.9249999999999972,5.875,11.299999999999997,0.018368846436443792
W,2026,10958,5479,234,1.9500000000000028,5.950000000000003,13.949999999999989,0.021354261726592445
