Gender,Season,TournamentTeams,CompactSnapshotCoverage,MeanDetailedCoverage,MinDetailedCoverage,RichEligibleTeams,RichEligibleTeamRate
M,1985,64,1.0,0.0,0.0,0,0.0
M,1986,64,1.0,0.0,0.0,0,0.0
M,1987,64,1.0,0.0,0.0,0,0.0
M,1988,64,1.0,0.0,0.0,0,0.0
M,1989,64,1.0,0.0,0.0,0,0.0
M,1990,64,1.0,0.0,0.0,0,0.0
M,1991,64,1.0,0.0,0.0,0,0.0
M,1992,64,1.0,0.0,0.0,0,0.0
M,1993,64,1.0,0.0,0.0,0,0.0
M,1994,64,1.0,0.0,0.0,0,0.0
M,1995,64,1.0,0.0,0.0,0,0.0
M,1996,64,1.0,0.0,0.0,0,0.0
M,1997,64,1.0,0.0,0.0,0,0.0
M,1998,64,1.0,0.0,0.0,0,0.0
M,1999,64,1.0,0.0,0.0,0,0.0
M,2000,64,1.0,0.0,0.0,0,0.0
M,2001,65,1.0,0.0,0.0,0,0.0
M,2002,65,1.0,0.0,0.0,0,0.0
M,2003,65,1.0,1.0,1.0,65,1.0
M,2004,65,1.0,1.0,1.0,65,1.0
M,2005,65,1.0,1.0,1.0,65,1.0
M,2006,65,1.0,1.0,1.0,65,1.0
M,2007,65,1.0,1.0,1.0,65,1.0
M,2008,65,1.0,1.0,1.0,65,1.0
M,2009,65,1.0,1.0,1.0,65,1.0
M,2010,65,1.0,1.0,1.0,65,1.0
M,2011,68,1.0,1.0,1.0,68,1.0
M,2012,68,1.0,1.0,1.0,68,1.0
M,2013,68,1.0,1.0,1.0,68,1.0
M,2014,68,1.0,1.0,1.0,68,1.0
M,2015,68,1.0,1.0,1.0,68,1.0
M,2016,68,1.0,1.0,1.0,68,1.0
M,2017,68,1.0,1.0,1.0,68,1.0
M,2018,68,1.0,1.0,1.0,68,1.0
M,2019,68,1.0,1.0,1.0,68,1.0
M,2021,67,1.0,1.0,1.0,67,1.0
M,2022,68,1.0,1.0,1.0,68,1.0
M,2023,68,1.0,1.0,1.0,68,1.0
M,2024,68,1.0,1.0,1.0,68,1.0
M,2025,68,1.0,1.0,1.0,68,1.0
W,1998,64,1.0,0.0,0.0,0,0.0
W,1999,64,1.0,0.0,0.0,0,0.0
W,2000,64,1.0,0.0,0.0,0,0.0
W,2001,64,1.0,0.0,0.0,0,0.0
W,2002,64,1.0,0.0,0.0,0,0.0
W,2003,64,1.0,0.0,0.0,0,0.0
W,2004,64,1.0,0.0,0.0,0,0.0
W,2005,64,1.0,0.0,0.0,0,0.0
W,2006,64,1.0,0.0,0.0,0,0.0
W,2007,64,1.0,0.0,0.0,0,0.0
W,2008,64,1.0,0.0,0.0,0,0.0
W,2009,64,1.0,0.0,0.0,0,0.0
W,2010,64,1.0,0.9879726125356035,0.8387096774193549,62,0.96875
W,2011,64,1.0,0.9896132125183285,0.9354838709677419,64,1.0
W,2012,64,1.0,0.9879391900757105,0.9032258064516129,64,1.0
W,2013,64,1.0,1.0,1.0,64,1.0
W,2014,64,1.0,1.0,1.0,64,1.0
W,2015,64,1.0,1.0,1.0,64,1.0
W,2016,64,1.0,1.0,1.0,64,1.0
W,2017,64,1.0,1.0,1.0,64,1.0
W,2018,64,1.0,1.0,1.0,64,1.0
W,2019,64,1.0,1.0,1.0,64,1.0
W,2021,64,1.0,1.0,1.0,64,1.0
W,2022,68,1.0,1.0,1.0,68,1.0
W,2023,68,1.0,1.0,1.0,68,1.0
W,2024,68,1.0,1.0,1.0,68,1.0
W,2025,68,1.0,1.0,1.0,68,1.0
