Season,system,published_teams,matchup_pair_coverage
2013,7OT,347,1.0
2013,ACU,0,0.0
2013,ADE,347,1.0
2013,AP,25,0.19402985074626866
2013,ARG,0,0.0
2013,BBT,347,1.0
2013,BCM,0,0.0
2013,BD,0,0.0
2013,BIH,347,1.0
2013,BKM,0,0.0
2013,BNM,0,0.0
2013,BOB,347,1.0
2013,BPI,0,0.0
2013,BRZ,0,0.0
2013,BUR,0,0.0
2013,CJB,347,1.0
2013,CNG,347,1.0
2013,COL,346,1.0
2013,CPR,347,1.0
2013,CRO,347,1.0
2013,DC,347,1.0
2013,DC2,0,0.0
2013,DCI,347,1.0
2013,DES,25,0.23880597014925373
2013,DOK,347,1.0
2013,DOL,347,1.0
2013,DUN,347,1.0
2013,DWH,0,0.0
2013,EBB,0,0.0
2013,EBP,347,1.0
2013,ECK,0,0.0
2013,ENT,0,0.0
2013,ERD,0,0.0
2013,GRN,0,0.0
2013,GRS,0,0.0
2013,HAT,0,0.0
2013,HER,0,0.0
2013,HKB,0,0.0
2013,HOL,0,0.0
2013,IMS,0,0.0
2013,ISR,0,0.0
2013,JCI,0,0.0
2013,JEN,347,1.0
2013,JON,0,0.0
2013,KEL,0,0.0
2013,KLK,0,0.0
2013,KMV,0,0.0
2013,KOS,347,1.0
2013,KPK,347,1.0
2013,KRA,347,1.0
2013,LMC,347,1.0
2013,LYD,0,0.0
2013,LYN,347,1.0
2013,MAS,347,1.0
2013,MB,347,1.0
2013,MGY,0,0.0
2013,MKV,0,0.0
2013,MOR,347,1.0
2013,MSX,347,1.0
2013,NOL,347,1.0
2013,NOR,0,0.0
2013,OMY,346,1.0
2013,PEQ,0,0.0
2013,PGH,347,1.0
2013,PIG,347,1.0
2013,PKL,0,0.0
2013,POM,347,1.0
2013,PTS,347,1.0
2013,REI,347,1.0
2013,REN,0,0.0
2013,REW,347,1.0
2013,RIS,0,0.0
2013,RM,0,0.0
2013,ROG,0,0.0
2013,ROH,0,0.0
2013,RPI,347,1.0
2013,RSE,0,0.0
2013,RT,347,1.0
2013,RTB,347,1.0
2013,RTH,347,1.0
2013,RTP,347,1.0
2013,RTR,347,1.0
2013,SAG,347,1.0
2013,SAP,0,0.0
2013,SAU,0,0.0
2013,SCR,0,0.0
2013,SE,347,1.0
2013,SEL,347,1.0
2013,SFX,347,1.0
2013,SIM,0,0.0
2013,SPW,347,1.0
2013,STH,347,1.0
2013,STR,0,0.0
2013,TBD,0,0.0
2013,TMR,347,1.0
2013,TRX,0,0.0
2013,TSR,0,0.0
2013,TW,347,1.0
2013,UCS,0,0.0
2013,USA,25,0.208955223880597
2013,WIL,347,1.0
2013,WLK,347,1.0
2013,WOB,347,1.0
2013,WOL,347,1.0
2013,WTE,0,0.0
2014,7OT,351,1.0
2014,ACU,0,0.0
2014,ADE,351,1.0
2014,AP,25,0.14925373134328357
2014,ARG,0,0.0
2014,BBT,351,1.0
2014,BCM,0,0.0
2014,BD,0,0.0
2014,BIH,351,1.0
