model,block,Season,scope,status,count
hist,availability,2014,additional,constant,102
hist,availability,2014,additional,retained,3
hist,availability,2014,base,constant,1
hist,availability,2014,base,redundant,2
hist,availability,2014,base,retained,16
hist,availability,2015,additional,constant,102
hist,availability,2015,additional,retained,3
hist,availability,2015,base,constant,1
hist,availability,2015,base,redundant,2
hist,availability,2015,base,retained,16
hist,availability,2016,additional,constant,102
hist,availability,2016,additional,retained,3
hist,availability,2016,base,constant,1
hist,availability,2016,base,redundant,2
hist,availability,2016,base,retained,16
hist,availability,2017,additional,constant,102
hist,availability,2017,additional,retained,3
hist,availability,2017,base,constant,1
hist,availability,2017,base,redundant,2
hist,availability,2017,base,retained,16
hist,availability,2018,additional,constant,102
hist,availability,2018,additional,retained,3
hist,availability,2018,base,constant,1
hist,availability,2018,base,redundant,3
hist,availability,2018,base,retained,15
hist,availability,2019,additional,constant,102
hist,availability,2019,additional,retained,3
hist,availability,2019,base,constant,1
hist,availability,2019,base,redundant,3
hist,availability,2019,base,retained,15
hist,availability,2021,additional,constant,102
hist,availability,2021,additional,retained,3
hist,availability,2021,base,constant,1
hist,availability,2021,base,redundant,3
hist,availability,2021,base,retained,15
hist,combined,2014,additional,all_missing,356
hist,combined,2014,additional,capacity,359
hist,combined,2014,additional,constant,103
hist,combined,2014,additional,redundant,3
hist,combined,2014,additional,redundant_base,3
hist,combined,2014,additional,retained,16
hist,combined,2014,base,constant,1
hist,combined,2014,base,redundant,2
hist,combined,2014,base,retained,16
hist,combined,2015,additional,all_missing,342
hist,combined,2015,additional,capacity,376
hist,combined,2015,additional,constant,102
hist,combined,2015,additional,redundant,2
hist,combined,2015,additional,redundant_base,2
hist,combined,2015,additional,retained,16
hist,combined,2015,base,constant,1
hist,combined,2015,base,redundant,2
hist,combined,2015,base,retained,16
hist,combined,2016,additional,all_missing,325
hist,combined,2016,additional,capacity,390
hist,combined,2016,additional,constant,102
hist,combined,2016,additional,redundant,4
hist,combined,2016,additional,redundant_base,3
hist,combined,2016,additional,retained,16
hist,combined,2016,base,constant,1
hist,combined,2016,base,redundant,2
hist,combined,2016,base,retained,16
hist,combined,2017,additional,all_missing,317
hist,combined,2017,additional,capacity,402
hist,combined,2017,additional,constant,102
hist,combined,2017,additional,redundant,1
hist,combined,2017,additional,redundant_base,2
hist,combined,2017,additional,retained,16
hist,combined,2017,base,constant,1
hist,combined,2017,base,redundant,2
hist,combined,2017,base,retained,16
hist,combined,2018,additional,all_missing,310
hist,combined,2018,additional,capacity,411
hist,combined,2018,additional,constant,102
hist,combined,2018,additional,redundant_base,1
hist,combined,2018,additional,retained,16
hist,combined,2018,base,constant,1
hist,combined,2018,base,redundant,3
hist,combined,2018,base,retained,15
hist,combined,2019,additional,all_missing,310
hist,combined,2019,additional,capacity,410
hist,combined,2019,additional,constant,102
hist,combined,2019,additional,redundant_base,2
hist,combined,2019,additional,retained,16
hist,combined,2019,base,constant,1
hist,combined,2019,base,redundant,3
hist,combined,2019,base,retained,15
hist,combined,2021,additional,all_missing,310
hist,combined,2021,additional,capacity,410
hist,combined,2021,additional,constant,102
hist,combined,2021,additional,redundant_base,2
hist,combined,2021,additional,retained,16
hist,combined,2021,base,constant,1
hist,combined,2021,base,redundant,3
hist,combined,2021,base,retained,15
hist,consensus,2014,base,constant,1
hist,consensus,2014,base,redundant,2
hist,consensus,2014,base,retained,16
hist,consensus,2015,base,constant,1
hist,consensus,2015,base,redundant,2
hist,consensus,2015,base,retained,16
hist,consensus,2016,base,redundant,2
hist,consensus,2016,base,retained,16
hist,consensus,2017,base,redundant,2
hist,consensus,2017,base,retained,16
hist,consensus,2018,base,redundant,3
hist,consensus,2018,base,retained,15
hist,consensus,2019,base,redundant,3
hist,consensus,2019,base,retained,15
hist,consensus,2021,base,redundant,3
hist,consensus,2021,base,retained,15
hist,deviations,2014,additional,all_missing,100
hist,deviations,2014,additional,capacity,94
hist,deviations,2014,additional,retained,16
hist,deviations,2014,base,constant,1
hist,deviations,2014,base,redundant,2
hist,deviations,2014,base,retained,16
hist,deviations,2015,additional,all_missing,96
hist,deviations,2015,additional,capacity,98
hist,deviations,2015,additional,retained,16
hist,deviations,2015,base,constant,1
hist,deviations,2015,base,redundant,2
hist,deviations,2015,base,retained,16
hist,deviations,2016,additional,all_missing,92
hist,deviations,2016,additional,capacity,102
hist,deviations,2016,additional,retained,16
hist,deviations,2016,base,constant,1
hist,deviations,2016,base,redundant,2
hist,deviations,2016,base,retained,16
hist,deviations,2017,additional,all_missing,90
hist,deviations,2017,additional,capacity,104
hist,deviations,2017,additional,retained,16
hist,deviations,2017,base,constant,1
hist,deviations,2017,base,redundant,2
hist,deviations,2017,base,retained,16
hist,deviations,2018,additional,all_missing,88
hist,deviations,2018,additional,capacity,106
hist,deviations,2018,additional,retained,16
hist,deviations,2018,base,constant,1
hist,deviations,2018,base,redundant,3
hist,deviations,2018,base,retained,15
hist,deviations,2019,additional,all_missing,88
hist,deviations,2019,additional,capacity,106
hist,deviations,2019,additional,retained,16
hist,deviations,2019,base,constant,1
hist,deviations,2019,base,redundant,3
hist,deviations,2019,base,retained,15
hist,deviations,2021,additional,all_missing,88
hist,deviations,2021,additional,capacity,106
hist,deviations,2021,additional,retained,16
hist,deviations,2021,base,constant,1
hist,deviations,2021,base,redundant,3
hist,deviations,2021,base,retained,15
hist,embedding,2014,additional,constant_or_missing,200
hist,embedding,2014,additional,embedded,220
hist,embedding,2014,base,constant,1
