Gender,block,model,macro_season_brier,seasons,games,brier,log_loss,roc_auc,average_precision,precision_at_05,recall_at_05,f1_at_05,ece_10_bins
M,efficiency,hist,0.20385577202321586,5,334,0.20378224634157283,0.5937171428008317,0.7523088023088023,0.7019033778896087,0.6348314606741573,0.7337662337662337,0.6807228915662651,0.05168002962796127
M,efficiency,logistic,0.19277100798746533,5,334,0.19270167620541231,0.5636051128213371,0.7796176046176047,0.7537868647478996,0.6373626373626373,0.7532467532467533,0.6904761904761905,0.063326764051064
M,full,hist,0.20261281537890224,5,334,0.2025377327090864,0.5879601118193558,0.7562049062049062,0.7287739690643011,0.6284153005464481,0.7467532467532467,0.6824925816023739,0.07760332028303564
M,full,logistic,0.1923103919471801,5,334,0.1922457645394533,0.5629693904906133,0.7812409812409812,0.7555370587546684,0.6451612903225806,0.7792207792207793,0.7058823529411765,0.053730909040796374
M,matchup,hist,0.20541597818600316,5,334,0.20535256987245723,0.5941223782105397,0.749025974025974,0.7141550026305821,0.6120218579234973,0.7272727272727273,0.6646884272997032,0.07270764699951503
M,matchup,logistic,0.19255004537235654,5,334,0.19248219220895388,0.5634248104215194,0.7806637806637806,0.7545673802793325,0.639344262295082,0.7597402597402597,0.6943620178041543,0.06219758819465975
M,recent,hist,0.19699055324610876,5,334,0.1969093713002404,0.5772009946596373,0.7690476190476191,0.7273995572991595,0.639344262295082,0.7597402597402597,0.6943620178041543,0.07290243390469031
M,recent,logistic,0.19248301341925325,5,334,0.1924169758609273,0.5630404913397203,0.780808080808081,0.7552034943538836,0.6428571428571429,0.7597402597402597,0.6964285714285714,0.053109800466615474
M,seed,hist,0.20215930536435364,5,334,0.20208418129872682,0.5885258861738315,0.7527056277056275,0.7173433082451488,0.6256983240223464,0.7272727272727273,0.6726726726726727,0.04985860146678923
M,seed,logistic,0.20015848874776548,5,334,0.20008320469887964,0.5836922850142486,0.7628968253968255,0.7383006784486918,0.6276595744680851,0.7662337662337663,0.6900584795321637,0.07668305885725589
M,strength,hist,0.20048454316390493,5,334,0.2003872985711594,0.5825744181523421,0.7579004329004329,0.7205509550473193,0.611764705882353,0.6753246753246753,0.6419753086419753,0.07729566520779434
M,strength,logistic,0.19126778097283573,5,334,0.19118410825053275,0.5581698760198254,0.7823953823953824,0.7636978659461039,0.644808743169399,0.7662337662337663,0.7002967359050445,0.04885729786613882
W,efficiency,hist,0.15461990325593114,5,315,0.15461990325593114,0.466939809165778,0.8597919858098847,0.8522875707497086,0.7636363636363637,0.802547770700637,0.782608695652174,0.05200074377542582
W,efficiency,logistic,0.15208504808271708,5,315,0.15208504808271708,0.4586303311829233,0.8634604531161817,0.85689882387269,0.757396449704142,0.8152866242038217,0.7852760736196319,0.053670862438854855
W,full,hist,0.15940251798552438,5,315,0.15940251798552438,0.47852124255520173,0.8541885027815851,0.8457571683093531,0.7341772151898734,0.7388535031847133,0.7365079365079366,0.08143608924670333
W,full,logistic,0.153325766797612,5,315,0.15332576679761203,0.4626786368966915,0.860759493670886,0.8530753589480368,0.757396449704142,0.8152866242038217,0.7852760736196319,0.05929025473428012
W,matchup,hist,0.15612397223117433,5,315,0.15612397223117436,0.47067214235387933,0.8573732161573814,0.8505043638683178,0.7559523809523809,0.8089171974522293,0.7815384615384615,0.06120123470704797
W,matchup,logistic,0.1525943337553241,5,315,0.15259433375532408,0.46058120235374594,0.8620091913246796,0.8542324450093169,0.7514792899408284,0.8089171974522293,0.7791411042944786,0.05443953305593916
W,recent,hist,0.15671375096243859,5,315,0.15671375096243859,0.4720735019929684,0.8582197855357575,0.8470923720461054,0.7468354430379747,0.7515923566878981,0.7492063492063492,0.06987131282768386
W,recent,logistic,0.15275744932970164,5,315,0.15275744932970167,0.4604274107296307,0.8619688784971379,0.8553630435111111,0.7633136094674556,0.821656050955414,0.7914110429447853,0.0685322507217677
W,seed,hist,0.15734913729574096,5,315,0.15734913729574096,0.4706767954538225,0.8470128194791583,0.8257354522837016,0.7592592592592593,0.7834394904458599,0.7711598746081505,0.04048093439034734
W,seed,logistic,0.15117915008387572,5,315,0.15117915008387572,0.4593785511814305,0.8667862613883739,0.859479009636966,0.7592592592592593,0.7834394904458599,0.7711598746081505,0.05294688567795652
W,strength,hist,0.1509552887126672,5,315,0.1509552887126672,0.45742227669003216,0.8653148431831008,0.8566504043859173,0.7678571428571429,0.821656050955414,0.7938461538461539,0.08973250794371847
W,strength,logistic,0.144307515227209,5,315,0.144307515227209,0.4338553470348823,0.8762799322744498,0.8764771266795437,0.7771084337349398,0.821656050955414,0.7987616099071208,0.06059080624726399
