Gender,control,arm,games,game_brier,mean_season_brier
M,adjusted,all,334,0.1970479164454739,0.19713065410724911
M,adjusted,baseline,334,0.19117630608921507,0.19126821558435875
M,adjusted,context,334,0.19457956755668462,0.19466171456745723
M,adjusted,opportunity,334,0.19319889460862477,0.1932914301931606
M,adjusted,quality_volume,334,0.19254011265655507,0.19262773463779237
M,adjusted,without_context,334,0.19371337934419208,0.19380472728297995
M,adjusted,without_opportunity,334,0.1955776348389507,0.19565929138538857
M,adjusted,without_quality_volume,334,0.19662390404463753,0.19670948961192408
M,strength,all,334,0.19690732993376114,0.19698076480859442
M,strength,baseline,334,0.19118410825053275,0.19126778097283573
M,strength,context,334,0.19460012238890578,0.19467244997255834
M,strength,opportunity,334,0.1930333990179066,0.19311931791553538
M,strength,quality_volume,334,0.1924039612972868,0.19248345667102865
M,strength,without_context,334,0.19343267325189284,0.1935167754479032
M,strength,without_opportunity,334,0.1956149358680806,0.1956869248465712
M,strength,without_quality_volume,334,0.19645865788786243,0.19653490062295426
W,adjusted,all,315,0.14710340803604136,0.14710340803604138
W,adjusted,baseline,315,0.14664784155029875,0.14664784155029875
W,adjusted,context,315,0.14771320281836894,0.14771320281836897
W,adjusted,opportunity,315,0.14635486877185164,0.1463548687718516
W,adjusted,quality_volume,315,0.14677997305351118,0.14677997305351115
W,adjusted,without_context,315,0.14621791266077408,0.1462179126607741
W,adjusted,without_opportunity,315,0.14767395644657086,0.14767395644657083
W,adjusted,without_quality_volume,315,0.14696151853810813,0.1469615185381081
W,strength,all,315,0.1461862291098243,0.14618622910982426
W,strength,baseline,315,0.144307515227209,0.14430751522720903
W,strength,context,315,0.14618329863744253,0.14618329863744256
W,strength,opportunity,315,0.14511283011241807,0.14511283011241807
W,strength,quality_volume,315,0.1447999328003648,0.1447999328003648
W,strength,without_context,315,0.14505922269530916,0.14505922269530916
W,strength,without_opportunity,315,0.1462607252210076,0.1462607252210076
W,strength,without_quality_volume,315,0.14596626619948716,0.14596626619948716
