Gender,Season,comparison,delta_brier,meaning
M,2016,rates_vs_anchor,-0.003976791029903004,negative favors inclusion; fixed input sets
M,2016,mechanism_vs_anchor,0.0084706847740563807,negative favors inclusion; fixed input sets
M,2016,both_vs_anchor,-0.0019837269516815303,negative favors inclusion; fixed input sets
M,2016,mechanism_given_rates,0.0019930640782214737,negative favors inclusion; fixed input sets
M,2016,rates_given_mechanism,-0.010454411725737911,negative favors inclusion; fixed input sets
M,2017,rates_vs_anchor,0.0062071104995331805,negative favors inclusion; fixed input sets
M,2017,mechanism_vs_anchor,-0.0017756342811329762,negative favors inclusion; fixed input sets
M,2017,both_vs_anchor,0.0064858784456281182,negative favors inclusion; fixed input sets
M,2017,mechanism_given_rates,0.00027876794609493771,negative favors inclusion; fixed input sets
M,2017,rates_given_mechanism,0.0082615127267610944,negative favors inclusion; fixed input sets
M,2018,rates_vs_anchor,-0.0038666982316733767,negative favors inclusion; fixed input sets
M,2018,mechanism_vs_anchor,0.001185010390132496,negative favors inclusion; fixed input sets
M,2018,both_vs_anchor,-0.0027279058752553986,negative favors inclusion; fixed input sets
M,2018,mechanism_given_rates,0.001138792356417978,negative favors inclusion; fixed input sets
M,2018,rates_given_mechanism,-0.0039129162653878946,negative favors inclusion; fixed input sets
M,2019,rates_vs_anchor,-0.0033231957009497159,negative favors inclusion; fixed input sets
M,2019,mechanism_vs_anchor,-0.0048433992197251252,negative favors inclusion; fixed input sets
M,2019,both_vs_anchor,-0.0050529381883362146,negative favors inclusion; fixed input sets
M,2019,mechanism_given_rates,-0.0017297424873864986,negative favors inclusion; fixed input sets
M,2019,rates_given_mechanism,-0.00020953896861108934,negative favors inclusion; fixed input sets
W,2016,rates_vs_anchor,0.0054358099391084158,negative favors inclusion; fixed input sets
W,2016,mechanism_vs_anchor,0.0027789721129909684,negative favors inclusion; fixed input sets
W,2016,both_vs_anchor,0.0064604082184299416,negative favors inclusion; fixed input sets
W,2016,mechanism_given_rates,0.0010245982793215258,negative favors inclusion; fixed input sets
W,2016,rates_given_mechanism,0.0036814361054389733,negative favors inclusion; fixed input sets
W,2017,rates_vs_anchor,0.0024732279332399243,negative favors inclusion; fixed input sets
W,2017,mechanism_vs_anchor,0.00087018374209238414,negative favors inclusion; fixed input sets
W,2017,both_vs_anchor,0.0033098625885744359,negative favors inclusion; fixed input sets
W,2017,mechanism_given_rates,0.00083663465533451165,negative favors inclusion; fixed input sets
W,2017,rates_given_mechanism,0.0024396788464820518,negative favors inclusion; fixed input sets
W,2018,rates_vs_anchor,-0.00016165473782009387,negative favors inclusion; fixed input sets
W,2018,mechanism_vs_anchor,0.00094813290442036235,negative favors inclusion; fixed input sets
W,2018,both_vs_anchor,0.00023455271074990236,negative favors inclusion; fixed input sets
W,2018,mechanism_given_rates,0.00039620744856999623,negative favors inclusion; fixed input sets
W,2018,rates_given_mechanism,-0.00071358019367045999,negative favors inclusion; fixed input sets
W,2019,rates_vs_anchor,0.010036484994041195,negative favors inclusion; fixed input sets
W,2019,mechanism_vs_anchor,0.00088005285400982736,negative favors inclusion; fixed input sets
W,2019,both_vs_anchor,0.010151919474631066,negative favors inclusion; fixed input sets
W,2019,mechanism_given_rates,0.00011543448058987105,negative favors inclusion; fixed input sets
W,2019,rates_given_mechanism,0.0092718666206212386,negative favors inclusion; fixed input sets
