Gender,Season,max_regular_day,min_seeded_detail_games,min_seeded_rebound_opportunities,min_seeded_turnover_opportunities,new_rating_fits,seeded_teams,teams,tournament_labels_read
M,2013,132,27,740,1750,0,68,347,False
M,2014,132,28,814,1794.075,0,68,351,False
M,2015,132,27,872,1681.4000000000001,0,68,351,False
M,2016,132,27,918,1815.0999999999999,0,68,351,False
M,2017,132,28,922,1820.1500000000001,0,68,351,False
M,2018,132,29,892,1956.8499999999999,0,68,351,False
M,2019,132,28,923,1939.675,0,68,353,False
W,2013,132,28,963,1908.575,0,64,345,False
W,2014,132,28,977,1911.675,0,64,349,False
W,2015,132,27,992,1914,0,64,349,False
W,2016,132,27,913,1725.2750000000001,0,64,349,False
W,2017,132,26,822,1692.2750000000001,0,64,349,False
W,2018,132,28,932,1925.9000000000001,0,64,349,False
W,2019,132,28,864,1960.6500000000001,0,64,351,False
