recipe,bin,games,mean_probability,observed_fraction
anchor,0,11,0.056610661505310363,0.090909090909090912
anchor,1,15,0.1446672958866852,0
anchor,2,21,0.25405823220961821,0.2857142857142857
anchor,3,22,0.34300349986564399,0.45454545454545453
anchor,4,33,0.45298987440918093,0.5757575757575758
anchor,5,35,0.54295305292946117,0.68571428571428572
anchor,6,29,0.6415873237278279,0.72413793103448276
anchor,7,46,0.74865192098981959,0.65217391304347827
anchor,8,21,0.84625873024849174,0.80952380952380953
anchor,9,19,0.93613353699687074,0.94736842105263153
anchor_consensus,0,11,0.052338878879767778,0.090909090909090912
anchor_consensus,1,15,0.14396692140401721,0
anchor_consensus,2,19,0.24805521689237761,0.26315789473684209
anchor_consensus,3,24,0.34032065562157193,0.41666666666666669
anchor_consensus,4,31,0.44828343508918844,0.58064516129032262
anchor_consensus,5,35,0.53709395127639314,0.7142857142857143
anchor_consensus,6,30,0.63675072125047338,0.69999999999999996
anchor_consensus,7,45,0.75266640879325619,0.64444444444444449
anchor_consensus,8,22,0.84417527475124166,0.81818181818181823
anchor_consensus,9,20,0.93769494408402276,0.94999999999999996
