confidence_bin,games,mean_delta,total_delta
0,11,-7.4168439132427983e-05,-0.00081585283045670779
1,15,-5.4056689857173135e-05,-0.00081085034785759701
2,19,-0.0027987931873131758,-0.053177070558950337
3,24,0.0041698390520759371,0.10007613724982249
4,31,0.0017131888986300877,0.053108855857532722
5,35,0.0016402871126405686,0.057410048942419897
6,30,8.6256187297484768e-05,0.0025876856189245429
7,45,0.0013080773083118293,0.058863478874032323
8,22,0.000585429510081065,0.01287944922178343
9,20,0.00040095426873087286,0.0080190853746174573
