Season,diagnostic_scope,graph_components,home_effect_per100,in_sample_predictions_outside_0_1,league_rate,minimum_seeded_exposure,normal_equation_relative_error,physical_games,target,team_rows,teams,weighted_rmse,zero_opportunity_rows
2013,descriptive regular-season rate fit; not held-out metric,1,-1.125615264752694,0,0.093621349100420387,841,1.0271554452903155e-15,5320,blocked_shots,10640,347,0.050876508642071341,0
2013,descriptive regular-season rate fit; not held-out metric,1,2.4133276128344088,0,0.35959436770598352,1270,1.1885451084775282e-16,5320,free_throw_pressure,10640,347,0.14025747335811042,0
2014,descriptive regular-season rate fit; not held-out metric,1,-1.127928239440442,0,0.097188898745917171,862,2.1815577579861741e-16,5362,blocked_shots,10724,351,0.05202221693737219,0
2014,descriptive regular-season rate fit; not held-out metric,1,2.6867576956219401,0,0.40611319746571323,1375,4.176632473356907e-16,5362,free_throw_pressure,10724,351,0.1494496268251459,0
2015,descriptive regular-season rate fit; not held-out metric,1,-1.1559328900961239,0,0.096540669793596365,877,2.1994875700525482e-16,5354,blocked_shots,10708,351,0.052659695177293894,0
2015,descriptive regular-season rate fit; not held-out metric,1,2.6223566764115458,0,0.37116628055738043,1372,1.1441772291206286e-16,5354,free_throw_pressure,10708,351,0.14580329013505575,0
2016,descriptive regular-season rate fit; not held-out metric,1,-1.0352414730909987,0,0.091691331659860376,946,1.2701388258293511e-15,5369,blocked_shots,10738,351,0.050339444189654012,0
2016,descriptive regular-season rate fit; not held-out metric,1,2.4646999932300431,0,0.36718631436533128,1426,4.6133912067645235e-16,5369,free_throw_pressure,10738,351,0.13826295402009448,0
2017,descriptive regular-season rate fit; not held-out metric,1,-1.0651731416598167,0,0.091696732685757537,856,1.1490392936386926e-16,5395,blocked_shots,10790,351,0.050365039782908509,0
2017,descriptive regular-season rate fit; not held-out metric,1,2.4472694727293951,0,0.354408246495721,1449,4.7566906242631001e-16,5395,free_throw_pressure,10790,351,0.13424909845511848,0
2018,descriptive regular-season rate fit; not held-out metric,1,-1.0610309970438598,0,0.092624299876242364,903,2.8385697017130261e-17,5405,blocked_shots,10810,351,0.050682036559175039,0
2018,descriptive regular-season rate fit; not held-out metric,1,2.5923073002495727,0,0.33578391869184382,1527,1.5660102621672515e-17,5405,free_throw_pressure,10810,351,0.1288063506442548,0
2019,descriptive regular-season rate fit; not held-out metric,1,-1.0639414897607349,0,0.093092758386513152,848,1.1177201784229303e-16,5463,blocked_shots,10926,353,0.051487999295619931,0
2019,descriptive regular-season rate fit; not held-out metric,1,2.4879196290628869,0,0.33086298126579061,1483,5.031770148021009e-16,5463,free_throw_pressure,10926,353,0.13012943838869981,0
2021,descriptive regular-season rate fit; not held-out metric,1,-0.89500098770319814,0,0.087916660687893708,565,1.6771991141369725e-16,3855,blocked_shots,7710,347,0.049492104371087947,0
2021,descriptive regular-season rate fit; not held-out metric,1,0.97742044814221429,0,0.31520572129358015,910,3.7424129186104047e-16,3855,free_throw_pressure,7710,347,0.12493489600386495,0
2022,descriptive regular-season rate fit; not held-out metric,1,-0.94377923758142268,0,0.090282657360558571,850,5.8897675109192455e-16,5345,blocked_shots,10690,358,0.050486846314438338,0
2022,descriptive regular-season rate fit; not held-out metric,1,1.6768363562044648,0,0.30338597147457269,1373,1.4021580748436084e-16,5345,free_throw_pressure,10690,358,0.12333014899114271,0
2023,descriptive regular-season rate fit; not held-out metric,1,-0.94081091713041942,0,0.088562244359742442,829,2.2914926468801899e-16,5602,blocked_shots,11204,363,0.049505126041891383,0
2023,descriptive regular-season rate fit; not held-out metric,1,1.9261292990581533,0,0.31628717008431873,1557,2.5665249929353688e-16,5602,free_throw_pressure,11204,363,0.12575859544708229,0
2024,descriptive regular-season rate fit; not held-out metric,1,-0.81683675329658756,0,0.092956413109250263,804,1.3632650170586519e-17,5607,blocked_shots,11214,362,0.050660651053766791,0
2024,descriptive regular-season rate fit; not held-out metric,1,2.2390320883905446,0,0.32922102267075753,1550,2.4634971378208169e-16,5607,free_throw_pressure,11214,362,0.12765701917976657,0
2025,descriptive regular-season rate fit; not held-out metric,1,-0.87456067809811455,0,0.094239511738878595,841,4.2771162569990491e-16,5641,blocked_shots,11282,364,0.05094582617907082,0
2025,descriptive regular-season rate fit; not held-out metric,1,1.9201839597048087,0,0.33024289783368832,1433,3.6616080196192135e-16,5641,free_throw_pressure,11282,364,0.12780727897796315,0
