recipe,bin,games,mean_probability,observed_fraction
both,0,14,0.058860262821367804,0.071428571428571425
both,1,13,0.15759397265533184,0.076923076923076927
both,2,25,0.25813878410504859,0.23999999999999999
both,3,17,0.34617112688973112,0.52941176470588236
both,4,27,0.44602229267069166,0.51851851851851849
both,5,43,0.54140184724527507,0.67441860465116277
both,6,28,0.6438504297073242,0.75
both,7,42,0.75280076709131327,0.66666666666666663
both,8,25,0.84672034295030041,0.80000000000000004
both,9,18,0.94409823940138338,0.94444444444444442
duplicate_control,0,14,0.058715048222998174,0.071428571428571425
duplicate_control,1,13,0.15837610929822687,0.076923076923076927
duplicate_control,2,25,0.2587112462919719,0.23999999999999999
duplicate_control,3,16,0.34472422033209599,0.5625
duplicate_control,4,31,0.44979557973448758,0.4838709677419355
duplicate_control,5,39,0.54143489682361856,0.69230769230769229
duplicate_control,6,28,0.64104732362169259,0.75
duplicate_control,7,42,0.75095360001489497,0.66666666666666663
duplicate_control,8,26,0.8454225627826446,0.80769230769230771
duplicate_control,9,18,0.94483555466408042,0.94444444444444442
free_throw_share,0,14,0.058635020685711123,0.071428571428571425
free_throw_share,1,13,0.15813209712779766,0.076923076923076927
free_throw_share,2,24,0.25709778137310901,0.20833333333333334
free_throw_share,3,18,0.34540660056078021,0.55555555555555558
free_throw_share,4,30,0.45179911180704552,0.5
free_throw_share,5,40,0.54338126481840765,0.69999999999999996
free_throw_share,6,27,0.64354575928085278,0.7407407407407407
free_throw_share,7,41,0.75005603057352721,0.68292682926829273
free_throw_share,8,27,0.8440073250639506,0.77777777777777779
free_throw_share,9,18,0.94502300172219655,0.94444444444444442
rates,0,14,0.059143438210401952,0.071428571428571425
rates,1,13,0.15863746700143647,0.076923076923076927
rates,2,23,0.25581537851573993,0.17391304347826086
rates,3,18,0.3398542895034708,0.61111111111111116
rates,4,31,0.45008213128192714,0.4838709677419355
rates,5,39,0.54117586841288534,0.69230769230769229
rates,6,28,0.64074823109854406,0.75
rates,7,42,0.75091428367707291,0.66666666666666663
rates,8,26,0.84511894164433576,0.80769230769230771
rates,9,18,0.94456269005884452,0.94444444444444442
reference,0,11,0.052338878879767778,0.090909090909090912
reference,1,15,0.14396692140401721,0
reference,2,19,0.24805521689237761,0.26315789473684209
reference,3,24,0.34032065562157193,0.41666666666666669
reference,4,31,0.44828343508918844,0.58064516129032262
reference,5,35,0.53709395127639314,0.7142857142857143
reference,6,30,0.63675072125047338,0.69999999999999996
reference,7,45,0.75266640879325619,0.64444444444444449
reference,8,22,0.84417527475124166,0.81818181818181823
reference,9,20,0.93769494408402276,0.94999999999999996
three_point_share,0,14,0.059329025696807772,0.071428571428571425
three_point_share,1,13,0.15798900805329547,0.076923076923076927
three_point_share,2,23,0.25507664824975246,0.17391304347826086
three_point_share,3,18,0.33803392263536236,0.61111111111111116
three_point_share,4,27,0.44276380088660516,0.48148148148148145
three_point_share,5,43,0.53807374777162387,0.67441860465116277
three_point_share,6,30,0.64315411974479342,0.76666666666666672
three_point_share,7,40,0.75269025758358699,0.65000000000000002
three_point_share,8,26,0.84441955826545523,0.80769230769230771
three_point_share,9,18,0.9436642514329594,0.94444444444444442
