Gender,Season,games,brier,log_loss,recipe,train_games,train_last_season,feature_count,active_features,source,evidence,anchor_brier,delta_vs_anchor
M,2022,63,0.22230168214031837,0.63674611725075125,reference,503,2021,17,17,upstream_replay,"Previously used 2022-2025 played main draw; exploratory, not production or leaderboard",0.22230168214031837,0
M,2022,63,0.22447207465642766,0.64314424631322975,rates,503,2021,21,21,new_fit,"Previously used 2022-2025 played main draw; exploratory, not production or leaderboard",0.22230168214031837,0.0021703925161092874
M,2022,63,0.22437032322167813,0.64215760027122359,three_point_share,503,2021,23,23,new_fit,"Previously used 2022-2025 played main draw; exploratory, not production or leaderboard",0.22230168214031837,0.0020686410813597622
M,2022,63,0.2249952347035564,0.64432992640696285,free_throw_share,503,2021,23,23,new_fit,"Previously used 2022-2025 played main draw; exploratory, not production or leaderboard",0.22230168214031837,0.0026935525632380275
M,2022,63,0.22488359730202526,0.64328597029196843,both,503,2021,25,25,new_fit,"Previously used 2022-2025 played main draw; exploratory, not production or leaderboard",0.22230168214031837,0.0025819151617068881
M,2022,63,0.22468920035118875,0.64376073194455341,duplicate_control,503,2021,25,25,new_fit,"Previously used 2022-2025 played main draw; exploratory, not production or leaderboard",0.22230168214031837,0.0023875182108703819
M,2023,63,0.20845297483961983,0.61337610108397123,reference,566,2022,17,17,upstream_replay,"Previously used 2022-2025 played main draw; exploratory, not production or leaderboard",0.20845297483961983,0
M,2023,63,0.20473113756964298,0.60216033048085382,rates,566,2022,21,21,new_fit,"Previously used 2022-2025 played main draw; exploratory, not production or leaderboard",0.20845297483961983,-0.003721837269976852
M,2023,63,0.20585667399586322,0.60501163122790114,three_point_share,566,2022,23,23,new_fit,"Previously used 2022-2025 played main draw; exploratory, not production or leaderboard",0.20845297483961983,-0.002596300843756616
M,2023,63,0.20471374214948931,0.60204925728887115,free_throw_share,566,2022,23,23,new_fit,"Previously used 2022-2025 played main draw; exploratory, not production or leaderboard",0.20845297483961983,-0.0037392326901305173
M,2023,63,0.2058256428625834,0.60488468629205983,both,566,2022,25,25,new_fit,"Previously used 2022-2025 played main draw; exploratory, not production or leaderboard",0.20845297483961983,-0.0026273319770364345
M,2023,63,0.20447404967458777,0.60138335241676155,duplicate_control,566,2022,25,25,new_fit,"Previously used 2022-2025 played main draw; exploratory, not production or leaderboard",0.20845297483961983,-0.0039789251650320656
M,2024,63,0.19158722187829039,0.55318587256358165,reference,629,2023,17,17,upstream_replay,"Previously used 2022-2025 played main draw; exploratory, not production or leaderboard",0.19158722187829039,0
M,2024,63,0.1909157059138431,0.55287595671812773,rates,629,2023,21,21,new_fit,"Previously used 2022-2025 played main draw; exploratory, not production or leaderboard",0.19158722187829039,-0.00067151596444728345
M,2024,63,0.19083121787743174,0.55287720230412918,three_point_share,629,2023,23,23,new_fit,"Previously used 2022-2025 played main draw; exploratory, not production or leaderboard",0.19158722187829039,-0.00075600400085865105
M,2024,63,0.19050074735619682,0.55199713715563459,free_throw_share,629,2023,23,23,new_fit,"Previously used 2022-2025 played main draw; exploratory, not production or leaderboard",0.19158722187829039,-0.0010864745220935668
M,2024,63,0.19031418663572724,0.55178397337809759,both,629,2023,25,25,new_fit,"Previously used 2022-2025 played main draw; exploratory, not production or leaderboard",0.19158722187829039,-0.0012730352425631419
M,2024,63,0.19096055273998497,0.55308883447917234,duplicate_control,629,2023,25,25,new_fit,"Previously used 2022-2025 played main draw; exploratory, not production or leaderboard",0.19158722187829039,-0.00062666913830541904
M,2025,63,0.14740041327748873,0.45158370722012448,reference,692,2024,17,17,upstream_replay,"Previously used 2022-2025 played main draw; exploratory, not production or leaderboard",0.14740041327748873,0
M,2025,63,0.14430283234113725,0.44566591891752316,rates,692,2024,21,21,new_fit,"Previously used 2022-2025 played main draw; exploratory, not production or leaderboard",0.14740041327748873,-0.003097580936351485
M,2025,63,0.14457860142972512,0.44636422657803826,three_point_share,692,2024,23,23,new_fit,"Previously used 2022-2025 played main draw; exploratory, not production or leaderboard",0.14740041327748873,-0.0028218118477636167
M,2025,63,0.14442815061266806,0.44582164492039439,free_throw_share,692,2024,23,23,new_fit,"Previously used 2022-2025 played main draw; exploratory, not production or leaderboard",0.14740041327748873,-0.002972262664820674
M,2025,63,0.14474670374218743,0.44663132652730159,both,692,2024,25,25,new_fit,"Previously used 2022-2025 played main draw; exploratory, not production or leaderboard",0.14740041327748873,-0.0026537095353013074
M,2025,63,0.1441739826897486,0.44543291827177667,duplicate_control,692,2024,25,25,new_fit,"Previously used 2022-2025 played main draw; exploratory, not production or leaderboard",0.14740041327748873,-0.0032264305877401367
