confidence_bin,games,mean_delta,total_delta
0,14,-8.5497352637951159e-05,-0.0011969629369313162
1,13,-0.00042616676148468755,-0.0055401678993009379
2,23,0.0004801453854028712,0.011043343864266038
3,18,0.0017613649631593809,0.031704569336868854
4,31,-6.1665398115640985e-05,-0.0019116273415848706
5,39,0.00047432830351185919,0.018498803836962507
6,28,0.00017524733777072945,0.0049069254575804244
7,42,0.00057048398001866853,0.023960327160784077
8,26,0.00021886498106544935,0.0056904895077016827
9,18,-0.00012265317297712808,-0.0022077571135883053
