Season,feature,closest_reference_or_rate,abs_correlation,training_games,training_nonzero
2022,adjusted_three_point_share_offense,rate_three_point_share_offense,0.99511322985391748,503,503
2022,adjusted_three_point_share_defense,rate_three_point_share_defense,0.97943709259251344,503,503
2022,adjusted_free_throw_share_offense,rate_free_throw_share_offense,0.98406196832913884,503,503
2022,adjusted_free_throw_share_defense,rate_free_throw_share_defense,0.99075110288736845,503,503
2023,adjusted_three_point_share_offense,rate_three_point_share_offense,0.99438105818042855,566,566
2023,adjusted_three_point_share_defense,rate_three_point_share_defense,0.97969381625110408,566,566
2023,adjusted_free_throw_share_offense,rate_free_throw_share_offense,0.98360999626210932,566,566
2023,adjusted_free_throw_share_defense,rate_free_throw_share_defense,0.99153288434070075,566,566
2024,adjusted_three_point_share_offense,rate_three_point_share_offense,0.99460664779795527,629,629
2024,adjusted_three_point_share_defense,rate_three_point_share_defense,0.97913677355925066,629,629
2024,adjusted_free_throw_share_offense,rate_free_throw_share_offense,0.98271582061150142,629,629
2024,adjusted_free_throw_share_defense,rate_free_throw_share_defense,0.99186408046651009,629,629
2025,adjusted_three_point_share_offense,rate_three_point_share_offense,0.99438678839381844,692,692
2025,adjusted_three_point_share_defense,rate_three_point_share_defense,0.97957953152824118,692,692
2025,adjusted_free_throw_share_offense,rate_free_throw_share_offense,0.9828606314886188,692,692
2025,adjusted_free_throw_share_defense,rate_free_throw_share_defense,0.99182236350625463,692,692
