Gender,Season,recipe,games,train_games,train_last_season,brier,log_loss,feature_count,active_features,source,swap_error,evidence,anchor_brier,delta_vs_anchor
M,2017,anchor,63,252,2016,0.17332337005126941,0.51186246963129811,16,16,new_fit,2.2204460492503131e-16,"Previously-used exploratory historical main draw, not leaderboard",0.17332337005126941,0
M,2017,anchor_level,63,252,2016,0.17135786725460855,0.50546660821733869,18,18,new_fit,2.2204460492503131e-16,"Previously-used exploratory historical main draw, not leaderboard",0.17332337005126941,-0.0019655027966608563
M,2017,anchor_change,63,252,2016,0.17483142600273893,0.51574635046919604,18,18,new_fit,2.2204460492503131e-16,"Previously-used exploratory historical main draw, not leaderboard",0.17332337005126941,0.0015080559514695224
M,2017,anchor_both,63,252,2016,0.17185835352544393,0.50688832771321313,20,20,new_fit,1.1102230246251565e-16,"Previously-used exploratory historical main draw, not leaderboard",0.17332337005126941,-0.0014650165258254799
M,2019,anchor,63,378,2018,0.17320192076291752,0.50951375442624425,16,16,upstream_replay,1.1102230246251565e-16,"Previously-used exploratory historical main draw, not leaderboard",0.17320192076291752,0
M,2019,anchor_level,63,378,2018,0.17446285793139016,0.51358101028165881,18,18,new_fit,1.1102230246251565e-16,"Previously-used exploratory historical main draw, not leaderboard",0.17320192076291752,0.0012609371684726423
M,2019,anchor_change,63,378,2018,0.17282511149004551,0.50931858108457806,18,18,new_fit,1.1102230246251565e-16,"Previously-used exploratory historical main draw, not leaderboard",0.17320192076291752,-0.00037680927287200849
M,2019,anchor_both,63,378,2018,0.17355793247796086,0.51228792822340696,20,20,new_fit,1.1102230246251565e-16,"Previously-used exploratory historical main draw, not leaderboard",0.17320192076291752,0.00035601171504334728
W,2017,anchor,63,252,2016,0.13094629939840619,0.39937595459182729,16,16,upstream_replay,1.1102230246251565e-16,"Previously-used exploratory historical main draw, not leaderboard",0.13094629939840619,0
W,2017,anchor_level,63,252,2016,0.12770097493029361,0.3902249984544256,18,18,new_fit,2.2204460492503131e-16,"Previously-used exploratory historical main draw, not leaderboard",0.13094629939840619,-0.0032453244681125704
W,2017,anchor_change,63,252,2016,0.12673094556634262,0.3889715603893677,18,18,new_fit,2.2204460492503131e-16,"Previously-used exploratory historical main draw, not leaderboard",0.13094629939840619,-0.004215353832063562
W,2017,anchor_both,63,252,2016,0.12440920009839651,0.38267362461091409,20,20,new_fit,2.2204460492503131e-16,"Previously-used exploratory historical main draw, not leaderboard",0.13094629939840619,-0.0065370993000096744
W,2019,anchor,63,378,2018,0.14625441329056185,0.44505526519609656,16,16,upstream_replay,1.1102230246251565e-16,"Previously-used exploratory historical main draw, not leaderboard",0.14625441329056185,0
W,2019,anchor_level,63,378,2018,0.15405886140575789,0.46541416922062551,18,18,new_fit,2.2204460492503131e-16,"Previously-used exploratory historical main draw, not leaderboard",0.14625441329056185,0.0078044481151960388
W,2019,anchor_change,63,378,2018,0.14603401999216994,0.44689837442808467,18,18,new_fit,2.2204460492503131e-16,"Previously-used exploratory historical main draw, not leaderboard",0.14625441329056185,-0.00022039329839190769
W,2019,anchor_both,63,378,2018,0.1522309211814028,0.46298877693795909,20,20,new_fit,1.1102230246251565e-16,"Previously-used exploratory historical main draw, not leaderboard",0.14625441329056185,0.0059765078908409486
