Season,comparison,delta_brier
2022,both_given_reference,0.00073621134610013517
2023,both_given_reference,0.005474925387208146
2024,both_given_reference,-0.0036548302824664924
2025,both_given_reference,-0.0021644879160852282
2022,tail_resolution_given_reference,0.00068525504280364524
2023,tail_resolution_given_reference,0.0033669596160438298
2024,tail_resolution_given_reference,-0.0018248448543705387
2025,tail_resolution_given_reference,-0.001965921803443349
2022,cardinal_mapping_given_reference,0.00024741230202893205
2023,cardinal_mapping_given_reference,0.0038938504339270652
2024,cardinal_mapping_given_reference,-0.0024162770025617231
2025,cardinal_mapping_given_reference,6.6129100502382299e-05
2022,tail_resolution_given_cardinal_mapping,0.00048879904407120311
2023,tail_resolution_given_cardinal_mapping,0.0015810749532810808
2024,tail_resolution_given_cardinal_mapping,-0.0012385532799047694
2025,tail_resolution_given_cardinal_mapping,-0.0022306170165876105
2022,cardinal_mapping_given_tail_resolution,5.0956303296489924e-05
2023,cardinal_mapping_given_tail_resolution,0.0021079657711643163
2024,cardinal_mapping_given_tail_resolution,-0.0018299854280959538
2025,cardinal_mapping_given_tail_resolution,-0.00019856611264187918
2022,both_given_duplicate,0.0011544687252749153
2023,both_given_duplicate,0.0049616987865381823
2024,both_given_duplicate,-0.0017591776229462786
2025,both_given_duplicate,-0.002386209153548785
2022,duplicate_given_reference,-0.00041825737917478012
2023,duplicate_given_reference,0.00051322660066996373
2024,duplicate_given_reference,-0.0018956526595202139
2025,duplicate_given_reference,0.00022172123746355688
