Season,raw_tournament_rows,first_four_excluded,no_contest_rows_excluded,played_main_draw_games,first_four_max_day,main_draw_min_day,scope
2013,67,4,0,63,135,136,played main draw only; administrative advancement is not a played result
2014,67,4,0,63,135,136,played main draw only; administrative advancement is not a played result
2015,67,4,0,63,135,136,played main draw only; administrative advancement is not a played result
2016,67,4,0,63,135,136,played main draw only; administrative advancement is not a played result
2017,67,4,0,63,135,136,played main draw only; administrative advancement is not a played result
2018,67,4,0,63,135,136,played main draw only; administrative advancement is not a played result
2019,67,4,0,63,135,136,played main draw only; administrative advancement is not a played result
2021,66,4,0,62,136,137,played main draw only; administrative advancement is not a played result
2022,67,4,0,63,135,136,played main draw only; administrative advancement is not a played result
2023,67,4,0,63,135,136,played main draw only; administrative advancement is not a played result
2024,67,4,0,63,135,136,played main draw only; administrative advancement is not a played result
2025,67,4,0,63,135,136,played main draw only; administrative advancement is not a played result
