Gender,Season,comparison,delta_brier,sign
M,2019,residual_alone,0.0093110624981576906,"negative favors inclusion; fixed input sets, no capacity replacements"
M,2019,profile_alone,0.0009984333963161951,"negative favors inclusion; fixed input sets, no capacity replacements"
M,2019,both,0.010422117690992633,"negative favors inclusion; fixed input sets, no capacity replacements"
M,2019,residual_given_profile,0.0094236842946764376,"negative favors inclusion; fixed input sets, no capacity replacements"
M,2019,profile_given_residual,0.0011110551928349421,"negative favors inclusion; fixed input sets, no capacity replacements"
W,2019,residual_alone,0.0039985691288719205,"negative favors inclusion; fixed input sets, no capacity replacements"
W,2019,profile_alone,0.00019842839870148898,"negative favors inclusion; fixed input sets, no capacity replacements"
W,2019,both,0.0058992906485360319,"negative favors inclusion; fixed input sets, no capacity replacements"
W,2019,residual_given_profile,0.0057008622498345429,"negative favors inclusion; fixed input sets, no capacity replacements"
W,2019,profile_given_residual,0.0019007215196641114,"negative favors inclusion; fixed input sets, no capacity replacements"
