Gender,Season,brier,log_loss,games,recipe,train_games,train_last_season,feature_count,active_features,source,evidence,anchor_brier,delta_vs_anchor
M,2016,0.2128403884710906,0.61887447645057503,63,anchor,189,2015,16,16,local_checkpoint,"Four previously-used exploratory historical seasons, not untouched tests or leaderboard",0.2128403884710906,0
M,2016,0.2088635974411876,0.61727266845726869,63,anchor_rates,189,2015,22,22,local_checkpoint,"Four previously-used exploratory historical seasons, not untouched tests or leaderboard",0.2128403884710906,-0.003976791029903004
M,2016,0.22131107324514698,0.64608303657341026,63,anchor_mechanism,189,2015,20,20,local_checkpoint,"Four previously-used exploratory historical seasons, not untouched tests or leaderboard",0.2128403884710906,0.0084706847740563807
M,2016,0.21085666151940907,0.62431722931881606,63,anchor_both,189,2015,26,26,local_checkpoint,"Four previously-used exploratory historical seasons, not untouched tests or leaderboard",0.2128403884710906,-0.0019837269516815303
M,2017,0.17332337005126941,0.51186246963129811,63,anchor,252,2016,16,16,upstream_replay,"Four previously-used exploratory historical seasons, not untouched tests or leaderboard",0.17332337005126941,0
M,2017,0.17953048055080259,0.52296664693655837,63,anchor_rates,252,2016,22,22,new_fit,"Four previously-used exploratory historical seasons, not untouched tests or leaderboard",0.17332337005126941,0.0062071104995331805
M,2017,0.17154773577013643,0.50604138862980175,63,anchor_mechanism,252,2016,20,20,new_fit,"Four previously-used exploratory historical seasons, not untouched tests or leaderboard",0.17332337005126941,-0.0017756342811329762
M,2017,0.17980924849689753,0.52277057207951616,63,anchor_both,252,2016,26,26,new_fit,"Four previously-used exploratory historical seasons, not untouched tests or leaderboard",0.17332337005126941,0.0064858784456281182
M,2018,0.19906608300963743,0.58447380190439646,63,anchor,315,2017,16,16,upstream_replay,"Four previously-used exploratory historical seasons, not untouched tests or leaderboard",0.19906608300963743,0
M,2018,0.19519938477796406,0.57783547351709275,63,anchor_rates,315,2017,22,22,new_fit,"Four previously-used exploratory historical seasons, not untouched tests or leaderboard",0.19906608300963743,-0.0038666982316733767
M,2018,0.20025109339976993,0.58993933703714496,63,anchor_mechanism,315,2017,20,20,new_fit,"Four previously-used exploratory historical seasons, not untouched tests or leaderboard",0.19906608300963743,0.001185010390132496
M,2018,0.19633817713438204,0.58142864826554752,63,anchor_both,315,2017,26,26,new_fit,"Four previously-used exploratory historical seasons, not untouched tests or leaderboard",0.19906608300963743,-0.0027279058752553986
